round,avg_reward,avg_exam,avg_view,avg_like,global_ctr,global_lr,global_awt,w0_cos,w1_fresh,w2_lr,w3_ctr,w4_awt,w5_social
1,5.328253,0.293750,0.115625,0.053125,0.104882,0.052903,0.013116,0.166529,0.168209,0.166315,0.166315,0.166315,0.166315
2,7.968989,0.281250,0.156250,0.087500,0.110423,0.056845,0.022449,0.165735,0.170455,0.165441,0.165632,0.165784,0.166953
3,8.354888,0.300000,0.171875,0.087500,0.115204,0.059919,0.031091,0.164141,0.172525,0.164442,0.164957,0.165336,0.168600
4,9.050511,0.334375,0.178125,0.100000,0.119015,0.062953,0.039458,0.161690,0.174433,0.163364,0.164382,0.165128,0.171003
5,8.931548,0.278125,0.175000,0.100000,0.122089,0.065398,0.047374,0.158671,0.176027,0.162481,0.163777,0.165100,0.173944
6,9.458480,0.315625,0.178125,0.106250,0.124310,0.067476,0.052448,0.154733,0.177482,0.161329,0.163543,0.165250,0.177664
7,8.816281,0.300000,0.159375,0.100000,0.125473,0.069125,0.056923,0.150665,0.178435,0.160436,0.163333,0.165687,0.181444
8,11.056361,0.325000,0.196875,0.128125,0.128067,0.071773,0.062524,0.145527,0.179769,0.159157,0.162741,0.167145,0.185660
9,7.958660,0.293750,0.165625,0.081250,0.129125,0.071910,0.066764,0.140967,0.180163,0.158578,0.162356,0.168346,0.189590
10,8.342804,0.293750,0.159375,0.090625,0.130239,0.072705,0.072865,0.136498,0.180405,0.157953,0.161959,0.169778,0.193407
11,8.973904,0.293750,0.159375,0.103125,0.130387,0.073393,0.075149,0.130431,0.180371,0.157483,0.161456,0.171784,0.198476
12,6.880919,0.268750,0.115625,0.081250,0.129828,0.074028,0.081084,0.126055,0.180266,0.157149,0.161025,0.173519,0.201986
13,9.439561,0.309375,0.168750,0.109375,0.130374,0.074931,0.083710,0.119337,0.179796,0.156864,0.160379,0.176250,0.207373
14,7.694539,0.268750,0.159375,0.078125,0.130984,0.074594,0.085844,0.113594,0.179123,0.156718,0.160059,0.178555,0.211950
15,9.617857,0.300000,0.181250,0.106250,0.132200,0.075567,0.089326,0.107242,0.178863,0.155931,0.159312,0.181938,0.216715
16,8.420737,0.290625,0.153125,0.096875,0.132230,0.076067,0.091040,0.100771,0.178012,0.155695,0.158989,0.184802,0.221731
17,8.892010,0.284375,0.162500,0.103125,0.132642,0.076472,0.091248,0.093565,0.176882,0.155467,0.158680,0.188147,0.227259
18,8.922904,0.271875,0.150000,0.106250,0.132612,0.076971,0.094038,0.085826,0.175329,0.155427,0.158572,0.191659,0.233189
19,9.603855,0.306250,0.162500,0.112500,0.132744,0.077825,0.097943,0.078031,0.173890,0.155365,0.158158,0.195539,0.239017
20,9.617698,0.321875,0.187500,0.103125,0.133691,0.078035,0.099871,0.070581,0.172488,0.155189,0.157695,0.199456,0.244591
21,10.303514,0.303125,0.196875,0.112500,0.135259,0.078844,0.102423,0.063017,0.171566,0.154737,0.156999,0.203896,0.249785
22,10.677776,0.309375,0.181250,0.128125,0.135787,0.080134,0.104449,0.054888,0.170185,0.154311,0.156380,0.208740,0.255496
23,8.943832,0.315625,0.165625,0.103125,0.135770,0.080486,0.104602,0.048009,0.168678,0.154185,0.156078,0.212512,0.260538
24,9.485003,0.281250,0.153125,0.115625,0.135324,0.080944,0.106413,0.039367,0.166312,0.154456,0.156008,0.216917,0.266941
25,8.667342,0.234375,0.159375,0.096875,0.135349,0.080739,0.106776,0.031191,0.164373,0.154715,0.155950,0.221095,0.272676
26,10.628996,0.309375,0.184375,0.125000,0.136284,0.081827,0.108490,0.023549,0.162546,0.154331,0.155794,0.225476,0.278305
27,6.253979,0.246875,0.121875,0.068750,0.135751,0.081115,0.109835,0.018574,0.161123,0.154342,0.155813,0.228153,0.281996
