round,avg_reward,avg_exam,avg_view,avg_like,global_ctr,global_lr,global_awt,w0_cos,w1_fresh,w2_lr,w3_ctr,w4_awt,w5_social
1,9.107000,0.325000,0.193750,0.096875,0.109310,0.055220,0.016609,0.159800,0.162348,0.159284,0.159284,0.159284,0.200000
2,6.124145,0.296875,0.140625,0.059375,0.113455,0.057449,0.027451,0.159205,0.164077,0.158839,0.158979,0.158900,0.200000
3,5.280059,0.262500,0.121875,0.053125,0.115518,0.058868,0.033920,0.158326,0.165678,0.158500,0.158797,0.158699,0.200000
4,8.962286,0.315625,0.168750,0.103125,0.118799,0.062202,0.041230,0.156497,0.168166,0.157850,0.158622,0.158865,0.200000
5,6.883157,0.287500,0.140625,0.075000,0.120530,0.063983,0.049158,0.154815,0.169884,0.157482,0.158584,0.159235,0.200000
6,8.068589,0.293750,0.146875,0.093750,0.122481,0.066447,0.057051,0.152936,0.171655,0.156966,0.158394,0.160049,0.200000
7,5.648728,0.300000,0.131250,0.056250,0.123238,0.066824,0.061316,0.151179,0.172845,0.156710,0.158358,0.160906,0.200000
8,8.984601,0.262500,0.143750,0.112500,0.124618,0.069416,0.067505,0.148101,0.174501,0.156409,0.158239,0.162751,0.200000
9,9.495590,0.278125,0.171875,0.109375,0.126632,0.071120,0.072021,0.144187,0.175920,0.156557,0.158270,0.165066,0.200000
10,8.723923,0.262500,0.156250,0.100000,0.127938,0.072224,0.077793,0.140170,0.176808,0.156943,0.158384,0.167695,0.200000
11,10.119989,0.281250,0.175000,0.118750,0.129197,0.073689,0.082469,0.134849,0.177425,0.157852,0.158737,0.171137,0.200000
12,7.135989,0.287500,0.146875,0.075000,0.129550,0.073494,0.086052,0.130552,0.177642,0.158777,0.159275,0.173754,0.200000
13,8.981524,0.315625,0.175000,0.096875,0.130708,0.074238,0.088778,0.125870,0.178090,0.159396,0.159492,0.177153,0.200000
14,10.573175,0.325000,0.193750,0.118750,0.132078,0.075438,0.092955,0.119894,0.178332,0.160203,0.159872,0.181700,0.200000
15,9.408365,0.250000,0.156250,0.112500,0.132355,0.076293,0.094128,0.113787,0.177814,0.161456,0.160584,0.186358,0.200000
16,7.425711,0.278125,0.134375,0.084375,0.132215,0.076554,0.095014,0.108996,0.177391,0.162228,0.161011,0.190374,0.200000
17,12.536287,0.296875,0.206250,0.153125,0.133446,0.078099,0.096832,0.099829,0.176752,0.164111,0.161989,0.197318,0.200000
18,10.291392,0.290625,0.171875,0.121875,0.133872,0.078919,0.099043,0.092190,0.175538,0.165839,0.162932,0.203502,0.200000
19,10.374689,0.303125,0.187500,0.115625,0.134837,0.079230,0.102268,0.084159,0.173989,0.168093,0.164076,0.209682,0.200000
