round,avg_reward,avg_exam,avg_view,avg_like,global_ctr,global_lr,global_awt,w0_cos,w1_fresh,w2_lr,w3_ctr,w4_awt,w5_social
1,6.200750,0.325000,0.193750,0.096875,0.109310,0.055220,0.016609,0.166612,0.168358,0.166257,0.166257,0.166257,0.166257
2,4.335106,0.296875,0.140625,0.059375,0.113455,0.057454,0.027416,0.166106,0.169468,0.165852,0.165954,0.165904,0.166715
3,4.252487,0.259375,0.121875,0.071875,0.115717,0.059838,0.034797,0.165330,0.170517,0.165394,0.165566,0.165584,0.167609
4,4.883072,0.275000,0.146875,0.078125,0.118403,0.061927,0.042738,0.164063,0.171547,0.164909,0.165149,0.165398,0.168935
5,4.835997,0.259375,0.146875,0.068750,0.120660,0.063090,0.049958,0.162353,0.172417,0.164474,0.164767,0.165419,0.170570
6,5.532130,0.268750,0.156250,0.096875,0.122716,0.065217,0.057858,0.160120,0.173287,0.163918,0.164468,0.165511,0.172695
7,5.123870,0.284375,0.143750,0.087500,0.124295,0.067084,0.064793,0.158237,0.173881,0.163410,0.164123,0.165918,0.174431
8,4.227993,0.300000,0.115625,0.078125,0.124092,0.068332,0.066886,0.156251,0.174237,0.163095,0.163828,0.166396,0.176193
9,5.834170,0.284375,0.159375,0.109375,0.125805,0.070418,0.071166,0.153458,0.174725,0.162635,0.163323,0.167324,0.178535
10,4.323499,0.265625,0.137500,0.053125,0.126308,0.069920,0.076410,0.151041,0.174947,0.162398,0.162922,0.168122,0.180570
11,5.252385,0.278125,0.159375,0.081250,0.127527,0.070579,0.079215,0.148306,0.175202,0.161886,0.162420,0.169351,0.182836
12,5.310057,0.300000,0.168750,0.078125,0.128978,0.070794,0.082679,0.145280,0.175384,0.161442,0.162031,0.170584,0.185280
13,6.973944,0.315625,0.184375,0.128125,0.130321,0.072986,0.086648,0.141203,0.175386,0.160851,0.161431,0.172514,0.188614
14,7.170517,0.353125,0.200000,0.128125,0.131943,0.074663,0.090484,0.136971,0.175364,0.160236,0.160829,0.174723,0.191877
15,5.997803,0.259375,0.156250,0.118750,0.132271,0.075803,0.090408,0.132575,0.174961,0.160130,0.160343,0.176658,0.195332
16,5.082210,0.268750,0.140625,0.087500,0.132032,0.075901,0.091539,0.128608,0.174559,0.160188,0.160012,0.178257,0.198376
17,4.601385,0.259375,0.140625,0.065625,0.131853,0.075139,0.092092,0.124760,0.173983,0.160306,0.159726,0.179908,0.201317
18,5.732446,0.278125,0.159375,0.100000,0.132263,0.075773,0.093406,0.120320,0.173503,0.160112,0.159375,0.182150,0.204540
19,5.846155,0.278125,0.162500,0.096875,0.132638,0.076120,0.094144,0.115799,0.172778,0.159900,0.158955,0.184654,0.207915
20,6.518956,0.281250,0.184375,0.106250,0.133553,0.076397,0.095912,0.110288,0.171930,0.159707,0.158536,0.187738,0.211801
21,5.620911,0.293750,0.162500,0.090625,0.133422,0.076208,0.095857,0.105070,0.171037,0.159661,0.158396,0.190340,0.215495
22,6.182523,0.278125,0.171875,0.106250,0.133917,0.076599,0.098340,0.099707,0.169853,0.159584,0.158165,0.193242,0.219448
23,6.101082,0.259375,0.168750,0.109375,0.134630,0.077249,0.099219,0.094359,0.168786,0.159535,0.158071,0.195958,0.223291
24,6.601635,0.290625,0.193750,0.109375,0.135776,0.077410,0.100003,0.088381,0.167651,0.159516,0.157972,0.198962,0.227518
25,7.109174,0.306250,0.209375,0.112500,0.137363,0.078015,0.102052,0.082594,0.166630,0.159446,0.157859,0.201942,0.231529
26,6.242376,0.296875,0.171875,0.109375,0.137295,0.078445,0.103254,0.076725,0.165259,0.159556,0.157926,0.204888,0.235646
27,6.371648,0.312500,0.178125,0.112500,0.137643,0.079125,0.105237,0.071202,0.164125,0.159502,0.157988,0.207723,0.239461
28,5.640437,0.284375,0.159375,0.093750,0.137718,0.079301,0.106872,0.066489,0.163121,0.159480,0.157988,0.210170,0.242751
29,6.848063,0.340625,0.181250,0.125000,0.137839,0.080470,0.107693,0.061388,0.162103,0.158990,0.157498,0.213918,0.246102
30,6.910997,0.293750,0.187500,0.131250,0.138415,0.081430,0.108276,0.055157,0.160773,0.159090,0.157409,0.217226,0.250346
31,7.135934,0.315625,0.190625,0.125000,0.138555,0.081610,0.109779,0.048415,0.159129,0.159314,0.157257,0.220927,0.254959
32,6.157176,0.281250,0.168750,0.112500,0.138743,0.082104,0.108696,0.043239,0.157937,0.159273,0.156998,0.224182,0.258372
33,5.838346,0.281250,0.165625,0.096875,0.138857,0.082028,0.109355,0.038146,0.156827,0.159538,0.156819,0.226843,0.261826
34,5.550454,0.271875,0.153125,0.100000,0.138526,0.081928,0.109650,0.033114,0.155562,0.159819,0.156681,0.229506,0.265317
35,5.360955,0.281250,0.146875,0.093750,0.138127,0.081780,0.111226,0.028306,0.154430,0.159889,0.156402,0.232581,0.268392
36,7.056046,0.278125,0.184375,0.128125,0.138476,0.082161,0.113149,0.021699,0.152774,0.160217,0.155950,0.236531,0.272829
37,5.821623,0.290625,0.171875,0.087500,0.138685,0.081794,0.113708,0.016955,0.151544,0.160355,0.155521,0.239653,0.275973
38,4.946364,0.275000,0.146875,0.078125,0.138152,0.080969,0.113591,0.012431,0.150468,0.160553,0.155305,0.242160,0.279084
39,6.838571,0.312500,0.187500,0.125000,0.138532,0.081567,0.114491,0.006520,0.149006,0.160684,0.154827,0.245858,0.283104
40,6.024385,0.300000,0.171875,0.106250,0.138332,0.081406,0.113954,0.000616,0.147504,0.161217,0.154619,0.248788,0.287256
41,5.351311,0.281250,0.156250,0.081250,0.138234,0.081105,0.115160,0.000000,0.145734,0.160576,0.153573,0.250666,0.289451
42,7.194135,0.306250,0.190625,0.134375,0.138883,0.082146,0.116539,0.000000,0.143106,0.159472,0.151975,0.253098,0.292350
43,5.691112,0.306250,0.165625,0.093750,0.138723,0.081638,0.115641,0.000000,0.140658,0.158750,0.150609,0.255187,0.294796
44,6.281676,0.325000,0.181250,0.096875,0.138819,0.081287,0.116137,0.000000,0.138475,0.157772,0.149173,0.257291,0.297288
45,6.179893,0.318750,0.175000,0.109375,0.138649,0.081311,0.116143,0.000000,0.135981,0.156935,0.147736,0.259306,0.300044
46,5.908593,0.300000,0.156250,0.109375,0.138142,0.081776,0.115152,0.000000,0.133649,0.156099,0.146307,0.261485,0.302461
47,5.811458,0.296875,0.165625,0.103125,0.138052,0.081703,0.114454,0.000000,0.131369,0.155385,0.145058,0.263093,0.305096
48,6.040143,0.290625,0.168750,0.106250,0.138104,0.081857,0.114471,0.000000,0.129023,0.154622,0.143598,0.265127,0.307630
49,6.811299,0.290625,0.190625,0.118750,0.138951,0.082485,0.115306,0.000000,0.126771,0.153706,0.142211,0.266941,0.310370
50,5.088118,0.290625,0.153125,0.081250,0.138326,0.081537,0.114219,0.000000,0.124546,0.153129,0.141053,0.268431,0.312840
51,6.954008,0.296875,0.196875,0.118750,0.138989,0.081824,0.113833,0.000000,0.121900,0.152201,0.139602,0.270443,0.315854
52,6.238071,0.271875,0.178125,0.096875,0.139078,0.081314,0.112857,0.000000,0.119152,0.151412,0.138242,0.272435,0.318760
53,6.273308,0.271875,0.165625,0.118750,0.139272,0.081928,0.113658,0.000000,0.116683,0.150521,0.137146,0.274117,0.321533
54,5.962015,0.321875,0.171875,0.096875,0.138990,0.081473,0.114013,0.000000,0.114156,0.149773,0.135860,0.276062,0.324149
55,5.139311,0.275000,0.156250,0.071875,0.138535,0.080421,0.115870,0.000000,0.111756,0.149267,0.134689,0.277767,0.326521
56,5.201602,0.237500,0.143750,0.087500,0.137981,0.079761,0.116422,0.000000,0.109061,0.148720,0.133686,0.279146,0.329388
57,7.151979,0.325000,0.203125,0.118750,0.138772,0.080218,0.116020,0.000000,0.106370,0.147699,0.132304,0.281204,0.332424
58,5.502615,0.287500,0.156250,0.093750,0.138724,0.080266,0.115364,0.000000,0.104220,0.147127,0.131394,0.282374,0.334884
59,5.705932,0.265625,0.165625,0.090625,0.138725,0.079941,0.113709,0.000000,0.101903,0.146275,0.130175,0.284220,0.337427
60,5.592453,0.250000,0.156250,0.093750,0.138322,0.079767,0.112523,0.000000,0.099140,0.145636,0.129014,0.285889,0.340322
61,6.689537,0.318750,0.181250,0.118750,0.138248,0.080341,0.111684,0.000000,0.096395,0.144337,0.127540,0.288578,0.343150
62,6.147965,0.306250,0.168750,0.106250,0.138481,0.080875,0.113440,0.000000,0.094270,0.143282,0.126355,0.290661,0.345431
63,5.906262,0.290625,0.165625,0.100000,0.138105,0.080817,0.111946,0.000000,0.091763,0.142374,0.125161,0.292580,0.348122
64,7.925121,0.381250,0.228125,0.137500,0.139617,0.082098,0.112749,0.000000,0.089527,0.140913,0.123634,0.295151,0.350775
65,5.514551,0.303125,0.162500,0.084375,0.139214,0.081628,0.114103,0.000000,0.087411,0.140021,0.122506,0.297048,0.353014
66,6.807086,0.290625,0.168750,0.134375,0.138920,0.082539,0.114108,0.000000,0.084512,0.138749,0.121184,0.299493,0.356062
67,6.193794,0.300000,0.181250,0.100000,0.139506,0.082524,0.113698,0.000000,0.082479,0.137693,0.120028,0.301488,0.358313
68,5.110025,0.268750,0.146875,0.078125,0.138839,0.081546,0.116229,0.000000,0.080283,0.136798,0.118995,0.303291,0.360633
69,6.234381,0.278125,0.159375,0.115625,0.138712,0.082042,0.117115,0.000000,0.077846,0.135760,0.117745,0.305395,0.363254
70,6.296655,0.281250,0.181250,0.106250,0.138869,0.081735,0.116135,0.000000,0.075078,0.134862,0.116447,0.307386,0.366227
71,6.387029,0.275000,0.181250,0.103125,0.139202,0.081849,0.117450,0.000000,0.072639,0.133810,0.115264,0.309413,0.368873
72,6.995925,0.309375,0.187500,0.125000,0.139679,0.082590,0.119000,0.000000,0.070299,0.132463,0.113898,0.312078,0.371262
73,5.984736,0.287500,0.165625,0.103125,0.139618,0.082720,0.118928,0.000000,0.068290,0.131487,0.112956,0.313627,0.373639
74,6.505200,0.281250,0.168750,0.125000,0.139386,0.083069,0.118196,0.000000,0.065516,0.130502,0.111831,0.315547,0.376604
75,7.053632,0.315625,0.196875,0.128125,0.140335,0.083748,0.118268,0.000000,0.063279,0.129425,0.110626,0.317582,0.379088
76,6.865357,0.290625,0.196875,0.106250,0.140855,0.083349,0.119915,0.000000,0.060569,0.128653,0.109262,0.319688,0.381828
77,6.715731,0.293750,0.193750,0.112500,0.141413,0.083300,0.119825,0.000000,0.058219,0.127810,0.108128,0.321315,0.384529
78,7.121101,0.290625,0.193750,0.128125,0.141704,0.083760,0.117862,0.000000,0.055493,0.126934,0.106952,0.323091,0.387531
79,5.260315,0.275000,0.153125,0.081250,0.141142,0.082841,0.117559,0.000000,0.053473,0.126226,0.106201,0.324313,0.389787
80,7.048939,0.312500,0.190625,0.125000,0.141237,0.083086,0.118630,0.000000,0.050643,0.125424,0.104960,0.326109,0.392865
81,4.860709,0.290625,0.140625,0.078125,0.139756,0.082378,0.116331,0.000000,0.048432,0.124980,0.104033,0.327395,0.395160
82,6.380051,0.331250,0.187500,0.096875,0.139742,0.081995,0.116033,0.000000,0.046073,0.123967,0.102887,0.329405,0.397669
83,6.843735,0.300000,0.190625,0.121875,0.140237,0.082406,0.115140,0.000000,0.043468,0.122912,0.101854,0.331143,0.400623
84,6.717158,0.303125,0.193750,0.115625,0.140507,0.082391,0.114881,0.000000,0.040684,0.121850,0.100400,0.333639,0.403427
85,5.859331,0.290625,0.159375,0.106250,0.139890,0.082425,0.114725,0.000000,0.038195,0.120946,0.099518,0.335250,0.406091
86,6.133621,0.300000,0.162500,0.109375,0.139558,0.082754,0.116274,0.000000,0.035924,0.120051,0.098196,0.337452,0.408377
87,6.073656,0.303125,0.178125,0.100000,0.139993,0.082690,0.116067,0.000000,0.034116,0.119063,0.097331,0.338891,0.410598
88,5.329866,0.268750,0.159375,0.078125,0.139474,0.081656,0.116746,0.000000,0.031746,0.118451,0.096275,0.340486,0.413041
89,5.405175,0.250000,0.153125,0.087500,0.139088,0.081228,0.116432,0.000000,0.029473,0.117676,0.095322,0.342038,0.415491
90,6.774146,0.309375,0.196875,0.103125,0.139556,0.081243,0.115999,0.000000,0.027041,0.116470,0.094030,0.344446,0.418014
91,7.456987,0.318750,0.218750,0.115625,0.140884,0.081449,0.117338,0.000000,0.024729,0.115028,0.092703,0.346925,0.420616
92,4.983775,0.281250,0.137500,0.090625,0.139891,0.081485,0.116168,0.000000,0.023128,0.114052,0.092048,0.348145,0.422627
93,5.518776,0.287500,0.153125,0.090625,0.139319,0.081139,0.116336,0.000000,0.021296,0.112965,0.091113,0.349751,0.424874
94,6.867440,0.312500,0.200000,0.109375,0.139734,0.080930,0.116808,0.000000,0.018752,0.111688,0.089905,0.351798,0.427856
95,7.451969,0.315625,0.200000,0.134375,0.140214,0.081582,0.118568,0.000000,0.015954,0.110323,0.088662,0.354120,0.430940
96,5.856447,0.315625,0.153125,0.106250,0.139257,0.081784,0.116106,0.000000,0.013669,0.109264,0.087507,0.356460,0.433099
97,4.783115,0.268750,0.137500,0.075000,0.138388,0.080997,0.114749,0.000000,0.011755,0.108465,0.086612,0.357988,0.435180
98,5.106993,0.265625,0.140625,0.090625,0.137598,0.080881,0.113334,0.000000,0.009722,0.107599,0.085696,0.359410,0.437573
