round,avg_reward,avg_exam,avg_view,avg_like,global_ctr,global_lr,global_awt,w0_cos,w1_fresh,w2_lr,w3_ctr,w4_awt,w5_social
1,6.766042,0.287500,0.153125,0.065625,0.107567,0.053610,0.030341,0.169244,0.167716,0.165760,0.165760,0.165760,0.165760
2,9.745988,0.321875,0.175000,0.115625,0.113910,0.059298,0.043466,0.161435,0.164997,0.170399,0.170987,0.161533,0.170649
3,8.481400,0.293750,0.159375,0.096875,0.117834,0.062742,0.051114,0.151804,0.159888,0.177550,0.178306,0.156291,0.176161
4,7.184818,0.290625,0.150000,0.078125,0.120319,0.064634,0.057115,0.139879,0.155817,0.184162,0.185358,0.153533,0.181251
5,9.319031,0.290625,0.156250,0.112500,0.122388,0.067556,0.064680,0.127386,0.147186,0.193839,0.194173,0.149535,0.187880
6,8.648858,0.315625,0.156250,0.100000,0.124149,0.069778,0.070878,0.121621,0.139250,0.200123,0.200348,0.146607,0.192051
7,9.631199,0.303125,0.178125,0.109375,0.126542,0.071835,0.075934,0.109540,0.132063,0.208373,0.208690,0.143864,0.197470
8,7.854393,0.284375,0.159375,0.084375,0.127773,0.072335,0.079395,0.096802,0.126570,0.216323,0.217484,0.140202,0.202619
9,9.946771,0.328125,0.190625,0.109375,0.129739,0.073794,0.082249,0.081663,0.120864,0.225113,0.226372,0.137442,0.208546
10,7.896948,0.287500,0.168750,0.081250,0.131089,0.074188,0.085801,0.069618,0.117675,0.231697,0.232854,0.135193,0.212963
11,5.956219,0.278125,0.131250,0.059375,0.131008,0.073666,0.089502,0.059340,0.112959,0.238292,0.239249,0.133143,0.217018
12,8.091759,0.293750,0.153125,0.090625,0.131278,0.074511,0.092100,0.052053,0.106821,0.244012,0.244324,0.131997,0.220794
13,10.590361,0.309375,0.200000,0.118750,0.133058,0.075826,0.093725,0.035145,0.101021,0.253316,0.253839,0.129615,0.227065
14,7.058637,0.265625,0.131250,0.078125,0.132888,0.076146,0.097672,0.030008,0.096098,0.257982,0.257713,0.128396,0.229803
15,8.235751,0.334375,0.187500,0.081250,0.133892,0.076068,0.099420,0.021128,0.091227,0.264024,0.262777,0.127377,0.233467
16,8.782167,0.300000,0.159375,0.100000,0.134271,0.076892,0.101277,0.014392,0.085074,0.269594,0.266900,0.127574,0.236466
17,7.874443,0.271875,0.153125,0.087500,0.134296,0.076901,0.099641,0.006018,0.079650,0.276231,0.272293,0.125742,0.240066
18,8.118639,0.290625,0.175000,0.081250,0.134755,0.076507,0.100646,0.000000,0.072962,0.283323,0.277685,0.122525,0.243505
19,8.107246,0.275000,0.162500,0.087500,0.135035,0.076512,0.101722,0.000000,0.068310,0.287394,0.282795,0.115662,0.245840
20,8.173159,0.328125,0.156250,0.087500,0.134760,0.076702,0.103739,0.000000,0.061491,0.292098,0.286375,0.112275,0.247762
21,7.485922,0.278125,0.140625,0.084375,0.134090,0.076570,0.106827,0.000000,0.055535,0.297177,0.291401,0.105872,0.250015
22,7.062959,0.262500,0.134375,0.078125,0.133874,0.076604,0.106851,0.000000,0.050236,0.300653,0.294159,0.103394,0.251558
23,10.641301,0.300000,0.171875,0.131250,0.134582,0.078457,0.106965,0.000000,0.041950,0.305741,0.297540,0.101147,0.253623
24,10.175622,0.300000,0.190625,0.115625,0.135455,0.078862,0.108186,0.000000,0.036618,0.311725,0.303714,0.091321,0.256622
25,7.415379,0.278125,0.143750,0.078125,0.134944,0.078436,0.110571,0.000000,0.031228,0.317206,0.308435,0.084366,0.258765
