round,avg_reward,avg_exam,avg_view,avg_like,global_ctr,global_lr,global_awt,w0_cos,w1_fresh,w2_lr,w3_ctr,w4_awt,w5_social
1,9.107000,0.325000,0.193750,0.096875,0.109310,0.055220,0.016609,0.166589,0.169140,0.166068,0.166068,0.166068,0.166068
2,5.960545,0.296875,0.140625,0.056250,0.113485,0.057289,0.028718,0.165980,0.170693,0.165550,0.165689,0.165628,0.166461
3,5.884881,0.246875,0.115625,0.065625,0.115532,0.059389,0.035536,0.164999,0.172197,0.164966,0.165244,0.165210,0.167383
4,6.011037,0.243750,0.118750,0.065625,0.117061,0.060942,0.040631,0.163279,0.173565,0.164522,0.164825,0.164958,0.168850
5,6.624019,0.284375,0.146875,0.065625,0.119181,0.062101,0.048633,0.161154,0.174827,0.164002,0.164469,0.164926,0.170622
6,6.826840,0.275000,0.146875,0.068750,0.121562,0.063580,0.055283,0.159146,0.176015,0.163349,0.164048,0.165325,0.172116
7,7.381402,0.309375,0.131250,0.087500,0.122532,0.065802,0.060646,0.156757,0.177199,0.162484,0.163595,0.166091,0.173874
8,6.279081,0.265625,0.131250,0.068750,0.123376,0.066703,0.064408,0.154143,0.177963,0.161936,0.163137,0.167047,0.175775
9,9.967520,0.293750,0.168750,0.118750,0.125188,0.069096,0.069812,0.149607,0.179091,0.161035,0.162487,0.168595,0.179185
10,7.376047,0.265625,0.146875,0.081250,0.125935,0.069753,0.074395,0.145575,0.179577,0.160695,0.162094,0.169880,0.182179
11,7.251477,0.300000,0.159375,0.071875,0.127314,0.070246,0.077653,0.142395,0.180094,0.160028,0.161562,0.171506,0.184415
12,8.624797,0.287500,0.181250,0.090625,0.129367,0.071017,0.082222,0.137833,0.180600,0.159283,0.161033,0.173761,0.187491
13,7.906631,0.306250,0.162500,0.081250,0.130202,0.071601,0.087096,0.133720,0.180874,0.158597,0.160448,0.176126,0.190235
14,8.292523,0.309375,0.159375,0.090625,0.130977,0.072294,0.090015,0.129121,0.180799,0.157935,0.159907,0.178868,0.193371
15,9.220051,0.262500,0.178125,0.103125,0.132074,0.073033,0.090411,0.123099,0.180598,0.157426,0.159253,0.182241,0.197383
16,7.183739,0.271875,0.140625,0.078125,0.131778,0.072892,0.091183,0.117677,0.180306,0.157237,0.158975,0.184683,0.201123
17,7.404219,0.265625,0.134375,0.084375,0.131179,0.073120,0.091907,0.111785,0.179565,0.157083,0.158650,0.187921,0.204996
18,9.071955,0.300000,0.190625,0.093750,0.132846,0.073760,0.095401,0.106054,0.179250,0.156528,0.158131,0.191430,0.208608
19,8.512663,0.318750,0.175000,0.090625,0.133566,0.074282,0.097761,0.100648,0.178795,0.155966,0.157702,0.194809,0.212081
20,8.567020,0.300000,0.190625,0.081250,0.134786,0.073968,0.100711,0.094534,0.177936,0.155436,0.157269,0.198942,0.215884
21,8.368490,0.309375,0.175000,0.087500,0.135602,0.074209,0.101735,0.088656,0.177351,0.154866,0.156949,0.202737,0.219441
22,9.300500,0.281250,0.181250,0.100000,0.136605,0.075044,0.103506,0.082808,0.176788,0.154112,0.156365,0.206854,0.223073
23,8.282612,0.287500,0.168750,0.090625,0.137019,0.075169,0.104190,0.076219,0.175920,0.153762,0.156105,0.210950,0.227044
24,8.067271,0.287500,0.156250,0.087500,0.137118,0.075517,0.106131,0.070521,0.175053,0.153379,0.155667,0.214856,0.230524
25,10.304843,0.312500,0.193750,0.115625,0.138015,0.076587,0.108317,0.063592,0.174216,0.152782,0.154935,0.219719,0.234755
26,9.174229,0.281250,0.165625,0.106250,0.137984,0.077239,0.108385,0.056723,0.172896,0.152428,0.154370,0.224676,0.238907
27,8.977839,0.296875,0.165625,0.103125,0.137821,0.077588,0.107732,0.049507,0.171603,0.152359,0.153997,0.229057,0.243477
28,8.186595,0.268750,0.153125,0.090625,0.137318,0.077360,0.107672,0.041633,0.169960,0.152717,0.153781,0.233583,0.248326
29,9.107668,0.284375,0.162500,0.103125,0.136952,0.077558,0.108350,0.033028,0.167989,0.152940,0.153573,0.239001,0.253469
30,9.835540,0.287500,0.171875,0.115625,0.137139,0.078263,0.108928,0.023948,0.165978,0.153225,0.153599,0.244373,0.258878
31,9.786192,0.318750,0.193750,0.109375,0.138206,0.079084,0.109348,0.016818,0.164739,0.153007,0.153200,0.249347,0.262889
32,10.140077,0.259375,0.168750,0.121875,0.138372,0.079961,0.109421,0.007969,0.162788,0.153219,0.153050,0.254779,0.268195
33,8.591632,0.300000,0.165625,0.093750,0.138257,0.080052,0.108207,0.001123,0.161296,0.153127,0.152755,0.259677,0.272022
34,8.186944,0.262500,0.150000,0.093750,0.138006,0.080093,0.109255,0.000000,0.158775,0.152035,0.151298,0.262888,0.275004
