round,avg_reward,avg_exam,avg_view,avg_like,global_ctr,global_lr,global_awt,w0_cos,w1_fresh,w2_lr,w3_ctr,w4_awt,w5_social
1,6.766042,0.287500,0.153125,0.065625,0.107567,0.053610,0.030341,0.167053,0.166851,0.166524,0.166524,0.166524,0.166524
2,9.745988,0.321875,0.175000,0.115625,0.113910,0.059298,0.043466,0.166283,0.166607,0.166831,0.166746,0.166574,0.166959
3,8.481400,0.293750,0.159375,0.096875,0.117834,0.062742,0.051114,0.165411,0.166252,0.167308,0.166955,0.166651,0.167424
4,7.222570,0.296875,0.150000,0.078125,0.120305,0.064654,0.057393,0.164564,0.165958,0.167633,0.167207,0.166826,0.167812
5,9.135451,0.290625,0.156250,0.109375,0.122358,0.067379,0.064791,0.163544,0.165429,0.168178,0.167523,0.166974,0.168352
6,8.652623,0.315625,0.156250,0.100000,0.124112,0.069605,0.069685,0.162766,0.164949,0.168478,0.167768,0.167285,0.168754
7,8.005912,0.300000,0.153125,0.090625,0.125685,0.071193,0.073955,0.161901,0.164598,0.168779,0.167990,0.167592,0.169140
8,8.341709,0.275000,0.162500,0.090625,0.127523,0.072246,0.079137,0.161011,0.164151,0.169136,0.168274,0.167871,0.169558
9,8.213263,0.303125,0.153125,0.093750,0.128313,0.073352,0.082462,0.160065,0.163661,0.169477,0.168593,0.168213,0.169993
10,8.667439,0.281250,0.162500,0.100000,0.129798,0.074387,0.086328,0.159057,0.163219,0.169830,0.168937,0.168512,0.170445
11,8.088533,0.296875,0.159375,0.087500,0.130401,0.074969,0.088932,0.158028,0.162797,0.170146,0.169250,0.168891,0.170888
12,8.939954,0.321875,0.175000,0.100000,0.131015,0.075672,0.090587,0.156789,0.162274,0.170586,0.169626,0.169314,0.171412
13,10.062323,0.306250,0.190625,0.115625,0.132675,0.076965,0.093939,0.155544,0.161738,0.171043,0.169984,0.169743,0.171948
14,7.536755,0.300000,0.146875,0.081250,0.132810,0.077035,0.096280,0.154472,0.161336,0.171416,0.170278,0.170116,0.172383
15,7.931908,0.265625,0.159375,0.084375,0.133345,0.076885,0.098603,0.153459,0.160804,0.171827,0.170613,0.170463,0.172834
16,8.775667,0.271875,0.162500,0.100000,0.133664,0.077250,0.098284,0.152207,0.160266,0.172292,0.171041,0.170838,0.173355
17,9.303254,0.309375,0.175000,0.106250,0.133936,0.077616,0.100525,0.150781,0.159674,0.172819,0.171500,0.171297,0.173928
18,9.363717,0.300000,0.178125,0.103125,0.134645,0.078054,0.103246,0.149600,0.159047,0.173261,0.171872,0.171763,0.174458
19,8.372230,0.287500,0.175000,0.087500,0.135322,0.077660,0.104378,0.148317,0.158545,0.173744,0.172308,0.172116,0.174970
20,9.771786,0.334375,0.187500,0.106250,0.136033,0.078384,0.107085,0.147098,0.158067,0.174100,0.172608,0.172645,0.175481
21,6.972753,0.293750,0.146875,0.071875,0.135673,0.077956,0.108633,0.146114,0.157691,0.174430,0.172912,0.172972,0.175882
22,7.592630,0.271875,0.137500,0.087500,0.135199,0.077930,0.107300,0.145008,0.157181,0.174886,0.173249,0.173336,0.176340
23,8.009750,0.284375,0.153125,0.090625,0.135363,0.078367,0.108361,0.143968,0.156754,0.175208,0.173527,0.173770,0.176773
24,8.983499,0.284375,0.165625,0.103125,0.135780,0.078788,0.110131,0.142708,0.156136,0.175723,0.173917,0.174222,0.177293
25,10.889813,0.300000,0.187500,0.128125,0.136566,0.079585,0.112480,0.141173,0.155392,0.176379,0.174434,0.174687,0.177936
26,10.188365,0.331250,0.196875,0.112500,0.137430,0.079932,0.113700,0.139831,0.154715,0.176903,0.174852,0.175185,0.178513
27,10.986926,0.312500,0.209375,0.121875,0.138560,0.080390,0.114077,0.138193,0.154091,0.177484,0.175348,0.175722,0.179162
28,8.256281,0.268750,0.168750,0.084375,0.138788,0.079971,0.115226,0.137252,0.153564,0.177848,0.175665,0.176070,0.179602
29,8.419600,0.290625,0.159375,0.096875,0.138380,0.079865,0.113882,0.135952,0.152976,0.178370,0.176096,0.176472,0.180134
30,9.623309,0.268750,0.165625,0.115625,0.138318,0.080399,0.114316,0.134575,0.152330,0.178926,0.176570,0.176883,0.180716
31,8.387437,0.287500,0.162500,0.093750,0.138444,0.080495,0.115642,0.133357,0.151836,0.179350,0.176939,0.177308,0.181210
32,9.440268,0.281250,0.168750,0.109375,0.138663,0.081103,0.117691,0.132094,0.151341,0.179773,0.177341,0.177710,0.181740
33,8.007839,0.296875,0.153125,0.087500,0.138090,0.080596,0.118882,0.130916,0.150802,0.180262,0.177728,0.178058,0.182233
34,9.142756,0.315625,0.181250,0.096875,0.138462,0.080662,0.119945,0.129726,0.150280,0.180667,0.178091,0.178495,0.182741
35,9.259877,0.350000,0.184375,0.100000,0.138820,0.081043,0.119155,0.128796,0.149730,0.180969,0.178346,0.178975,0.183184
36,9.125257,0.325000,0.175000,0.100000,0.139097,0.081111,0.120319,0.127683,0.149142,0.181377,0.178702,0.179415,0.183681
37,8.765136,0.287500,0.175000,0.093750,0.139186,0.081002,0.121133,0.126459,0.148633,0.181790,0.179089,0.179840,0.184189
38,7.677181,0.290625,0.168750,0.075000,0.139332,0.080340,0.121778,0.125352,0.148158,0.182198,0.179421,0.180235,0.184636
39,10.084576,0.265625,0.175000,0.118750,0.139375,0.080846,0.120068,0.123889,0.147383,0.182877,0.179868,0.180753,0.185231
40,10.050612,0.293750,0.181250,0.115625,0.139557,0.081390,0.119175,0.122515,0.146715,0.183400,0.180324,0.181236,0.185810
41,7.660256,0.284375,0.153125,0.084375,0.139237,0.081098,0.118304,0.121443,0.146249,0.183785,0.180662,0.181608,0.186252
42,9.098580,0.334375,0.171875,0.100000,0.138872,0.081149,0.117243,0.120374,0.145668,0.184199,0.181037,0.181983,0.186738
43,9.698822,0.290625,0.181250,0.106250,0.138878,0.081225,0.116331,0.118988,0.144931,0.184786,0.181491,0.182486,0.187318
44,11.667598,0.296875,0.203125,0.140625,0.139656,0.082215,0.116342,0.117229,0.144156,0.185498,0.182044,0.183039,0.188034
45,8.594257,0.290625,0.159375,0.096875,0.139499,0.082046,0.117359,0.115934,0.143646,0.185990,0.182431,0.183449,0.188549
46,8.832482,0.250000,0.165625,0.096875,0.139665,0.081940,0.118320,0.114704,0.143011,0.186516,0.182788,0.183924,0.189057
47,11.796909,0.315625,0.206250,0.137500,0.140473,0.082645,0.119103,0.113105,0.142165,0.187164,0.183362,0.184439,0.189765
48,8.865758,0.309375,0.175000,0.096875,0.140387,0.082538,0.118729,0.111859,0.141658,0.187589,0.183787,0.184816,0.190291
49,9.530560,0.290625,0.190625,0.103125,0.140918,0.082361,0.118337,0.110466,0.141081,0.188084,0.184203,0.185293,0.190874
