round,avg_reward,avg_exam,avg_view,avg_like,global_ctr,global_lr,global_awt,w0_cos,w1_fresh,w2_lr,w3_ctr,w4_awt,w5_social
1,5.328253,0.293750,0.115625,0.053125,0.104882,0.052903,0.013116,0.166638,0.166948,0.166604,0.166604,0.166604,0.166604
2,7.968989,0.281250,0.156250,0.087500,0.110423,0.056845,0.022449,0.166510,0.167317,0.166467,0.166494,0.166521,0.166689
3,8.354888,0.300000,0.171875,0.087500,0.115204,0.059919,0.031091,0.166289,0.167645,0.166324,0.166392,0.166465,0.166885
4,9.050511,0.334375,0.178125,0.100000,0.119015,0.062953,0.039458,0.165974,0.167949,0.166170,0.166300,0.166446,0.167162
5,8.931548,0.278125,0.175000,0.100000,0.122089,0.065398,0.047374,0.165615,0.168212,0.166035,0.166206,0.166456,0.167476
6,9.458480,0.315625,0.178125,0.106250,0.124310,0.067476,0.052448,0.165175,0.168456,0.165872,0.166144,0.166493,0.167860
7,8.816281,0.300000,0.159375,0.100000,0.125473,0.069125,0.056923,0.164736,0.168648,0.165737,0.166085,0.166566,0.168228
8,11.037673,0.318750,0.196875,0.128125,0.128191,0.071864,0.062484,0.164171,0.168908,0.165544,0.165973,0.166758,0.168646
9,7.960680,0.293750,0.165625,0.081250,0.129236,0.072016,0.066753,0.163702,0.169037,0.165438,0.165898,0.166909,0.169017
10,8.340001,0.293750,0.159375,0.090625,0.130164,0.072635,0.072125,0.163221,0.169154,0.165322,0.165823,0.167087,0.169394
11,8.284084,0.293750,0.150000,0.093750,0.130037,0.073082,0.074548,0.162675,0.169240,0.165223,0.165748,0.167299,0.169814
12,7.209529,0.293750,0.131250,0.081250,0.129778,0.073596,0.078340,0.162247,0.169321,0.165134,0.165664,0.167493,0.170141
13,11.609616,0.334375,0.200000,0.140625,0.131512,0.075819,0.081473,0.161517,0.169458,0.164970,0.165525,0.167878,0.170651
14,8.995044,0.253125,0.168750,0.100000,0.132425,0.076160,0.085706,0.160903,0.169517,0.164875,0.165431,0.168176,0.171098
15,9.237619,0.293750,0.159375,0.106250,0.132866,0.077055,0.090149,0.160293,0.169608,0.164737,0.165323,0.168521,0.171518
16,8.466436,0.300000,0.150000,0.100000,0.132853,0.077607,0.093360,0.159713,0.169658,0.164645,0.165223,0.168841,0.171921
17,9.666989,0.293750,0.171875,0.112500,0.133563,0.078386,0.096583,0.159046,0.169713,0.164523,0.165081,0.169268,0.172368
18,11.029755,0.312500,0.181250,0.134375,0.134380,0.079702,0.100073,0.158276,0.169766,0.164382,0.164932,0.169759,0.172885
19,8.329952,0.300000,0.165625,0.084375,0.134648,0.079209,0.101781,0.157666,0.169800,0.164282,0.164802,0.170175,0.173275
20,10.550315,0.284375,0.184375,0.121875,0.135629,0.080108,0.103543,0.156920,0.169852,0.164123,0.164639,0.170713,0.173754
