round,avg_reward,avg_exam,avg_view,avg_like,global_ctr,global_lr,global_awt,w0_cos,w1_fresh,w2_lr,w3_ctr,w4_awt,w5_social
1,5.328253,0.293750,0.115625,0.053125,0.104882,0.052903,0.013116,0.166638,0.166948,0.166604,0.166604,0.166604,0.166604
2,8.565720,0.300000,0.168750,0.093750,0.110655,0.057060,0.019962,0.166507,0.167357,0.166464,0.166513,0.166528,0.166632
3,8.361437,0.303125,0.165625,0.093750,0.115019,0.060583,0.029246,0.166301,0.167704,0.166337,0.166446,0.166482,0.166730
4,6.309352,0.300000,0.125000,0.065625,0.116370,0.062068,0.037118,0.166108,0.167924,0.166232,0.166407,0.166463,0.166866
5,8.337970,0.287500,0.168750,0.093750,0.119390,0.064320,0.044676,0.165795,0.168191,0.166106,0.166360,0.166486,0.167061
6,8.809318,0.325000,0.184375,0.090625,0.122333,0.066055,0.051332,0.165457,0.168455,0.165963,0.166300,0.166562,0.167263
7,6.339214,0.275000,0.134375,0.062500,0.123082,0.066647,0.057303,0.165185,0.168633,0.165858,0.166258,0.166643,0.167423
8,8.955201,0.281250,0.187500,0.093750,0.125896,0.068024,0.063498,0.164819,0.168842,0.165699,0.166198,0.166791,0.167652
9,9.811901,0.309375,0.181250,0.115625,0.127910,0.070365,0.068205,0.164372,0.169067,0.165527,0.166139,0.166997,0.167899
10,8.213882,0.265625,0.143750,0.100000,0.128699,0.072017,0.072397,0.163960,0.169245,0.165400,0.166079,0.167208,0.168107
11,8.626310,0.312500,0.171875,0.090625,0.129736,0.072378,0.076671,0.163479,0.169388,0.165294,0.166027,0.167445,0.168367
12,7.493817,0.312500,0.159375,0.075000,0.130510,0.072708,0.079320,0.163084,0.169537,0.165174,0.165956,0.167698,0.168551
13,10.777446,0.315625,0.187500,0.128125,0.131699,0.074401,0.082249,0.162441,0.169681,0.165044,0.165880,0.168078,0.168876
14,8.067323,0.278125,0.150000,0.090625,0.131875,0.075111,0.085749,0.161963,0.169791,0.164948,0.165812,0.168387,0.169099
15,9.438378,0.290625,0.178125,0.103125,0.132673,0.075326,0.088740,0.161342,0.169874,0.164847,0.165761,0.168763,0.169413
16,9.768005,0.296875,0.153125,0.121875,0.132381,0.076588,0.091427,0.160681,0.169945,0.164752,0.165704,0.169183,0.169736
17,7.473272,0.271875,0.150000,0.081250,0.132511,0.076398,0.091163,0.160163,0.169994,0.164688,0.165661,0.169518,0.169975
18,9.756368,0.268750,0.162500,0.118750,0.133275,0.077667,0.093757,0.159546,0.170077,0.164585,0.165592,0.169942,0.170258
19,8.512361,0.281250,0.159375,0.096875,0.133704,0.078013,0.095653,0.158980,0.170147,0.164490,0.165524,0.170342,0.170517
20,8.533853,0.306250,0.156250,0.096875,0.133543,0.078224,0.095620,0.158407,0.170206,0.164394,0.165440,0.170775,0.170778
21,8.899895,0.271875,0.159375,0.103125,0.133782,0.078426,0.097398,0.157771,0.170233,0.164328,0.165373,0.171212,0.171082
22,9.505073,0.331250,0.187500,0.103125,0.134543,0.078907,0.099593,0.157164,0.170301,0.164219,0.165278,0.171686,0.171353
23,9.779976,0.287500,0.175000,0.115625,0.134943,0.079436,0.100046,0.156462,0.170337,0.164121,0.165189,0.172227,0.171663
24,8.894772,0.271875,0.165625,0.100000,0.135115,0.079586,0.103322,0.155834,0.170355,0.164051,0.165125,0.172686,0.171949
25,6.903333,0.259375,0.140625,0.071875,0.134541,0.078862,0.103238,0.155314,0.170362,0.163988,0.165087,0.173065,0.172183
26,8.760578,0.300000,0.162500,0.100000,0.134800,0.079302,0.106165,0.154715,0.170414,0.163867,0.165008,0.173563,0.172432
27,8.576227,0.271875,0.156250,0.100000,0.135241,0.079931,0.105896,0.154138,0.170475,0.163736,0.164915,0.174072,0.172664
28,10.432189,0.325000,0.206250,0.112500,0.136481,0.080036,0.107414,0.153422,0.170517,0.163585,0.164809,0.174689,0.172977
29,7.611600,0.306250,0.150000,0.081250,0.135985,0.079602,0.107478,0.152881,0.170546,0.163479,0.164740,0.175140,0.173213
30,8.265034,0.293750,0.156250,0.093750,0.136034,0.079713,0.108318,0.152331,0.170589,0.163358,0.164659,0.175604,0.173458
31,8.334837,0.265625,0.178125,0.084375,0.136811,0.079167,0.108435,0.151732,0.170625,0.163247,0.164566,0.176117,0.173714
32,10.868558,0.321875,0.196875,0.125000,0.137788,0.080264,0.110623,0.151030,0.170705,0.163060,0.164438,0.176759,0.174007
33,8.565845,0.271875,0.150000,0.100000,0.137272,0.080223,0.108611,0.150375,0.170716,0.162956,0.164363,0.177294,0.174297
34,7.726957,0.303125,0.146875,0.084375,0.136669,0.079906,0.110506,0.149822,0.170724,0.162866,0.164289,0.177758,0.174542
35,9.176934,0.306250,0.178125,0.100000,0.136927,0.079834,0.110371,0.149150,0.170752,0.162742,0.164182,0.178348,0.174827
36,6.682126,0.281250,0.137500,0.068750,0.136285,0.079119,0.110798,0.148653,0.170764,0.162664,0.164117,0.178758,0.175044
37,8.703543,0.296875,0.162500,0.100000,0.136223,0.079412,0.110921,0.148032,0.170810,0.162529,0.164013,0.179314,0.175302
38,8.104321,0.284375,0.156250,0.087500,0.136339,0.079258,0.111420,0.147458,0.170860,0.162397,0.163898,0.179856,0.175532
39,8.282793,0.300000,0.153125,0.093750,0.136162,0.079414,0.111424,0.146860,0.170906,0.162275,0.163793,0.180390,0.175776
40,7.413617,0.240625,0.143750,0.081250,0.135984,0.079072,0.110579,0.146330,0.170917,0.162171,0.163690,0.180887,0.176005
41,8.699751,0.318750,0.168750,0.096875,0.135842,0.079041,0.109730,0.145685,0.170952,0.162052,0.163578,0.181453,0.176280
42,8.095398,0.278125,0.153125,0.090625,0.135760,0.078938,0.109857,0.145094,0.170978,0.161945,0.163478,0.181966,0.176539
43,8.549367,0.293750,0.156250,0.100000,0.136275,0.079822,0.110398,0.144565,0.171062,0.161796,0.163351,0.182483,0.176743
44,8.805969,0.315625,0.159375,0.100000,0.136142,0.080003,0.111614,0.143927,0.171098,0.161679,0.163217,0.183078,0.177001
45,9.257504,0.300000,0.171875,0.106250,0.136344,0.080231,0.111655,0.143234,0.171138,0.161564,0.163077,0.183705,0.177281
46,10.265051,0.312500,0.178125,0.121875,0.136534,0.081010,0.112150,0.142484,0.171185,0.161433,0.162930,0.184376,0.177593
47,8.545955,0.293750,0.168750,0.090625,0.136787,0.080836,0.112496,0.141865,0.171221,0.161324,0.162798,0.184954,0.177839
48,8.620564,0.296875,0.171875,0.093750,0.136985,0.080479,0.113109,0.141208,0.171237,0.161224,0.162683,0.185533,0.178115
49,8.710026,0.259375,0.140625,0.106250,0.136452,0.080858,0.114110,0.140580,0.171235,0.161124,0.162579,0.186082,0.178400
50,7.464567,0.290625,0.137500,0.084375,0.135692,0.080763,0.114842,0.140039,0.171267,0.161024,0.162470,0.186581,0.178619
51,6.849935,0.268750,0.128125,0.078125,0.135167,0.080567,0.115125,0.139567,0.171304,0.160922,0.162362,0.187038,0.178807
52,9.256907,0.293750,0.181250,0.100000,0.136072,0.080651,0.116482,0.138930,0.171356,0.160784,0.162219,0.187647,0.179064
