round,avg_reward,avg_exam,avg_view,avg_like,global_ctr,global_lr,global_awt,w0_cos,w1_fresh,w2_lr,w3_ctr,w4_awt,w5_social
1,9.107000,0.325000,0.193750,0.096875,0.109310,0.055220,0.016609,0.166643,0.167127,0.166558,0.166558,0.166558,0.166558
2,6.115631,0.296875,0.140625,0.059375,0.113494,0.057489,0.029835,0.166550,0.167406,0.166473,0.166494,0.166492,0.166586
3,5.879502,0.246875,0.115625,0.065625,0.115544,0.059568,0.036512,0.166416,0.167653,0.166387,0.166432,0.166440,0.166672
4,6.011355,0.243750,0.118750,0.065625,0.117081,0.061104,0.041683,0.166212,0.167875,0.166320,0.166374,0.166418,0.166801
5,6.626111,0.284375,0.146875,0.065625,0.119227,0.062256,0.049694,0.165979,0.168096,0.166239,0.166318,0.166426,0.166942
6,6.385450,0.284375,0.134375,0.065625,0.121039,0.063743,0.056408,0.165774,0.168314,0.166140,0.166253,0.166477,0.167043
7,6.874111,0.290625,0.131250,0.078125,0.122236,0.065396,0.061216,0.165505,0.168523,0.166028,0.166189,0.166568,0.167186
8,5.986965,0.275000,0.115625,0.068750,0.122403,0.066464,0.064168,0.165237,0.168687,0.165945,0.166123,0.166675,0.167333
9,9.320905,0.306250,0.178125,0.106250,0.124587,0.068341,0.068318,0.164794,0.168922,0.165806,0.166031,0.166872,0.167576
10,6.667893,0.256250,0.128125,0.075000,0.124899,0.068990,0.071362,0.164449,0.169057,0.165728,0.165969,0.167023,0.167774
11,6.510065,0.265625,0.143750,0.065625,0.125908,0.069201,0.074378,0.164106,0.169190,0.165634,0.165902,0.167220,0.167949
12,7.934268,0.284375,0.162500,0.084375,0.127228,0.069827,0.079013,0.163667,0.169330,0.165530,0.165828,0.167464,0.168182
13,8.009701,0.284375,0.159375,0.087500,0.128132,0.070812,0.083465,0.163251,0.169469,0.165420,0.165741,0.167722,0.168396
14,7.970422,0.290625,0.156250,0.087500,0.129392,0.071753,0.085825,0.162823,0.169609,0.165306,0.165656,0.168010,0.168597
15,10.911131,0.293750,0.187500,0.131250,0.130995,0.073940,0.088891,0.162226,0.169784,0.165140,0.165538,0.168417,0.168896
16,7.745332,0.253125,0.143750,0.087500,0.131071,0.074029,0.090605,0.161710,0.169862,0.165061,0.165473,0.168730,0.169163
17,6.134661,0.271875,0.131250,0.062500,0.130847,0.073249,0.092134,0.161282,0.169906,0.165010,0.165423,0.169000,0.169379
18,9.715381,0.293750,0.193750,0.106250,0.132255,0.074165,0.094870,0.160667,0.170011,0.164899,0.165316,0.169445,0.169663
19,7.955060,0.281250,0.143750,0.093750,0.132439,0.075133,0.097373,0.160191,0.170112,0.164788,0.165232,0.169798,0.169878
20,8.860544,0.328125,0.203125,0.081250,0.133894,0.074421,0.099501,0.159595,0.170166,0.164698,0.165146,0.170237,0.170159
21,8.144983,0.287500,0.159375,0.087500,0.134197,0.074600,0.101260,0.159073,0.170223,0.164591,0.165071,0.170633,0.170409
22,9.238830,0.271875,0.181250,0.100000,0.134963,0.074755,0.103239,0.158428,0.170269,0.164491,0.164998,0.171091,0.170725
23,8.784603,0.284375,0.153125,0.103125,0.134971,0.075865,0.105610,0.157841,0.170349,0.164384,0.164922,0.171520,0.170983
24,8.312003,0.275000,0.159375,0.090625,0.135060,0.076058,0.105468,0.157265,0.170391,0.164277,0.164843,0.171985,0.171239
25,6.031408,0.262500,0.121875,0.065625,0.134326,0.075731,0.106527,0.156846,0.170436,0.164201,0.164798,0.172291,0.171428
26,7.419024,0.259375,0.150000,0.078125,0.134467,0.075479,0.107409,0.156325,0.170465,0.164106,0.164725,0.172716,0.171663
27,6.420739,0.290625,0.140625,0.062500,0.133981,0.074813,0.108499,0.155877,0.170483,0.164025,0.164663,0.173088,0.171865
28,10.835068,0.337500,0.200000,0.125000,0.135005,0.076119,0.108882,0.155131,0.170559,0.163864,0.164549,0.173715,0.172183
29,7.503702,0.271875,0.137500,0.084375,0.134534,0.076227,0.109518,0.154587,0.170583,0.163772,0.164479,0.174158,0.172422
30,10.404726,0.315625,0.190625,0.115625,0.135329,0.077308,0.110201,0.153866,0.170642,0.163617,0.164357,0.174808,0.172710
31,8.781396,0.303125,0.168750,0.096875,0.135511,0.077447,0.111954,0.153257,0.170677,0.163489,0.164271,0.175326,0.172980
32,9.155272,0.278125,0.159375,0.109375,0.135707,0.078387,0.112294,0.152647,0.170729,0.163349,0.164177,0.175853,0.173244
33,10.114744,0.331250,0.193750,0.112500,0.136004,0.078840,0.113620,0.151910,0.170759,0.163212,0.164071,0.176493,0.173555
34,9.179091,0.296875,0.168750,0.103125,0.136514,0.079560,0.114351,0.151321,0.170811,0.163060,0.163960,0.177055,0.173793
35,7.220955,0.262500,0.131250,0.084375,0.135980,0.079330,0.113386,0.150783,0.170817,0.162963,0.163898,0.177514,0.174025
36,8.121813,0.268750,0.153125,0.090625,0.136179,0.079372,0.113146,0.150212,0.170837,0.162848,0.163800,0.178045,0.174258
