round,avg_reward,avg_exam,avg_view,avg_like,global_ctr,global_lr,global_awt,w0_cos,w1_fresh,w2_lr,w3_ctr,w4_awt,w5_social
1,7.028841,0.287500,0.162500,0.071875,0.107584,0.053797,0.013552,0.166612,0.167339,0.166512,0.166512,0.166512,0.166512
2,8.419227,0.281250,0.171875,0.093750,0.113440,0.057907,0.025329,0.166265,0.168031,0.166256,0.166329,0.166313,0.166805
3,9.003152,0.312500,0.193750,0.093750,0.118845,0.061088,0.034636,0.165816,0.168665,0.165930,0.166166,0.166129,0.167295
4,7.536614,0.334375,0.184375,0.071875,0.122206,0.062707,0.041242,0.165314,0.169129,0.165655,0.166035,0.166050,0.167817
5,7.081768,0.281250,0.140625,0.078125,0.123607,0.064474,0.049230,0.164752,0.169526,0.165350,0.165955,0.166027,0.168389
6,8.169271,0.303125,0.168750,0.090625,0.125646,0.066525,0.055533,0.164024,0.169992,0.165007,0.165834,0.166094,0.169048
7,7.121133,0.281250,0.150000,0.078125,0.126779,0.067577,0.060410,0.163280,0.170316,0.164712,0.165766,0.166191,0.169734
8,8.438744,0.300000,0.165625,0.096875,0.128102,0.069337,0.065492,0.162390,0.170713,0.164348,0.165641,0.166394,0.170515
9,7.462281,0.303125,0.159375,0.078125,0.128939,0.069806,0.070941,0.161527,0.171003,0.164024,0.165528,0.166614,0.171303
10,6.976403,0.278125,0.159375,0.068750,0.129854,0.069941,0.074095,0.160667,0.171244,0.163732,0.165424,0.166884,0.172048
11,6.148399,0.290625,0.143750,0.059375,0.130105,0.070083,0.076928,0.159944,0.171424,0.163459,0.165309,0.167222,0.172643
12,7.174906,0.309375,0.165625,0.071875,0.130432,0.070289,0.075984,0.158959,0.171610,0.163120,0.165187,0.167687,0.173436
13,10.021276,0.315625,0.184375,0.115625,0.131542,0.072092,0.080218,0.157659,0.171851,0.162605,0.165052,0.168325,0.174507
14,9.142474,0.318750,0.187500,0.096875,0.132497,0.072696,0.083268,0.156347,0.172018,0.162163,0.164929,0.168967,0.175576
15,6.022868,0.293750,0.150000,0.056250,0.132467,0.072036,0.084161,0.155489,0.172049,0.161880,0.164847,0.169451,0.176284
16,9.044285,0.281250,0.184375,0.100000,0.133369,0.072645,0.085129,0.154094,0.172179,0.161405,0.164738,0.170190,0.177395
17,8.833840,0.265625,0.168750,0.103125,0.133971,0.073644,0.087199,0.152714,0.172269,0.160963,0.164628,0.170977,0.178449
18,7.334848,0.303125,0.175000,0.068750,0.134999,0.073530,0.089781,0.151699,0.172360,0.160614,0.164521,0.171571,0.179234
19,7.230432,0.259375,0.146875,0.081250,0.134924,0.073919,0.091366,0.150566,0.172451,0.160265,0.164446,0.172174,0.180098
20,7.783954,0.321875,0.165625,0.081250,0.134774,0.073966,0.093732,0.149318,0.172533,0.159871,0.164350,0.172879,0.181050
21,5.694321,0.281250,0.128125,0.059375,0.134227,0.073643,0.093347,0.148395,0.172634,0.159570,0.164277,0.173434,0.181691
22,7.855444,0.262500,0.143750,0.093750,0.133930,0.074260,0.093489,0.147081,0.172675,0.159161,0.164137,0.174285,0.182661
23,6.901665,0.284375,0.140625,0.075000,0.133663,0.074441,0.094347,0.145987,0.172726,0.158825,0.163976,0.175044,0.183442
24,9.260661,0.315625,0.178125,0.109375,0.134312,0.075375,0.094690,0.144442,0.172872,0.158357,0.163782,0.176009,0.184538
25,7.887404,0.296875,0.171875,0.081250,0.134796,0.075178,0.094637,0.143138,0.172907,0.157975,0.163598,0.176889,0.185493
26,8.546620,0.303125,0.168750,0.093750,0.135376,0.075671,0.097164,0.141752,0.172954,0.157587,0.163411,0.177807,0.186489
27,7.996934,0.296875,0.178125,0.081250,0.136365,0.075779,0.098461,0.140556,0.172975,0.157201,0.163220,0.178703,0.187345
28,5.494667,0.284375,0.128125,0.053125,0.135614,0.075025,0.097950,0.139646,0.172987,0.156921,0.163084,0.179390,0.187971
29,7.951821,0.281250,0.165625,0.084375,0.135993,0.075205,0.099462,0.138372,0.172955,0.156534,0.162849,0.180393,0.188897
30,6.975359,0.293750,0.140625,0.075000,0.135347,0.075227,0.100551,0.137215,0.172940,0.156188,0.162681,0.181259,0.189718
31,6.389410,0.275000,0.137500,0.065625,0.135055,0.074873,0.103240,0.136130,0.172962,0.155874,0.162516,0.182043,0.190476
32,6.596115,0.281250,0.137500,0.071875,0.134629,0.074861,0.103520,0.135032,0.173015,0.155549,0.162305,0.182847,0.191252
33,8.362365,0.293750,0.162500,0.096875,0.134666,0.075470,0.104484,0.133621,0.173013,0.155158,0.162077,0.183867,0.192265
34,7.497263,0.246875,0.140625,0.084375,0.134658,0.075692,0.105863,0.132345,0.173034,0.154792,0.161828,0.184843,0.193157
35,6.243717,0.325000,0.153125,0.059375,0.134463,0.075162,0.106374,0.131382,0.173046,0.154472,0.161627,0.185663,0.193809
36,8.048822,0.306250,0.165625,0.084375,0.134371,0.075175,0.106362,0.130049,0.173005,0.154047,0.161361,0.186774,0.194763
37,9.530165,0.278125,0.178125,0.109375,0.134982,0.075861,0.106833,0.128390,0.172986,0.153547,0.161110,0.188003,0.195963
38,7.011631,0.278125,0.150000,0.071875,0.134924,0.075816,0.108565,0.127273,0.172978,0.153206,0.160915,0.188857,0.196771
39,6.998404,0.300000,0.156250,0.071875,0.135108,0.075488,0.107776,0.126075,0.172968,0.152840,0.160726,0.189805,0.197585
40,8.957194,0.290625,0.168750,0.103125,0.135507,0.076141,0.108593,0.124537,0.172927,0.152378,0.160481,0.191007,0.198670
41,7.172250,0.265625,0.153125,0.075000,0.135579,0.075875,0.109052,0.123324,0.172881,0.152030,0.160284,0.191907,0.199573
42,7.026062,0.256250,0.146875,0.075000,0.135092,0.075346,0.106512,0.121920,0.172853,0.151702,0.160124,0.192845,0.200557
43,8.821238,0.328125,0.181250,0.093750,0.135626,0.075907,0.108097,0.120495,0.172817,0.151254,0.159886,0.194005,0.201544
44,7.174602,0.275000,0.150000,0.075000,0.135248,0.075627,0.105983,0.119191,0.172658,0.150897,0.159709,0.195088,0.202457
45,8.397259,0.284375,0.168750,0.093750,0.135574,0.076084,0.106191,0.117662,0.172554,0.150494,0.159526,0.196274,0.203490
46,6.052900,0.250000,0.128125,0.062500,0.134769,0.075415,0.102987,0.116478,0.172499,0.150196,0.159390,0.197126,0.204312
47,8.106880,0.309375,0.187500,0.078125,0.135868,0.075441,0.104904,0.115185,0.172509,0.149775,0.159171,0.198181,0.205179
48,9.197912,0.318750,0.168750,0.109375,0.136163,0.076566,0.106300,0.113619,0.172459,0.149305,0.158983,0.199385,0.206249
49,8.211648,0.281250,0.153125,0.093750,0.136103,0.077105,0.108428,0.112318,0.172402,0.148886,0.158803,0.200346,0.207245
50,7.288932,0.271875,0.159375,0.078125,0.136565,0.076983,0.109176,0.111107,0.172398,0.148520,0.158611,0.201272,0.208093
51,10.035888,0.303125,0.187500,0.118750,0.137448,0.078050,0.109659,0.109353,0.172349,0.148018,0.158339,0.202672,0.209269
52,7.521208,0.271875,0.156250,0.078125,0.137082,0.077682,0.107507,0.107976,0.172283,0.147664,0.158150,0.203698,0.210229
53,9.023313,0.306250,0.184375,0.096875,0.138027,0.077860,0.109789,0.106411,0.172292,0.147202,0.157923,0.204904,0.211268
54,9.566102,0.275000,0.212500,0.093750,0.139461,0.077647,0.111751,0.104704,0.172235,0.146741,0.157691,0.206184,0.212446
55,6.082894,0.250000,0.115625,0.071875,0.137971,0.077469,0.110700,0.103564,0.172226,0.146449,0.157599,0.206911,0.213250
56,6.848331,0.271875,0.146875,0.071875,0.137559,0.077017,0.109905,0.102278,0.172148,0.146132,0.157480,0.207834,0.214128
57,9.421566,0.284375,0.190625,0.103125,0.138500,0.077774,0.111022,0.100712,0.172127,0.145631,0.157234,0.209133,0.215164
58,7.330671,0.278125,0.143750,0.081250,0.137742,0.077532,0.111183,0.099308,0.172065,0.145266,0.157137,0.210075,0.216150
59,10.388318,0.293750,0.184375,0.125000,0.138229,0.078707,0.110764,0.097508,0.171903,0.144725,0.156840,0.211651,0.217373
60,8.064384,0.309375,0.171875,0.087500,0.138551,0.078777,0.110813,0.096161,0.171871,0.144321,0.156623,0.212754,0.218269
61,8.128144,0.271875,0.153125,0.093750,0.137952,0.078834,0.108724,0.094584,0.171835,0.143931,0.156451,0.213860,0.219339
62,7.381789,0.281250,0.143750,0.084375,0.137399,0.078875,0.107298,0.093327,0.171873,0.143572,0.156305,0.214666,0.220257
63,7.928787,0.296875,0.171875,0.081250,0.137614,0.078239,0.108462,0.091858,0.171835,0.143210,0.156141,0.215634,0.221322
64,9.483652,0.315625,0.187500,0.106250,0.138257,0.078660,0.108357,0.090150,0.171739,0.142744,0.155915,0.216983,0.222468
65,8.820584,0.290625,0.175000,0.100000,0.138365,0.078730,0.107961,0.088499,0.171582,0.142396,0.155718,0.218155,0.223650
66,6.969854,0.278125,0.159375,0.071875,0.138386,0.078088,0.107046,0.087199,0.171497,0.142130,0.155570,0.219038,0.224565
67,8.232202,0.306250,0.178125,0.084375,0.138642,0.077833,0.107034,0.085701,0.171442,0.141753,0.155372,0.220139,0.225592
68,7.478381,0.303125,0.150000,0.084375,0.137714,0.077462,0.106647,0.084106,0.171390,0.141447,0.155253,0.221122,0.226681
69,8.419228,0.337500,0.175000,0.090625,0.137595,0.077378,0.105132,0.082523,0.171247,0.141078,0.155055,0.222311,0.227787
70,8.269928,0.296875,0.168750,0.090625,0.137262,0.077231,0.105787,0.080837,0.171117,0.140760,0.154882,0.223432,0.228971
71,7.899750,0.303125,0.162500,0.084375,0.137210,0.077193,0.107306,0.079390,0.170985,0.140423,0.154703,0.224508,0.229991
72,9.971768,0.325000,0.203125,0.109375,0.137997,0.077485,0.106276,0.077470,0.170836,0.140002,0.154481,0.225870,0.231341
73,8.407401,0.284375,0.165625,0.093750,0.138198,0.077587,0.106173,0.075882,0.170715,0.139621,0.154291,0.227052,0.232439
74,8.573719,0.303125,0.159375,0.100000,0.137800,0.077793,0.105390,0.074066,0.170678,0.139304,0.154137,0.228143,0.233672
75,8.052112,0.303125,0.162500,0.087500,0.137571,0.077660,0.106627,0.072478,0.170551,0.138995,0.153942,0.229261,0.234772
76,7.615108,0.275000,0.156250,0.084375,0.137467,0.077700,0.106489,0.071057,0.170464,0.138707,0.153751,0.230256,0.235764
77,8.376669,0.306250,0.175000,0.090625,0.137735,0.077848,0.106017,0.069542,0.170289,0.138367,0.153513,0.231485,0.236804
78,9.066747,0.312500,0.190625,0.096875,0.138331,0.078287,0.106654,0.067979,0.170167,0.137984,0.153265,0.232709,0.237897
79,7.818906,0.303125,0.159375,0.087500,0.138290,0.078369,0.106600,0.066534,0.170104,0.137612,0.153055,0.233848,0.238846
80,7.026220,0.284375,0.159375,0.071875,0.137999,0.077726,0.106866,0.065151,0.170010,0.137328,0.152908,0.234791,0.239812
81,6.805182,0.306250,0.156250,0.068750,0.137655,0.077024,0.107040,0.063907,0.169865,0.137030,0.152747,0.235729,0.240723
82,8.205807,0.315625,0.156250,0.093750,0.137460,0.077554,0.108425,0.062454,0.169819,0.136652,0.152522,0.236826,0.241727
83,6.737382,0.287500,0.159375,0.065625,0.137083,0.076643,0.107726,0.061037,0.169770,0.136388,0.152359,0.237748,0.242698
84,8.956502,0.300000,0.171875,0.103125,0.137218,0.077218,0.106840,0.059406,0.169685,0.135985,0.152090,0.238977,0.243858
85,5.363273,0.281250,0.143750,0.043750,0.136618,0.075770,0.106229,0.058331,0.169705,0.135743,0.151979,0.239621,0.244621
86,8.238056,0.312500,0.159375,0.093750,0.136408,0.076185,0.106810,0.056803,0.169672,0.135329,0.151755,0.240753,0.245687
87,7.392754,0.281250,0.165625,0.075000,0.136826,0.076040,0.108004,0.055559,0.169649,0.134963,0.151537,0.241700,0.246591
88,7.817770,0.275000,0.159375,0.084375,0.136860,0.076005,0.108084,0.054130,0.169530,0.134577,0.151361,0.242768,0.247634
89,7.843970,0.290625,0.162500,0.084375,0.136753,0.076052,0.105822,0.052671,0.169384,0.134200,0.151152,0.243930,0.248663
90,7.851131,0.300000,0.159375,0.087500,0.136875,0.076365,0.107020,0.051235,0.169435,0.133782,0.150931,0.244982,0.249636
