round,avg_reward,avg_exam,avg_view,avg_like,global_ctr,global_lr,global_awt,w0_cos,w1_fresh,w2_lr,w3_ctr,w4_awt,w5_social
1,7.512290,0.296875,0.150000,0.087500,0.106731,0.054769,0.014518,0.166603,0.167092,0.166576,0.166576,0.166576,0.166576
2,6.533706,0.296875,0.131250,0.075000,0.110393,0.057818,0.023722,0.166451,0.167427,0.166465,0.166487,0.166479,0.166691
3,7.091894,0.312500,0.137500,0.084375,0.113025,0.060575,0.031508,0.166227,0.167751,0.166341,0.166393,0.166389,0.166900
4,5.919076,0.259375,0.121875,0.059375,0.115003,0.061838,0.040774,0.166036,0.167984,0.166238,0.166313,0.166344,0.167086
5,9.771375,0.300000,0.187500,0.115625,0.118819,0.064740,0.048092,0.165634,0.168349,0.166059,0.166192,0.166333,0.167433
6,9.210410,0.296875,0.175000,0.112500,0.121533,0.067172,0.055881,0.165196,0.168648,0.165918,0.166090,0.166353,0.167795
7,9.867491,0.325000,0.187500,0.121875,0.124151,0.069496,0.061357,0.164701,0.168933,0.165765,0.165976,0.166429,0.168195
8,7.731259,0.290625,0.159375,0.084375,0.125722,0.070386,0.067290,0.164288,0.169137,0.165667,0.165887,0.166512,0.168509
9,8.750366,0.306250,0.162500,0.112500,0.126744,0.071845,0.072537,0.163769,0.169350,0.165562,0.165800,0.166611,0.168908
10,9.565442,0.303125,0.184375,0.112500,0.128456,0.073250,0.077040,0.163204,0.169558,0.165450,0.165677,0.166788,0.169323
11,6.819679,0.253125,0.137500,0.075000,0.128667,0.073369,0.078304,0.162760,0.169711,0.165369,0.165599,0.166921,0.169639
12,8.973154,0.275000,0.171875,0.106250,0.129997,0.074821,0.083451,0.162226,0.169888,0.165239,0.165490,0.167145,0.170012
13,9.479989,0.293750,0.190625,0.106250,0.131846,0.075485,0.086641,0.161635,0.170047,0.165092,0.165388,0.167414,0.170424
14,8.328687,0.318750,0.165625,0.100000,0.132519,0.076370,0.088928,0.161103,0.170206,0.164966,0.165296,0.167655,0.170774
15,8.406007,0.300000,0.159375,0.103125,0.132860,0.076981,0.092978,0.160538,0.170338,0.164841,0.165191,0.167940,0.171153
16,7.648948,0.312500,0.150000,0.087500,0.132750,0.077054,0.095946,0.160006,0.170452,0.164732,0.165101,0.168207,0.171502
17,7.732179,0.256250,0.140625,0.096875,0.132815,0.077543,0.099902,0.159470,0.170562,0.164616,0.164998,0.168499,0.171855
18,9.503944,0.287500,0.184375,0.106250,0.133846,0.077934,0.103382,0.158798,0.170698,0.164479,0.164850,0.168889,0.172286
19,9.154038,0.296875,0.165625,0.118750,0.134277,0.078955,0.106537,0.158133,0.170818,0.164343,0.164709,0.169303,0.172694
20,7.312307,0.271875,0.146875,0.078125,0.133875,0.078451,0.106317,0.157547,0.170904,0.164257,0.164608,0.169632,0.173052
21,7.515655,0.275000,0.146875,0.084375,0.133969,0.078263,0.106561,0.156992,0.170989,0.164138,0.164480,0.170016,0.173385
22,8.692663,0.309375,0.159375,0.106250,0.134093,0.079023,0.108630,0.156369,0.171093,0.163995,0.164329,0.170452,0.173762
23,8.383222,0.287500,0.153125,0.106250,0.134017,0.079496,0.109967,0.155719,0.171192,0.163875,0.164191,0.170873,0.174149
24,8.664321,0.303125,0.165625,0.106250,0.134424,0.079907,0.109776,0.155097,0.171279,0.163749,0.164044,0.171299,0.174532
25,8.698778,0.278125,0.171875,0.096875,0.134780,0.079942,0.111192,0.154431,0.171374,0.163625,0.163910,0.171727,0.174934
26,8.779860,0.328125,0.165625,0.106250,0.134655,0.080249,0.113239,0.153769,0.171462,0.163484,0.163766,0.172187,0.175331
27,8.692152,0.290625,0.168750,0.100000,0.135108,0.080351,0.113896,0.153107,0.171553,0.163343,0.163620,0.172657,0.175719
28,7.939512,0.287500,0.156250,0.087500,0.135145,0.079997,0.114098,0.152464,0.171640,0.163219,0.163476,0.173123,0.176078
29,8.439994,0.259375,0.162500,0.103125,0.135754,0.080084,0.114699,0.151800,0.171720,0.163085,0.163337,0.173601,0.176457
30,10.288582,0.331250,0.206250,0.112500,0.136860,0.080212,0.115867,0.150991,0.171827,0.162905,0.163151,0.174223,0.176904
31,9.348393,0.306250,0.175000,0.112500,0.136926,0.080608,0.116144,0.150241,0.171914,0.162755,0.162990,0.174771,0.177329
32,7.043133,0.303125,0.150000,0.068750,0.136201,0.079522,0.113815,0.149630,0.171973,0.162657,0.162887,0.175183,0.177670
33,9.676791,0.300000,0.200000,0.100000,0.137560,0.079275,0.114467,0.148891,0.172056,0.162475,0.162727,0.175757,0.178093
34,6.835200,0.290625,0.134375,0.075000,0.136841,0.078676,0.114051,0.148335,0.172130,0.162352,0.162617,0.176168,0.178397
35,7.396234,0.275000,0.150000,0.081250,0.136438,0.078208,0.114868,0.147726,0.172188,0.162245,0.162503,0.176581,0.178756
36,8.973446,0.303125,0.171875,0.109375,0.136760,0.079021,0.115828,0.147055,0.172284,0.162085,0.162353,0.177088,0.179136
37,7.640087,0.303125,0.146875,0.090625,0.136244,0.079255,0.115038,0.146464,0.172349,0.161948,0.162225,0.177542,0.179472
38,9.060111,0.312500,0.168750,0.112500,0.136427,0.079818,0.115470,0.145747,0.172448,0.161788,0.162075,0.178071,0.179872
39,8.848590,0.265625,0.165625,0.106250,0.136594,0.079962,0.114745,0.145032,0.172505,0.161656,0.161916,0.178598,0.180293
40,8.481140,0.296875,0.171875,0.090625,0.136657,0.079705,0.114814,0.144364,0.172552,0.161512,0.161762,0.179134,0.180676
41,8.861128,0.287500,0.165625,0.106250,0.136910,0.080210,0.116238,0.143686,0.172636,0.161347,0.161613,0.179657,0.181061
42,9.215950,0.306250,0.175000,0.109375,0.137203,0.080346,0.116772,0.142952,0.172699,0.161190,0.161450,0.180228,0.181481
43,9.368760,0.293750,0.184375,0.109375,0.137825,0.080719,0.113776,0.142213,0.172805,0.161016,0.161285,0.180795,0.181887
44,7.280549,0.253125,0.140625,0.084375,0.137513,0.080694,0.114253,0.141641,0.172866,0.160889,0.161163,0.181232,0.182209
45,8.289848,0.315625,0.165625,0.093750,0.137412,0.080804,0.113989,0.140988,0.172954,0.160728,0.161017,0.181752,0.182561
