round,avg_reward,avg_exam,avg_view,avg_like,global_ctr,global_lr,global_awt,w0_cos,w1_fresh,w2_lr,w3_ctr,w4_awt,w5_social
1,7.393995,0.287500,0.153125,0.078125,0.107453,0.054357,0.021629,0.167031,0.166989,0.166495,0.166495,0.166495,0.166495
2,7.760756,0.290625,0.146875,0.093750,0.112549,0.058689,0.031066,0.166456,0.166754,0.166794,0.166434,0.166631,0.166931
3,7.822256,0.290625,0.143750,0.100000,0.115824,0.062367,0.040306,0.165603,0.166403,0.166986,0.166703,0.167005,0.167300
4,7.319060,0.287500,0.146875,0.081250,0.118849,0.064452,0.048878,0.164634,0.166205,0.167175,0.166909,0.167400,0.167677
5,7.784916,0.290625,0.159375,0.081250,0.121319,0.065733,0.055417,0.163482,0.165880,0.167548,0.167132,0.167848,0.168110
6,8.054409,0.303125,0.156250,0.096875,0.123458,0.067944,0.062337,0.162528,0.165588,0.167806,0.167300,0.168317,0.168462
7,7.811090,0.268750,0.150000,0.093750,0.125135,0.069528,0.068123,0.161511,0.165310,0.168090,0.167538,0.168724,0.168827
8,9.568287,0.290625,0.175000,0.121875,0.127121,0.071790,0.073403,0.160245,0.164943,0.168453,0.167855,0.169216,0.169287
9,8.623087,0.309375,0.168750,0.100000,0.128450,0.072859,0.079532,0.159183,0.164609,0.168751,0.168152,0.169613,0.169692
10,8.029253,0.275000,0.159375,0.090625,0.129557,0.073374,0.083353,0.158145,0.164333,0.169028,0.168422,0.169997,0.170075
11,9.085071,0.259375,0.178125,0.103125,0.130978,0.074357,0.086706,0.156725,0.164100,0.169321,0.168769,0.170546,0.170540
12,8.911325,0.290625,0.181250,0.090625,0.132391,0.075087,0.092622,0.155771,0.163827,0.169489,0.168951,0.171060,0.170901
13,7.451159,0.309375,0.143750,0.087500,0.132556,0.075839,0.094882,0.154953,0.163592,0.169617,0.169102,0.171523,0.171213
14,9.444011,0.281250,0.175000,0.118750,0.133581,0.077115,0.098180,0.153552,0.163269,0.169959,0.169413,0.172123,0.171684
15,7.297479,0.275000,0.146875,0.081250,0.133686,0.077121,0.099271,0.152690,0.162949,0.170184,0.169611,0.172556,0.172010
16,7.671842,0.309375,0.146875,0.090625,0.133460,0.077261,0.100448,0.151571,0.162660,0.170487,0.169869,0.173037,0.172376
17,7.447681,0.271875,0.140625,0.087500,0.133164,0.077178,0.102184,0.150603,0.162312,0.170773,0.170122,0.173469,0.172721
18,9.162232,0.268750,0.175000,0.106250,0.134158,0.077853,0.103711,0.149267,0.161990,0.171063,0.170411,0.174116,0.173153
