round,avg_reward,avg_exam,avg_view,avg_like,global_ctr,global_lr,global_awt,w0_cos,w1_fresh,w2_lr,w3_ctr,w4_awt,w5_social
1,4.087623,0.287500,0.153125,0.078125,0.107453,0.054357,0.021629,0.166868,0.166845,0.166572,0.166572,0.166572,0.166572
2,4.349128,0.290625,0.146875,0.093750,0.112549,0.058689,0.031066,0.166546,0.166711,0.166740,0.166537,0.166649,0.166817
3,4.411128,0.290625,0.143750,0.100000,0.115824,0.062367,0.040306,0.166069,0.166512,0.166847,0.166687,0.166860,0.167024
4,4.065780,0.287500,0.146875,0.081250,0.118849,0.064452,0.048878,0.165523,0.166399,0.166956,0.166804,0.167080,0.167236
5,4.298708,0.290625,0.159375,0.081250,0.121319,0.065733,0.055417,0.164883,0.166216,0.167168,0.166928,0.167327,0.167478
6,4.511579,0.303125,0.156250,0.096875,0.123458,0.067944,0.062337,0.164347,0.166052,0.167314,0.167022,0.167590,0.167676
7,4.374295,0.268750,0.150000,0.093750,0.125135,0.069528,0.068123,0.163777,0.165894,0.167473,0.167156,0.167818,0.167881
8,5.394646,0.290625,0.175000,0.121875,0.127140,0.071795,0.073612,0.163070,0.165690,0.167676,0.167333,0.168092,0.168138
9,4.880834,0.300000,0.171875,0.100000,0.128627,0.072902,0.079532,0.162395,0.165533,0.167843,0.167493,0.168362,0.168374
10,4.039589,0.268750,0.140625,0.081250,0.128677,0.073016,0.082387,0.161766,0.165373,0.168037,0.167670,0.168560,0.168593
11,4.371234,0.250000,0.150000,0.090625,0.129515,0.073544,0.085966,0.161188,0.165193,0.168197,0.167822,0.168792,0.168809
12,4.105622,0.259375,0.153125,0.075000,0.130537,0.073756,0.091138,0.160669,0.165060,0.168295,0.167935,0.169044,0.168998
13,4.821426,0.306250,0.175000,0.093750,0.131575,0.074213,0.093703,0.160004,0.164891,0.168459,0.168112,0.169300,0.169235
14,5.853135,0.309375,0.193750,0.128125,0.133088,0.075949,0.097388,0.159251,0.164701,0.168619,0.168287,0.169641,0.169501
