round,avg_reward,avg_exam,avg_view,avg_like,global_ctr,global_lr,global_awt,w0_cos,w1_fresh,w2_lr,w3_ctr,w4_awt,w5_social
1,7.425245,0.287500,0.153125,0.078125,0.107453,0.054357,0.021629,0.166840,0.166824,0.166584,0.166584,0.166584,0.166584
2,8.167006,0.290625,0.146875,0.093750,0.112549,0.058689,0.031066,0.166580,0.166721,0.166713,0.166552,0.166657,0.166777
3,8.384756,0.290625,0.143750,0.100000,0.115824,0.062367,0.040306,0.166221,0.166577,0.166779,0.166658,0.166834,0.166932
4,7.475310,0.287500,0.146875,0.081250,0.118849,0.064452,0.048878,0.165802,0.166496,0.166855,0.166739,0.167014,0.167093
5,7.816166,0.290625,0.159375,0.081250,0.121319,0.065733,0.055417,0.165335,0.166365,0.167004,0.166822,0.167204,0.167271
6,8.429409,0.303125,0.156250,0.096875,0.123458,0.067944,0.062337,0.164934,0.166251,0.167097,0.166882,0.167418,0.167418
7,8.186090,0.268750,0.150000,0.093750,0.125135,0.069528,0.068123,0.164510,0.166140,0.167202,0.166973,0.167604,0.167571
8,10.258041,0.290625,0.175000,0.121875,0.127140,0.071795,0.073612,0.163971,0.165998,0.167337,0.167097,0.167832,0.167765
9,9.042918,0.300000,0.171875,0.100000,0.128627,0.072902,0.079532,0.163468,0.165893,0.167444,0.167204,0.168051,0.167941
10,7.485428,0.268750,0.140625,0.081250,0.128677,0.073016,0.082387,0.163008,0.165784,0.167574,0.167326,0.168209,0.168100
11,8.148718,0.250000,0.150000,0.090625,0.129515,0.073544,0.085966,0.162574,0.165658,0.167681,0.167430,0.168396,0.168261
12,7.429993,0.259375,0.153125,0.075000,0.130537,0.073756,0.091138,0.162191,0.165567,0.167739,0.167503,0.168600,0.168400
13,8.828398,0.306250,0.175000,0.093750,0.131562,0.074213,0.093526,0.161709,0.165449,0.167845,0.167625,0.168800,0.168573
14,11.051686,0.309375,0.193750,0.128125,0.133089,0.075954,0.098111,0.161159,0.165310,0.167943,0.167745,0.169072,0.168770
15,8.712752,0.300000,0.181250,0.090625,0.134094,0.075833,0.099479,0.160681,0.165179,0.168056,0.167872,0.169271,0.168940
16,9.958835,0.303125,0.181250,0.112500,0.135030,0.076792,0.103765,0.160160,0.165038,0.168165,0.167998,0.169515,0.169124
17,8.202045,0.290625,0.156250,0.090625,0.135039,0.076915,0.106299,0.159759,0.164898,0.168254,0.168109,0.169711,0.169269
18,10.000579,0.287500,0.178125,0.112500,0.135808,0.077598,0.107518,0.159219,0.164744,0.168360,0.168235,0.169982,0.169460
19,9.831213,0.309375,0.162500,0.118750,0.135421,0.078289,0.108433,0.158647,0.164584,0.168507,0.168385,0.170218,0.169658
20,7.871734,0.293750,0.153125,0.084375,0.135137,0.078027,0.107552,0.158173,0.164468,0.168617,0.168500,0.170425,0.169817
21,9.992067,0.303125,0.190625,0.112500,0.136222,0.078920,0.108255,0.157636,0.164369,0.168689,0.168586,0.170724,0.169997
22,11.612589,0.328125,0.200000,0.137500,0.137147,0.080298,0.108971,0.157014,0.164215,0.168795,0.168720,0.171044,0.170211
23,8.452243,0.293750,0.140625,0.100000,0.136475,0.080414,0.109991,0.156591,0.164086,0.168897,0.168814,0.171250,0.170363
24,6.740431,0.275000,0.134375,0.071875,0.135865,0.079798,0.110055,0.156247,0.163996,0.168972,0.168902,0.171398,0.170485
25,9.921399,0.318750,0.193750,0.106250,0.136734,0.080216,0.111116,0.155734,0.163887,0.169040,0.168994,0.171687,0.170658
26,10.757375,0.296875,0.200000,0.118750,0.137709,0.080372,0.112322,0.155175,0.163700,0.169177,0.169132,0.171956,0.170859
27,9.517456,0.303125,0.181250,0.106250,0.138434,0.080738,0.113562,0.154721,0.163561,0.169255,0.169230,0.172210,0.171024
28,7.646989,0.271875,0.140625,0.087500,0.137850,0.080717,0.114311,0.154323,0.163457,0.169332,0.169325,0.172404,0.171159
29,9.875050,0.265625,0.165625,0.115625,0.137923,0.081002,0.114586,0.153687,0.163330,0.169480,0.169478,0.172668,0.171357
30,9.743717,0.321875,0.181250,0.109375,0.138078,0.081116,0.114535,0.153150,0.163177,0.169585,0.169597,0.172949,0.171543
31,10.703510,0.281250,0.193750,0.121875,0.138933,0.081496,0.116164,0.152516,0.163009,0.169738,0.169761,0.173214,0.171762
32,7.351473,0.278125,0.137500,0.081250,0.137692,0.080723,0.114568,0.152059,0.162877,0.169871,0.169880,0.173397,0.171917
33,11.325122,0.315625,0.206250,0.131250,0.139128,0.081752,0.115112,0.151532,0.162726,0.169960,0.169984,0.173688,0.172110
34,8.109599,0.296875,0.159375,0.087500,0.138649,0.081136,0.116131,0.151067,0.162609,0.170077,0.170097,0.173886,0.172264
35,8.497874,0.290625,0.159375,0.093750,0.138034,0.080879,0.116357,0.150554,0.162489,0.170199,0.170222,0.174104,0.172433
36,8.386534,0.296875,0.162500,0.093750,0.138020,0.080704,0.115480,0.150079,0.162372,0.170306,0.170335,0.174314,0.172593
37,10.080704,0.312500,0.190625,0.112500,0.138441,0.080881,0.115639,0.149551,0.162222,0.170417,0.170460,0.174569,0.172782
38,9.933042,0.312500,0.193750,0.106250,0.138911,0.080922,0.117025,0.148992,0.162084,0.170533,0.170591,0.174829,0.172970
39,11.601976,0.281250,0.184375,0.143750,0.139633,0.082606,0.118723,0.148332,0.161962,0.170648,0.170706,0.175166,0.173186
40,10.105642,0.265625,0.175000,0.118750,0.139885,0.082826,0.116041,0.147761,0.161800,0.170785,0.170839,0.175431,0.173384
41,8.980807,0.284375,0.159375,0.103125,0.139307,0.082574,0.116669,0.147236,0.161649,0.170919,0.170982,0.175650,0.173564
