round,avg_reward,avg_exam,avg_view,avg_like,global_ctr,global_lr,global_awt,w0_cos,w1_fresh,w2_lr,w3_ctr,w4_awt,w5_social
1,7.587367,0.275000,0.153125,0.081250,0.107622,0.054550,0.026407,0.200000,0.160174,0.159956,0.159956,0.159956,0.159956
2,9.227587,0.300000,0.150000,0.112500,0.112697,0.059795,0.037095,0.200000,0.159891,0.160104,0.159963,0.159936,0.160106
3,8.028012,0.275000,0.143750,0.090625,0.116120,0.062740,0.045339,0.200000,0.159679,0.160143,0.159978,0.159999,0.160201
4,7.526232,0.278125,0.159375,0.075000,0.119187,0.064088,0.054521,0.200000,0.159459,0.160178,0.159998,0.160082,0.160283
5,7.406845,0.278125,0.156250,0.075000,0.121572,0.065308,0.061497,0.200000,0.159247,0.160198,0.160025,0.160169,0.160361
6,7.731579,0.287500,0.150000,0.087500,0.123371,0.066655,0.068439,0.200000,0.158995,0.160253,0.160075,0.160233,0.160443
7,8.693727,0.265625,0.146875,0.106250,0.125091,0.068909,0.074906,0.200000,0.158732,0.160275,0.160100,0.160368,0.160525
8,9.692377,0.303125,0.178125,0.109375,0.127096,0.070689,0.081200,0.200000,0.158440,0.160292,0.160128,0.160522,0.160619
9,7.593852,0.278125,0.125000,0.093750,0.127188,0.072037,0.086065,0.200000,0.158192,0.160313,0.160154,0.160647,0.160694
10,8.828379,0.265625,0.153125,0.103125,0.128430,0.073410,0.089505,0.200000,0.157946,0.160308,0.160170,0.160796,0.160780
11,8.364370,0.284375,0.153125,0.093750,0.129400,0.074386,0.091627,0.200000,0.157677,0.160300,0.160164,0.160993,0.160866
12,9.306051,0.281250,0.168750,0.103125,0.130603,0.075254,0.094299,0.200000,0.157400,0.160286,0.160169,0.161183,0.160962
13,11.155579,0.328125,0.203125,0.125000,0.132424,0.076753,0.095420,0.200000,0.157038,0.160273,0.160169,0.161441,0.161080
14,10.057743,0.296875,0.178125,0.115625,0.133083,0.077108,0.097591,0.200000,0.156671,0.160328,0.160230,0.161579,0.161192
15,8.427042,0.296875,0.165625,0.090625,0.133982,0.077590,0.100053,0.200000,0.156438,0.160298,0.160224,0.161763,0.161276
16,10.942080,0.312500,0.193750,0.125000,0.135275,0.078863,0.103837,0.200000,0.156075,0.160303,0.160265,0.161962,0.161394
17,8.458634,0.287500,0.168750,0.087500,0.135215,0.078323,0.103587,0.200000,0.155764,0.160333,0.160311,0.162101,0.161491
18,9.894624,0.293750,0.168750,0.115625,0.135382,0.078913,0.107018,0.200000,0.155432,0.160357,0.160359,0.162256,0.161595
19,9.310803,0.300000,0.187500,0.096875,0.136145,0.078696,0.109683,0.200000,0.155106,0.160379,0.160403,0.162415,0.161697
