round,avg_reward,avg_exam,avg_view,avg_like,global_ctr,global_lr,global_awt,w0_cos,w1_fresh,w2_lr,w3_ctr,w4_awt,w5_social
1,6.940357,0.278125,0.137500,0.076563,0.112492,0.058331,0.027034,0.200000,0.160093,0.159977,0.159977,0.159977,0.159977
2,7.733594,0.290625,0.150000,0.082812,0.121194,0.064750,0.041068,0.200000,0.160004,0.160030,0.159990,0.159948,0.160028
3,9.127054,0.339062,0.178125,0.098437,0.127963,0.070072,0.051113,0.200000,0.159877,0.160066,0.160029,0.159941,0.160087
4,8.690037,0.298438,0.171875,0.093750,0.132942,0.073673,0.058573,0.200000,0.159760,0.160089,0.160070,0.159950,0.160131
5,10.352501,0.290625,0.175000,0.123438,0.136428,0.078354,0.067114,0.200000,0.159618,0.160132,0.160097,0.159969,0.160185
6,10.359187,0.304688,0.190625,0.115625,0.139928,0.081396,0.074327,0.200000,0.159488,0.160148,0.160122,0.160006,0.160235
7,10.584974,0.295312,0.179688,0.125000,0.142296,0.084656,0.080604,0.200000,0.159358,0.160170,0.160140,0.160052,0.160281
8,9.470402,0.301563,0.176563,0.104688,0.143983,0.086085,0.086579,0.200000,0.159237,0.160187,0.160166,0.160087,0.160323
9,9.958741,0.307812,0.179688,0.112500,0.145553,0.087908,0.090975,0.200000,0.159113,0.160192,0.160185,0.160144,0.160366
10,10.389132,0.281250,0.181250,0.121875,0.147491,0.090330,0.095192,0.200000,0.158989,0.160195,0.160202,0.160207,0.160407
11,12.401977,0.334375,0.206250,0.150000,0.149382,0.093343,0.099852,0.200000,0.158835,0.160208,0.160222,0.160280,0.160455
12,9.136842,0.281250,0.160938,0.106250,0.149680,0.094192,0.103172,0.200000,0.158720,0.160227,0.160241,0.160320,0.160491
13,9.062660,0.282813,0.171875,0.098437,0.150253,0.093916,0.107422,0.200000,0.158596,0.160248,0.160266,0.160361,0.160528
14,10.959655,0.292187,0.192188,0.128125,0.152073,0.095625,0.110786,0.200000,0.158459,0.160259,0.160286,0.160424,0.160572
15,11.392179,0.290625,0.198437,0.132812,0.153076,0.096673,0.113844,0.200000,0.158311,0.160284,0.160309,0.160480,0.160615
16,10.303618,0.290625,0.181250,0.120313,0.153920,0.097463,0.116522,0.200000,0.158175,0.160306,0.160326,0.160537,0.160655
17,8.227905,0.271875,0.146875,0.093750,0.153182,0.096867,0.119818,0.200000,0.158060,0.160332,0.160345,0.160576,0.160687
18,9.411470,0.295312,0.170313,0.106250,0.153264,0.096705,0.120768,0.200000,0.157936,0.160351,0.160363,0.160629,0.160722
19,9.952749,0.285938,0.167187,0.115625,0.153269,0.097582,0.121653,0.200000,0.157805,0.160363,0.160376,0.160697,0.160758
20,9.735735,0.285938,0.182812,0.106250,0.154095,0.097538,0.122653,0.200000,0.157677,0.160384,0.160390,0.160759,0.160791
21,9.478637,0.285938,0.170313,0.107813,0.154212,0.097772,0.124132,0.200000,0.157550,0.160402,0.160408,0.160813,0.160826
22,10.706119,0.310937,0.196875,0.120313,0.155106,0.098542,0.126036,0.200000,0.157414,0.160412,0.160426,0.160882,0.160865
23,11.013587,0.309375,0.192188,0.128125,0.156116,0.099679,0.128161,0.200000,0.157276,0.160425,0.160445,0.160950,0.160904
24,9.288683,0.285938,0.165625,0.106250,0.155652,0.099254,0.128732,0.200000,0.157151,0.160451,0.160470,0.160989,0.160939
25,10.054939,0.310937,0.181250,0.114062,0.155806,0.099457,0.129905,0.200000,0.157018,0.160466,0.160491,0.161049,0.160976
26,11.439230,0.298438,0.195312,0.134375,0.156495,0.100478,0.129986,0.200000,0.156862,0.160478,0.160512,0.161132,0.161016
27,11.106751,0.310937,0.189062,0.131250,0.156761,0.101670,0.130144,0.200000,0.156717,0.160488,0.160531,0.161211,0.161053
28,9.554101,0.293750,0.176563,0.106250,0.157158,0.101525,0.131191,0.200000,0.156589,0.160501,0.160550,0.161273,0.161087
29,10.443330,0.301563,0.184375,0.120313,0.157565,0.102083,0.132983,0.200000,0.156451,0.160514,0.160571,0.161342,0.161123
30,10.530786,0.303125,0.178125,0.125000,0.157076,0.102532,0.133833,0.200000,0.156303,0.160535,0.160598,0.161404,0.161160
31,10.004376,0.301563,0.189062,0.110937,0.157466,0.102284,0.133529,0.200000,0.156161,0.160553,0.160620,0.161469,0.161197
32,9.962596,0.282813,0.164062,0.118750,0.157193,0.102751,0.134802,0.200000,0.156027,0.160578,0.160641,0.161524,0.161231
33,10.358742,0.304688,0.192188,0.114062,0.157363,0.102287,0.134826,0.200000,0.155883,0.160604,0.160670,0.161575,0.161268
34,10.409777,0.298438,0.181250,0.120313,0.157485,0.102696,0.135439,0.200000,0.155736,0.160622,0.160689,0.161647,0.161305
35,10.635795,0.306250,0.185938,0.123438,0.157984,0.102975,0.135944,0.200000,0.155591,0.160644,0.160712,0.161711,0.161343
36,9.913911,0.279687,0.176563,0.112500,0.158168,0.102663,0.135909,0.200000,0.155453,0.160664,0.160737,0.161766,0.161380
37,10.468806,0.312500,0.182812,0.120313,0.157891,0.102946,0.135761,0.200000,0.155310,0.160681,0.160761,0.161829,0.161419
38,9.314395,0.315625,0.165625,0.107813,0.157317,0.102833,0.136044,0.200000,0.155181,0.160693,0.160785,0.161888,0.161453
39,10.043429,0.298438,0.190625,0.109375,0.157323,0.101575,0.136105,0.200000,0.155029,0.160721,0.160817,0.161943,0.161489
40,9.273180,0.296875,0.176563,0.101562,0.157016,0.100813,0.134351,0.200000,0.154892,0.160740,0.160846,0.161999,0.161523
41,10.885753,0.296875,0.198437,0.121875,0.158063,0.101078,0.134540,0.200000,0.154740,0.160757,0.160875,0.162067,0.161560
42,10.609447,0.287500,0.176563,0.126562,0.157780,0.101850,0.135111,0.200000,0.154583,0.160778,0.160910,0.162130,0.161599
43,10.170131,0.296875,0.184375,0.115625,0.157941,0.101584,0.134431,0.200000,0.154435,0.160801,0.160942,0.162186,0.161636
44,9.732997,0.300000,0.170313,0.112500,0.157614,0.101463,0.135349,0.200000,0.154290,0.160822,0.160967,0.162250,0.161671
45,10.624122,0.289062,0.181250,0.125000,0.157554,0.101815,0.134950,0.200000,0.154136,0.160841,0.161003,0.162311,0.161708
46,10.462337,0.314063,0.195312,0.117188,0.158323,0.102171,0.134311,0.200000,0.153991,0.160852,0.161034,0.162377,0.161746
47,8.927408,0.271875,0.156250,0.103125,0.157423,0.101709,0.132362,0.200000,0.153858,0.160882,0.161066,0.162416,0.161779
48,10.105476,0.290625,0.182812,0.114062,0.157433,0.101292,0.132306,0.200000,0.153716,0.160909,0.161098,0.162460,0.161817
49,9.814958,0.295312,0.179688,0.109375,0.157075,0.100898,0.131234,0.200000,0.153581,0.160931,0.161126,0.162510,0.161852
50,10.852648,0.276562,0.179688,0.131250,0.157592,0.102238,0.131022,0.200000,0.153434,0.160943,0.161156,0.162576,0.161891
51,10.078619,0.282813,0.162500,0.121875,0.156798,0.102535,0.131265,0.200000,0.153286,0.160968,0.161191,0.162627,0.161928
52,9.637036,0.295312,0.178125,0.107813,0.156835,0.102320,0.130778,0.200000,0.153152,0.160981,0.161218,0.162684,0.161965
53,10.968834,0.293750,0.193750,0.125000,0.157603,0.102608,0.131151,0.200000,0.152999,0.160996,0.161244,0.162755,0.162005
54,10.879751,0.312500,0.201563,0.120313,0.158274,0.102726,0.130773,0.200000,0.152846,0.161005,0.161271,0.162836,0.162042
55,10.313060,0.270313,0.181250,0.118750,0.158374,0.102209,0.129658,0.200000,0.152693,0.161037,0.161305,0.162884,0.162080
56,10.686860,0.292187,0.189062,0.123438,0.158944,0.102442,0.129452,0.200000,0.152536,0.161054,0.161334,0.162957,0.162120
57,11.718954,0.317188,0.206250,0.135937,0.159308,0.102740,0.129082,0.200000,0.152361,0.161080,0.161376,0.163020,0.162163
58,10.914816,0.293750,0.187500,0.128125,0.159634,0.103449,0.129304,0.200000,0.152206,0.161095,0.161412,0.163082,0.162205
59,10.499723,0.312500,0.182812,0.121875,0.158972,0.103281,0.129424,0.200000,0.152051,0.161118,0.161451,0.163137,0.162242
60,10.331857,0.287500,0.179688,0.118750,0.158722,0.103257,0.129532,0.200000,0.151898,0.161143,0.161483,0.163197,0.162280
61,9.996648,0.293750,0.178125,0.115625,0.158331,0.102958,0.129155,0.200000,0.151750,0.161170,0.161517,0.163245,0.162319
62,10.140937,0.307812,0.173437,0.117188,0.157499,0.103026,0.129202,0.200000,0.151603,0.161190,0.161543,0.163308,0.162355
63,9.562982,0.293750,0.164062,0.114062,0.157405,0.103498,0.128990,0.200000,0.151466,0.161205,0.161567,0.163371,0.162391
64,9.645346,0.284375,0.181250,0.104688,0.157279,0.102597,0.129424,0.200000,0.151322,0.161229,0.161601,0.163418,0.162429
65,8.864129,0.278125,0.159375,0.100000,0.156875,0.102094,0.129276,0.200000,0.151196,0.161246,0.161625,0.163473,0.162460
66,10.381503,0.301563,0.189062,0.117188,0.157168,0.101989,0.129184,0.200000,0.151045,0.161264,0.161655,0.163541,0.162495
67,10.797233,0.265625,0.181250,0.126562,0.157649,0.102003,0.129583,0.200000,0.150884,0.161293,0.161688,0.163601,0.162534
68,10.331516,0.300000,0.184375,0.117188,0.157689,0.101741,0.129528,0.200000,0.150739,0.161310,0.161720,0.163661,0.162570
69,11.680932,0.317188,0.196875,0.137500,0.158025,0.102413,0.129528,0.200000,0.150570,0.161325,0.161757,0.163737,0.162612
70,11.280927,0.303125,0.206250,0.128125,0.159094,0.102794,0.129072,0.200000,0.150412,0.161338,0.161795,0.163797,0.162658
71,9.543798,0.282813,0.165625,0.110937,0.158760,0.102626,0.128798,0.200000,0.150266,0.161361,0.161819,0.163858,0.162696
72,9.785404,0.273438,0.179688,0.109375,0.159066,0.102183,0.128935,0.200000,0.150129,0.161372,0.161852,0.163913,0.162735
73,11.491682,0.298438,0.195312,0.137500,0.159467,0.102836,0.128997,0.200000,0.149967,0.161385,0.161891,0.163979,0.162778
74,10.240082,0.300000,0.173437,0.120313,0.158919,0.103054,0.129204,0.200000,0.149823,0.161397,0.161924,0.164041,0.162816
75,8.703226,0.292187,0.164062,0.095312,0.157861,0.102022,0.128954,0.200000,0.149692,0.161414,0.161955,0.164088,0.162851
76,10.466569,0.303125,0.181250,0.121875,0.157900,0.102029,0.129441,0.200000,0.149540,0.161428,0.161986,0.164155,0.162891
77,9.182067,0.285938,0.171875,0.100000,0.157686,0.101254,0.129941,0.200000,0.149408,0.161441,0.162017,0.164206,0.162927
78,10.890926,0.307812,0.190625,0.126562,0.157965,0.101865,0.130135,0.200000,0.149262,0.161448,0.162050,0.164273,0.162967
79,10.370482,0.287500,0.185938,0.118750,0.158345,0.101759,0.130001,0.200000,0.149115,0.161465,0.162085,0.164326,0.163008
80,10.928243,0.315625,0.193750,0.125000,0.158622,0.102398,0.130428,0.200000,0.148961,0.161473,0.162119,0.164396,0.163051
81,10.734678,0.287500,0.185938,0.125000,0.158605,0.102775,0.130619,0.200000,0.148817,0.161488,0.162160,0.164440,0.163095
82,12.328117,0.284375,0.193750,0.153125,0.159239,0.104498,0.130428,0.200000,0.148650,0.161507,0.162197,0.164503,0.163142
83,9.782347,0.281250,0.179688,0.109375,0.159310,0.104063,0.130406,0.200000,0.148510,0.161527,0.162227,0.164552,0.163183
84,10.191589,0.318750,0.195312,0.110937,0.159327,0.103092,0.129933,0.200000,0.148362,0.161552,0.162263,0.164599,0.163224
85,11.777131,0.328125,0.220312,0.129688,0.160340,0.103186,0.130234,0.200000,0.148209,0.161566,0.162294,0.164664,0.163268
86,10.115011,0.287500,0.182812,0.114062,0.160252,0.102729,0.130278,0.200000,0.148057,0.161594,0.162329,0.164710,0.163311
87,10.592586,0.275000,0.173437,0.128125,0.160045,0.103265,0.130732,0.200000,0.147904,0.161618,0.162357,0.164767,0.163353
88,11.138054,0.303125,0.192188,0.129688,0.160643,0.103870,0.130945,0.200000,0.147748,0.161633,0.162389,0.164834,0.163396
89,10.225850,0.303125,0.181250,0.117188,0.159875,0.103691,0.131409,0.200000,0.147601,0.161656,0.162422,0.164886,0.163435
90,10.431375,0.292187,0.187500,0.118750,0.159802,0.103815,0.130243,0.200000,0.147453,0.161675,0.162451,0.164945,0.163476
91,9.971587,0.292187,0.175000,0.115625,0.159399,0.103663,0.130597,0.200000,0.147311,0.161701,0.162476,0.164997,0.163515
92,10.746934,0.307812,0.189062,0.123438,0.159316,0.103432,0.130675,0.200000,0.147159,0.161730,0.162504,0.165052,0.163555
93,11.073618,0.303125,0.192188,0.128125,0.159463,0.103420,0.131000,0.200000,0.146998,0.161762,0.162538,0.165103,0.163599
94,10.705417,0.307812,0.181250,0.126562,0.159040,0.103596,0.130962,0.200000,0.146837,0.161791,0.162572,0.165160,0.163639
95,9.394666,0.287500,0.175000,0.106250,0.159013,0.103095,0.130519,0.200000,0.146703,0.161810,0.162602,0.165209,0.163677
96,10.058455,0.279687,0.178125,0.117188,0.159167,0.103133,0.129743,0.200000,0.146559,0.161832,0.162634,0.165260,0.163715
97,11.850002,0.304688,0.187500,0.146875,0.159241,0.104268,0.129182,0.200000,0.146386,0.161854,0.162675,0.165327,0.163758
98,9.485034,0.278125,0.168750,0.107813,0.158643,0.103814,0.129041,0.200000,0.146245,0.161874,0.162713,0.165371,0.163797
99,10.836508,0.312500,0.196875,0.121875,0.158830,0.103495,0.128823,0.200000,0.146087,0.161897,0.162747,0.165432,0.163837
100,9.566904,0.284375,0.176563,0.106250,0.158796,0.102975,0.129387,0.200000,0.145942,0.161916,0.162775,0.165490,0.163877
101,9.873826,0.290625,0.178125,0.112500,0.158513,0.102549,0.129958,0.200000,0.145800,0.161940,0.162809,0.165534,0.163917
102,10.806335,0.293750,0.185938,0.126562,0.158820,0.103173,0.129830,0.200000,0.145644,0.161962,0.162838,0.165599,0.163957
