round,avg_reward,avg_exam,avg_view,avg_like,global_ctr,global_lr,global_awt,w0_cos,w1_fresh,w2_lr,w3_ctr,w4_awt,w5_social
1,8.159107,0.278125,0.137500,0.076563,0.112492,0.058331,0.027034,0.200000,0.160108,0.159973,0.159973,0.159973,0.159973
2,9.077344,0.290625,0.150000,0.082812,0.121194,0.064750,0.041068,0.200000,0.160006,0.160033,0.159987,0.159942,0.160032
3,10.720804,0.339062,0.178125,0.098437,0.127963,0.070072,0.051113,0.200000,0.159863,0.160070,0.160029,0.159939,0.160099
4,10.252537,0.298438,0.171875,0.093750,0.132942,0.073673,0.058573,0.200000,0.159730,0.160092,0.160073,0.159955,0.160150
5,11.383751,0.290625,0.175000,0.123438,0.136428,0.078354,0.067114,0.200000,0.159575,0.160136,0.160101,0.159979,0.160208
6,11.859187,0.304688,0.190625,0.115625,0.139928,0.081396,0.074327,0.200000,0.159430,0.160153,0.160129,0.160024,0.160265
7,11.678724,0.295312,0.179688,0.125000,0.142296,0.084656,0.080604,0.200000,0.159286,0.160175,0.160147,0.160076,0.160316
8,10.907902,0.301563,0.176563,0.104688,0.143983,0.086085,0.086579,0.200000,0.159149,0.160192,0.160176,0.160119,0.160364
9,11.302491,0.307812,0.179688,0.112500,0.145553,0.087908,0.090975,0.200000,0.159012,0.160194,0.160196,0.160185,0.160412
10,11.576632,0.281250,0.181250,0.121875,0.147491,0.090330,0.095192,0.200000,0.158875,0.160198,0.160216,0.160254,0.160458
11,13.526977,0.334375,0.206250,0.150000,0.149382,0.093343,0.099852,0.200000,0.158709,0.160210,0.160238,0.160333,0.160510
12,10.230592,0.281250,0.160938,0.106250,0.149680,0.094192,0.103172,0.200000,0.158581,0.160230,0.160259,0.160380,0.160551
13,10.531410,0.282813,0.171875,0.098437,0.150253,0.093916,0.107422,0.200000,0.158440,0.160249,0.160286,0.160430,0.160594
14,12.240905,0.292187,0.192188,0.128125,0.152073,0.095625,0.110786,0.200000,0.158292,0.160258,0.160307,0.160502,0.160642
15,12.704679,0.290625,0.198437,0.132812,0.153076,0.096673,0.113844,0.200000,0.158128,0.160285,0.160333,0.160562,0.160691
16,11.522368,0.290625,0.181250,0.120313,0.153920,0.097463,0.116522,0.200000,0.157980,0.160307,0.160351,0.160627,0.160736
17,9.290405,0.271875,0.146875,0.093750,0.153182,0.096867,0.119818,0.200000,0.157854,0.160331,0.160370,0.160674,0.160772
18,10.692720,0.295312,0.170313,0.106250,0.153264,0.096705,0.120768,0.200000,0.157715,0.160348,0.160388,0.160737,0.160811
19,10.983999,0.285938,0.167187,0.115625,0.153269,0.097582,0.121653,0.200000,0.157572,0.160362,0.160405,0.160811,0.160851
20,11.266985,0.285938,0.182812,0.106250,0.154095,0.097538,0.122653,0.200000,0.157425,0.160383,0.160420,0.160881,0.160890
21,10.728637,0.285938,0.170313,0.107813,0.154212,0.097772,0.124132,0.200000,0.157283,0.160403,0.160441,0.160944,0.160929
22,12.237369,0.310937,0.196875,0.120313,0.155106,0.098542,0.126036,0.200000,0.157128,0.160414,0.160462,0.161022,0.160974
23,12.294837,0.309375,0.192188,0.128125,0.156116,0.099679,0.128161,0.200000,0.156977,0.160426,0.160481,0.161098,0.161018
24,10.476183,0.285938,0.165625,0.106250,0.155652,0.099254,0.128732,0.200000,0.156838,0.160452,0.160509,0.161144,0.161057
25,11.398689,0.310937,0.181250,0.114062,0.155806,0.099457,0.129905,0.200000,0.156689,0.160466,0.160531,0.161215,0.161099
26,12.657980,0.298438,0.195312,0.134375,0.156495,0.100478,0.129986,0.200000,0.156518,0.160480,0.160553,0.161307,0.161142
27,12.263001,0.310937,0.189062,0.131250,0.156761,0.101670,0.130144,0.200000,0.156358,0.160491,0.160575,0.161393,0.161184
28,10.960351,0.293750,0.176563,0.106250,0.157158,0.101525,0.131191,0.200000,0.156213,0.160503,0.160597,0.161464,0.161223
29,11.724580,0.301563,0.184375,0.120313,0.157565,0.102083,0.132983,0.200000,0.156061,0.160516,0.160619,0.161540,0.161264
30,11.593286,0.303125,0.178125,0.125000,0.157076,0.102532,0.133833,0.200000,0.155899,0.160539,0.160650,0.161608,0.161305
31,11.566876,0.301563,0.189062,0.110937,0.157466,0.102284,0.133529,0.200000,0.155738,0.160558,0.160675,0.161682,0.161348
32,10.868846,0.282813,0.164062,0.118750,0.157193,0.102751,0.134802,0.200000,0.155592,0.160583,0.160697,0.161743,0.161384
33,11.921242,0.304688,0.192188,0.114062,0.157363,0.102287,0.134826,0.200000,0.155430,0.160610,0.160730,0.161803,0.161427
34,11.628527,0.298438,0.181250,0.120313,0.157485,0.102696,0.135439,0.200000,0.155269,0.160628,0.160751,0.161883,0.161469
35,11.885795,0.306250,0.185938,0.123438,0.157984,0.102975,0.135944,0.200000,0.155110,0.160649,0.160774,0.161956,0.161511
36,11.195161,0.279687,0.176563,0.112500,0.158168,0.102663,0.135909,0.200000,0.154956,0.160669,0.160801,0.162021,0.161553
37,11.718806,0.312500,0.182812,0.120313,0.157891,0.102946,0.135761,0.200000,0.154798,0.160687,0.160827,0.162092,0.161596
38,10.470645,0.315625,0.165625,0.107813,0.157317,0.102833,0.136044,0.200000,0.154656,0.160699,0.160852,0.162159,0.161634
39,11.668429,0.298438,0.190625,0.109375,0.157323,0.101575,0.136105,0.200000,0.154484,0.160727,0.160888,0.162225,0.161676
40,10.773180,0.296875,0.176563,0.101562,0.157016,0.100813,0.134351,0.200000,0.154328,0.160747,0.160920,0.162291,0.161714
41,12.417003,0.296875,0.198437,0.121875,0.158063,0.101078,0.134540,0.200000,0.154159,0.160763,0.160953,0.162369,0.161757
42,11.609447,0.287500,0.176563,0.126562,0.157780,0.101850,0.135111,0.200000,0.153989,0.160785,0.160991,0.162436,0.161799
43,11.545131,0.296875,0.184375,0.115625,0.157941,0.101584,0.134431,0.200000,0.153825,0.160806,0.161025,0.162502,0.161842
44,10.889247,0.300000,0.170313,0.112500,0.157614,0.101463,0.135349,0.200000,0.153667,0.160825,0.161052,0.162575,0.161880
45,11.749122,0.289062,0.181250,0.125000,0.157554,0.101815,0.134950,0.200000,0.153500,0.160845,0.161091,0.162643,0.161921
46,12.024837,0.314063,0.195312,0.117188,0.158323,0.102171,0.134311,0.200000,0.153337,0.160855,0.161126,0.162718,0.161965
47,9.989908,0.271875,0.156250,0.103125,0.157423,0.101709,0.132362,0.200000,0.153189,0.160887,0.161161,0.162761,0.162002
48,11.480476,0.290625,0.182812,0.114062,0.157433,0.101292,0.132306,0.200000,0.153031,0.160913,0.161197,0.162813,0.162046
49,11.221208,0.295312,0.179688,0.109375,0.157075,0.100898,0.131234,0.200000,0.152875,0.160939,0.161229,0.162871,0.162086
