round,image_id,category,quality,freshness,ctr,lr,awt,social_proof,cos_ui_own,own_query_score,cum_views,cum_likes
1,0,0,0.139619,0.870551,0.100170,0.050090,0.109398,0.000562,0.083227,0.190383,0.0,0.0
1,1,0,0.247320,0.870551,0.100180,0.050190,0.140870,0.000802,0.087434,0.196207,0.0,0.0
1,2,0,0.039080,0.870551,0.100080,0.049995,0.078788,0.000161,0.089504,0.187276,0.0,0.0
1,3,0,0.724847,0.870551,0.100000,0.050000,0.000000,0.000000,0.078817,0.172753,0.0,0.0
1,4,0,0.368557,0.870551,0.100070,0.050095,0.155208,0.000402,0.083973,0.197400,0.0,0.0
1,5,0,0.268096,0.870551,0.100090,0.050095,0.084793,0.000402,0.080691,0.186024,0.0,0.0
1,6,0,0.150631,0.870551,0.100140,0.049990,0.111557,0.000321,0.093382,0.193192,0.0,0.0
1,7,0,0.568517,0.870551,0.100000,0.050000,0.000000,0.000000,0.084806,0.174251,0.0,0.0
1,8,0,0.168080,0.870551,0.100000,0.050000,0.000000,0.000000,0.078978,0.172793,0.0,0.0
1,9,0,0.311360,0.870551,0.100260,0.050185,0.155880,0.000962,0.082317,0.197213,0.0,0.0
1,10,1,0.490499,0.870551,0.100000,0.050000,0.000000,0.000000,0.070773,0.170741,0.0,0.0
1,11,1,0.199080,0.870551,0.099960,0.050000,0.000000,0.000000,0.079305,0.172869,0.0,0.0
1,12,1,0.612538,0.870551,0.100000,0.050000,0.000000,0.000000,0.067478,0.169916,0.0,0.0
1,13,1,0.080769,0.870551,0.100689,0.050360,0.105198,0.002236,0.082567,0.189957,0.0,0.0
1,14,1,0.448982,0.870551,0.100070,0.050095,0.165575,0.000402,0.074119,0.196489,0.0,0.0
1,15,1,0.251850,0.870551,0.100090,0.050095,0.123539,0.000402,0.071659,0.189574,0.0,0.0
1,16,1,0.071009,0.870551,0.100170,0.050090,0.083113,0.000562,0.077447,0.184996,0.0,0.0
1,17,1,0.225512,0.870551,0.099990,0.050000,0.000000,0.000000,0.076298,0.172121,0.0,0.0
1,18,1,0.023145,0.870551,0.099980,0.050000,0.000000,0.000000,0.079356,0.172885,0.0,0.0
1,19,1,0.378901,0.870551,0.100220,0.050085,0.129177,0.000722,0.076849,0.191783,0.0,0.0
1,20,2,0.154859,0.870551,0.100260,0.050185,0.131563,0.000962,0.112386,0.201089,0.0,0.0
1,21,2,0.496025,0.870551,0.100360,0.050380,0.148668,0.001601,0.105039,0.201955,0.0,0.0
1,22,2,0.753268,0.870551,0.099980,0.050000,0.000000,0.000000,0.056707,0.167219,0.0,0.0
1,23,2,0.075313,0.870551,0.100340,0.050080,0.072737,0.000882,0.056907,0.178373,0.0,0.0
1,24,2,0.346724,0.870551,0.100070,0.050095,0.179578,0.000402,0.109883,0.207536,0.0,0.0
1,25,2,0.118530,0.870551,0.099980,0.050000,0.000000,0.000000,0.109838,0.180511,0.0,0.0
1,26,2,0.401554,0.870551,0.100659,0.050759,0.155513,0.003185,0.115062,0.205828,0.0,0.0
1,27,2,0.428317,0.870551,0.100410,0.050475,0.161164,0.001998,0.117778,0.207097,0.0,0.0
1,28,2,0.226272,0.870551,0.100180,0.050190,0.142039,0.000802,0.077330,0.193854,0.0,0.0
1,29,2,0.109343,0.870551,0.100080,0.050095,0.109049,0.000402,0.024078,0.175496,0.0,0.0
1,30,3,0.108891,0.870551,0.099970,0.050000,0.000000,0.000000,0.032863,0.161252,0.0,0.0
1,31,3,0.559639,0.870551,0.100150,0.050190,0.182682,0.000802,0.047589,0.192504,0.0,0.0
1,32,3,0.161426,0.870551,0.100000,0.050000,0.000000,0.000000,0.037489,0.162414,0.0,0.0
1,33,3,0.041007,0.870551,0.100070,0.050095,0.079248,0.000402,0.059082,0.179783,0.0,0.0
1,34,3,0.306667,0.870551,0.100639,0.050560,0.135124,0.002712,0.068562,0.191035,0.0,0.0
1,35,3,0.482934,0.870551,0.099970,0.050000,0.000000,0.000000,0.063713,0.168970,0.0,0.0
1,36,3,0.444939,0.870551,0.100080,0.050095,0.156253,0.000402,0.048569,0.188701,0.0,0.0
1,37,3,0.300442,0.870551,0.100430,0.050175,0.154664,0.001282,0.047735,0.188451,0.0,0.0
1,38,3,0.255183,0.870551,0.100260,0.050085,0.135199,0.000722,0.053900,0.186952,0.0,0.0
1,39,3,0.542584,0.870551,0.100170,0.050190,0.160964,0.000802,0.069106,0.194633,0.0,0.0
1,40,4,0.357393,0.870551,0.100510,0.050270,0.147048,0.001680,0.081755,0.195905,0.0,0.0
1,41,4,0.440077,0.870551,0.100090,0.049995,0.177333,0.000161,0.081042,0.199936,0.0,0.0
1,42,4,0.374670,0.870551,0.100170,0.050190,0.151688,0.000802,0.063496,0.191839,0.0,0.0
1,43,4,0.072453,0.870551,0.100859,0.050250,0.094097,0.002316,0.093616,0.191078,0.1,0.0
1,44,4,0.146514,0.870551,0.100240,0.050185,0.102475,0.000962,0.067609,0.185522,0.0,0.0
1,45,4,0.031405,0.870551,0.100000,0.050000,0.000000,0.000000,0.052185,0.166090,0.0,0.0
1,46,4,0.216687,0.870551,0.099980,0.050000,0.000000,0.000000,0.060606,0.168194,0.0,0.0
1,47,4,0.446234,0.870551,0.100599,0.050565,0.151658,0.002553,0.064283,0.192414,0.0,0.0
1,48,4,0.301519,0.870551,0.100170,0.050090,0.134244,0.000562,0.082171,0.193844,0.0,0.0
1,49,4,0.532519,0.870551,0.100440,0.050475,0.173912,0.001998,0.081131,0.199845,0.0,0.0
10,0,0,0.139619,0.250000,0.101779,0.051690,0.241057,0.007815,0.083227,0.118514,0.2,0.2
10,1,0,0.247320,0.250000,0.103601,0.051669,0.560295,0.011929,0.087434,0.168640,0.5,0.2
10,2,0,0.039080,0.250000,0.104134,0.051550,0.386543,0.011653,0.089504,0.142956,0.4,0.1
10,3,0,0.724847,0.250000,0.104905,0.055368,0.653635,0.021368,0.078817,0.182729,0.4,0.4
10,4,0,0.368557,0.250000,0.104835,0.055042,0.557207,0.021258,0.083973,0.169394,0.7,0.6
10,5,0,0.268096,0.250000,0.102981,0.052478,0.415114,0.011946,0.080691,0.145065,0.3,0.2
10,6,0,0.150631,0.250000,0.103464,0.051300,0.434782,0.010489,0.093382,0.150899,0.5,0.2
10,7,0,0.568517,0.250000,0.116415,0.067039,0.780400,0.062560,0.084806,0.213017,1.6,1.4
10,8,0,0.168080,0.250000,0.103439,0.050446,0.388779,0.007815,0.078978,0.139804,0.3,0.1
10,9,0,0.311360,0.250000,0.106497,0.054396,0.603324,0.022508,0.082317,0.176278,0.8,0.5
10,10,1,0.490499,0.250000,0.107350,0.056888,0.689107,0.029198,0.070773,0.187831,0.8,0.7
10,11,1,0.199080,0.250000,0.103555,0.053185,0.508580,0.014517,0.079305,0.159402,0.4,0.2
10,12,1,0.612538,0.250000,0.114848,0.066938,0.792157,0.061495,0.067478,0.210030,1.4,1.4
10,13,1,0.080769,0.250000,0.105415,0.053145,0.415744,0.017429,0.082567,0.146918,0.6,0.3
10,14,1,0.448982,0.250000,0.115495,0.064119,0.740898,0.056087,0.074119,0.202825,1.8,1.4
10,15,1,0.251850,0.250000,0.105852,0.053304,0.518629,0.018996,0.071659,0.160031,0.7,0.4
10,16,1,0.071009,0.250000,0.101635,0.051424,0.246751,0.007441,0.077447,0.117804,0.3,0.1
10,17,1,0.225512,0.250000,0.102875,0.052365,0.349333,0.011152,0.076298,0.133882,0.2,0.2
10,18,1,0.023145,0.250000,0.107150,0.051229,0.344484,0.016697,0.079356,0.135219,0.7,0.1
10,19,1,0.378901,0.250000,0.107765,0.054413,0.697713,0.025723,0.076849,0.189825,0.9,0.5
10,20,2,0.154859,0.250000,0.103816,0.051652,0.307612,0.011371,0.112386,0.136716,0.5,0.2
10,21,2,0.496025,0.250000,0.116686,0.066720,0.749179,0.063249,0.105039,0.213483,1.8,1.6
10,22,2,0.753268,0.250000,0.107055,0.056275,0.672543,0.027237,0.056707,0.181368,0.6,0.5
10,23,2,0.075313,0.250000,0.104043,0.051239,0.412872,0.010794,0.056907,0.138553,0.4,0.2
10,24,2,0.346724,0.250000,0.109933,0.058327,0.652758,0.035906,0.109883,0.193776,1.0,0.8
10,25,2,0.118530,0.250000,0.101560,0.049965,0.282077,0.003279,0.109838,0.130417,0.2,0.0
10,26,2,0.401554,0.250000,0.108437,0.057550,0.693885,0.032571,0.115062,0.200444,0.9,0.7
10,27,2,0.428317,0.250000,0.104643,0.055342,0.560275,0.021272,0.117778,0.178367,0.5,0.5
10,28,2,0.226272,0.250000,0.102645,0.051625,0.344686,0.009145,0.077330,0.132993,0.3,0.2
10,29,2,0.109343,0.250000,0.100943,0.051149,0.174010,0.004797,0.024078,0.092880,0.1,0.1
10,30,3,0.108891,0.250000,0.104898,0.052049,0.397840,0.014543,0.032863,0.131057,0.4,0.2
10,31,3,0.559639,0.250000,0.104409,0.054606,0.607825,0.019642,0.047589,0.167524,0.6,0.5
10,32,3,0.161426,0.250000,0.103175,0.051420,0.369300,0.009982,0.037489,0.126876,0.3,0.1
10,33,3,0.041007,0.250000,0.104432,0.050756,0.350741,0.011021,0.059082,0.129742,0.5,0.1
10,34,3,0.306667,0.250000,0.107701,0.054336,0.561559,0.024680,0.068562,0.167017,0.7,0.4
10,35,3,0.482934,0.250000,0.112387,0.063396,0.744721,0.050445,0.063713,0.199368,1.2,1.1
10,36,3,0.444939,0.250000,0.104324,0.052556,0.615435,0.015197,0.048569,0.167932,0.4,0.3
10,37,3,0.300442,0.250000,0.108996,0.057649,0.598443,0.033493,0.047735,0.169365,0.9,0.6
10,38,3,0.255183,0.250000,0.101501,0.051781,0.315656,0.007855,0.053900,0.122386,0.2,0.1
10,39,3,0.542584,0.250000,0.119507,0.071810,0.777397,0.075972,0.069106,0.211811,2.0,1.9
10,40,4,0.357393,0.250000,0.108559,0.058643,0.660806,0.034978,0.081755,0.187629,0.8,0.7
10,41,4,0.440077,0.250000,0.108152,0.057949,0.706922,0.034049,0.081042,0.194106,1.0,0.9
10,42,4,0.374670,0.250000,0.106844,0.057696,0.568725,0.030399,0.063496,0.168059,0.7,0.6
10,43,4,0.072453,0.250000,0.102657,0.051619,0.255310,0.009247,0.093616,0.123610,0.3,0.2
10,44,4,0.146514,0.250000,0.102673,0.050860,0.349502,0.007343,0.067609,0.130898,0.3,0.1
10,45,4,0.031405,0.250000,0.103120,0.051319,0.204056,0.009417,0.052185,0.105518,0.3,0.1
10,46,4,0.216687,0.250000,0.103026,0.053394,0.440003,0.014411,0.060606,0.144291,0.3,0.2
10,47,4,0.446234,0.250000,0.107348,0.056426,0.591447,0.028268,0.064283,0.171252,0.8,0.6
10,48,4,0.301519,0.250000,0.104135,0.053860,0.492670,0.016616,0.082171,0.158223,0.4,0.3
10,49,4,0.532519,0.250000,0.122120,0.073685,0.788889,0.081794,0.081131,0.218111,2.2,2.0
20,0,0,0.139619,0.062500,0.106816,0.053306,0.352952,0.020787,0.083227,0.110867,0.9,0.5
20,1,0,0.247320,0.062500,0.112673,0.059431,0.538830,0.042707,0.087434,0.145285,1.7,1.1
20,2,0,0.039080,0.062500,0.104052,0.052729,0.219090,0.015012,0.089504,0.090723,1.0,0.5
20,3,0,0.724847,0.062500,0.136929,0.090974,0.913110,0.122822,0.078817,0.220433,4.1,3.9
20,4,0,0.368557,0.062500,0.115526,0.061794,0.695796,0.053217,0.083973,0.170645,2.6,1.9
20,5,0,0.268096,0.062500,0.104061,0.052549,0.257496,0.014548,0.080691,0.094248,0.9,0.5
20,6,0,0.150631,0.062500,0.107021,0.056316,0.399454,0.028514,0.093382,0.122142,1.4,0.8
20,7,0,0.568517,0.062500,0.130448,0.082984,0.850414,0.106588,0.084806,0.207800,5.6,5.2
20,8,0,0.168080,0.062500,0.108078,0.052184,0.496697,0.020738,0.078978,0.131670,1.2,0.4
20,9,0,0.311360,0.062500,0.110053,0.059270,0.402599,0.039163,0.082317,0.122328,2.0,1.4
20,10,1,0.490499,0.062500,0.126561,0.078942,0.838155,0.096253,0.070773,0.199659,4.4,4.0
20,11,1,0.199080,0.062500,0.112200,0.058491,0.521096,0.041615,0.079305,0.140163,1.7,1.0
20,12,1,0.612538,0.062500,0.153378,0.109259,0.885788,0.159353,0.067478,0.224110,8.7,8.4
20,13,1,0.080769,0.062500,0.107945,0.051877,0.273744,0.019850,0.082567,0.098467,1.4,0.4
20,14,1,0.448982,0.062500,0.119889,0.068409,0.778842,0.071392,0.074119,0.185168,4.2,3.3
20,15,1,0.251850,0.062500,0.107080,0.054070,0.330469,0.022566,0.071659,0.104953,1.7,1.2
20,16,1,0.071009,0.062500,0.102811,0.049981,0.194625,0.006242,0.077447,0.082048,0.6,0.1
20,17,1,0.225512,0.062500,0.107711,0.055905,0.362247,0.027815,0.076298,0.112114,1.2,0.9
20,18,1,0.023145,0.062500,0.108679,0.050596,0.351411,0.018104,0.079356,0.109125,1.8,0.3
20,19,1,0.378901,0.062500,0.108656,0.058046,0.400191,0.034623,0.076849,0.119509,2.2,1.6
20,20,2,0.154859,0.062500,0.106775,0.055796,0.282832,0.025932,0.112386,0.108693,1.3,0.7
20,21,2,0.496025,0.062500,0.144073,0.097375,0.825495,0.140506,0.105039,0.218402,7.3,6.4
20,22,2,0.753268,0.062500,0.108013,0.058273,0.643798,0.034491,0.056707,0.151400,1.5,1.3
20,23,2,0.075313,0.062500,0.106986,0.050841,0.335657,0.016427,0.056907,0.100603,1.3,0.4
20,24,2,0.346724,0.062500,0.108820,0.059630,0.563616,0.037686,0.109883,0.153412,2.2,1.9
20,25,2,0.118530,0.062500,0.101171,0.050274,0.118291,0.004057,0.109838,0.078073,0.5,0.1
20,26,2,0.401554,0.062500,0.128306,0.075334,0.773927,0.094005,0.115062,0.200434,4.2,3.2
20,27,2,0.428317,0.062500,0.121747,0.074881,0.738893,0.083378,0.117778,0.193146,2.8,2.7
20,28,2,0.226272,0.062500,0.108336,0.053830,0.324993,0.024417,0.077330,0.105980,1.2,0.6
20,29,2,0.109343,0.062500,0.102847,0.050563,0.263847,0.008207,0.024078,0.079513,0.5,0.2
20,30,3,0.108891,0.062500,0.107707,0.052514,0.347459,0.021040,0.032863,0.097390,1.3,0.4
20,31,3,0.559639,0.062500,0.112143,0.062840,0.792114,0.049995,0.047589,0.175291,2.0,1.8
20,32,3,0.161426,0.062500,0.106609,0.050118,0.350630,0.013672,0.037489,0.097408,0.9,0.2
20,33,3,0.041007,0.062500,0.106136,0.049949,0.271036,0.012017,0.059082,0.090400,1.3,0.1
20,34,3,0.306667,0.062500,0.113888,0.055751,0.597658,0.038276,0.068562,0.148439,2.3,1.2
20,35,3,0.482934,0.062500,0.121703,0.071994,0.822289,0.078808,0.063713,0.191076,4.2,3.8
20,36,3,0.444939,0.062500,0.106545,0.057520,0.626972,0.031056,0.048569,0.145942,1.6,1.4
20,37,3,0.300442,0.062500,0.109030,0.052731,0.531012,0.024434,0.047735,0.129795,1.8,1.1
20,38,3,0.255183,0.062500,0.109219,0.057381,0.454826,0.033979,0.053900,0.121922,1.3,0.9
20,39,3,0.542584,0.062500,0.144776,0.101185,0.869529,0.144655,0.069106,0.217343,7.9,7.4
20,40,4,0.357393,0.062500,0.117105,0.066532,0.697170,0.062706,0.081755,0.172668,2.8,2.3
20,41,4,0.440077,0.062500,0.122040,0.073950,0.792956,0.083480,0.081042,0.192029,4.1,3.6
20,42,4,0.374670,0.062500,0.108337,0.056896,0.516833,0.032110,0.063496,0.133286,1.6,1.2
20,43,4,0.072453,0.062500,0.102906,0.052800,0.191763,0.013009,0.093616,0.087142,0.8,0.5
