round,query_label,image_id,category,rank,score
1,cat,9,0,1,3.130407
1,cat,4,0,2,3.130175
1,cat,1,0,3,3.105490
1,cat,6,0,4,3.051792
1,cat,0,0,5,3.037834
1,cat,5,0,6,2.986073
1,cat,2,0,7,2.982371
1,cat,7,0,8,2.820082
1,cat,8,0,9,2.814253
1,cat,3,0,10,2.814092
1,cat,19,1,11,1.022961
1,cat,13,1,12,0.978746
1,cat,11,1,13,0.764352
1,dog,14,1,1,3.141054
1,dog,19,1,2,3.071012
1,dog,15,1,3,3.054532
1,dog,13,1,4,3.030381
1,dog,16,1,5,2.979484
1,dog,18,1,6,2.814621
1,dog,11,1,7,2.814560
1,dog,17,1,8,2.811568
1,dog,10,1,9,2.806049
1,dog,12,1,10,2.802753
1,dog,4,0,11,1.078014
1,dog,6,0,12,0.992512
1,dog,7,0,13,0.763706
1,plane,24,2,1,3.204824
1,plane,27,2,2,3.177960
1,plane,26,2,3,3.165489
1,plane,21,2,4,3.139730
1,plane,20,2,5,3.111843
1,plane,28,2,6,3.097725
1,plane,29,2,7,2.977966
1,plane,23,2,8,2.938226
1,plane,25,2,9,2.845104
1,plane,22,2,10,2.791972
1,plane,6,0,11,0.961267
1,plane,16,1,12,0.909748
1,plane,8,0,13,0.744174
1,clothes,31,3,1,3.149253
1,clothes,39,3,2,3.127343
1,clothes,36,3,3,3.096866
1,clothes,37,3,4,3.093427
1,clothes,34,3,5,3.077202
1,clothes,38,3,6,3.060128
1,clothes,33,3,7,2.953364
1,clothes,35,3,8,2.798973
1,clothes,32,3,9,2.772764
1,clothes,30,3,10,2.768123
1,clothes,9,0,11,1.066307
1,clothes,4,0,12,1.063276
1,clothes,6,0,13,0.981178
1,car,41,4,1,3.171004
1,car,49,4,2,3.166824
1,car,40,4,3,3.112730
1,car,47,4,4,3.105997
1,car,42,4,5,3.103182
1,car,48,4,6,3.086470
1,car,43,4,7,3.018764
1,car,44,4,8,3.008879
1,car,46,4,9,2.795871
1,car,45,4,10,2.787461
1,car,26,2,11,1.102075
1,car,21,2,12,1.075921
1,car,25,2,13,0.773749
10,cat,7,0,1,4.164007
10,cat,3,0,2,3.840379
10,cat,9,0,3,3.739194
10,cat,4,0,4,3.651012
10,cat,1,0,5,3.643169
10,cat,6,0,6,3.396180
10,cat,5,0,7,3.349798
10,cat,2,0,8,3.297408
10,cat,8,0,9,3.285486
10,cat,0,0,10,2.999680
10,cat,19,1,11,1.875168
10,cat,11,1,12,1.488962
10,cat,13,1,13,1.305853
10,dog,12,1,1,4.168908
10,dog,14,1,2,4.059254
10,dog,19,1,3,3.923220
10,dog,10,1,4,3.912102
10,dog,15,1,5,3.553362
10,dog,11,1,6,3.539170
10,dog,13,1,7,3.357487
10,dog,17,1,8,3.213228
10,dog,18,1,9,3.203045
10,dog,16,1,10,3.003884
10,dog,7,0,11,2.107632
10,dog,4,0,12,1.598851
10,dog,6,0,13,1.336900
10,plane,21,2,1,4.120338
10,plane,26,2,2,3.969800
10,plane,24,2,3,3.887001
10,plane,22,2,4,3.861695
10,plane,27,2,5,3.692361
10,plane,23,2,6,3.315865
10,plane,28,2,7,3.201148
10,plane,20,2,8,3.162779
10,plane,25,2,9,3.099595
10,plane,29,2,10,2.803314
10,plane,6,0,11,1.305655
10,plane,8,0,12,1.215407
10,plane,16,1,13,0.934148
10,clothes,39,3,1,4.167705
10,clothes,35,3,2,4.051327
10,clothes,36,3,3,3.719381
10,clothes,31,3,4,3.713475
10,clothes,37,3,5,3.712367
10,clothes,34,3,6,3.642213
10,clothes,30,3,7,3.266239
10,clothes,32,3,8,3.209777
10,clothes,33,3,9,3.191562
10,clothes,38,3,10,3.119867
10,clothes,9,0,11,1.675094
10,clothes,4,0,12,1.584113
10,clothes,6,0,13,1.325566
10,car,49,4,1,4.213395
10,car,41,4,2,3.963708
10,car,40,4,3,3.875860
10,car,47,4,4,3.707982
10,car,42,4,5,3.667850
10,car,48,4,6,3.513877
10,car,46,4,7,3.384095
10,car,44,4,8,3.197248
10,car,43,4,9,3.038658
10,car,45,4,10,2.893453
10,car,21,2,11,2.056530
10,car,26,2,12,1.906386
10,car,25,2,13,1.028240
20,cat,3,0,1,4.459622
20,cat,7,0,2,4.297029
20,cat,4,0,3,3.873551
20,cat,1,0,4,3.549837
20,cat,8,0,5,3.418580
20,cat,9,0,6,3.270141
20,cat,6,0,7,3.258630
20,cat,0,0,8,3.140321
20,cat,5,0,9,2.941710
20,cat,2,0,10,2.874607
20,cat,11,1,11,1.451092
20,cat,19,1,12,1.204988
20,cat,13,1,13,0.923026
20,dog,12,1,1,4.493286
20,dog,10,1,2,4.236325
20,dog,14,1,3,4.065043
20,dog,11,1,4,3.501300
20,dog,19,1,5,3.253039
20,dog,17,1,6,3.165422
20,dog,18,1,7,3.120745
20,dog,15,1,8,3.087736
20,dog,13,1,9,2.974660
20,dog,16,1,10,2.799257
20,dog,7,0,11,2.240654
20,dog,4,0,12,1.821390
20,dog,6,0,13,1.199350
20,plane,21,2,1,4.346190
20,plane,26,2,2,4.134989
20,plane,27,2,3,4.062094
20,plane,22,2,4,3.720922
20,plane,24,2,5,3.620924
20,plane,28,2,6,3.081883
20,plane,23,2,7,3.067170
20,plane,20,2,8,3.041667
20,plane,29,2,9,2.887260
20,plane,25,2,10,2.679625
20,plane,8,0,11,1.348501
20,plane,6,0,12,1.168106
20,plane,16,1,13,0.729521
20,clothes,39,3,1,4.417728
20,clothes,35,3,2,4.160363
20,clothes,31,3,3,4.033341
20,clothes,36,3,4,3.674638
20,clothes,34,3,5,3.630827
20,clothes,37,3,6,3.459179
20,clothes,38,3,7,3.336315
20,clothes,30,3,8,3.075454
20,clothes,32,3,9,3.073895
20,clothes,33,3,10,2.935216
20,clothes,4,0,11,1.806652
20,clothes,9,0,12,1.206041
20,clothes,6,0,13,1.188017
20,car,49,4,1,4.372480
20,car,41,4,2,4.128975
20,car,47,4,3,3.988936
20,car,40,4,4,3.898557
20,car,46,4,5,3.646889
20,car,48,4,6,3.498158
20,car,42,4,7,3.467063
20,car,45,4,8,3.076247
20,car,43,4,9,2.823844
20,car,44,4,10,2.701797
20,car,21,2,11,2.282382
20,car,26,2,12,2.071576
20,car,25,2,13,0.608270
30,cat,3,0,1,4.682260
30,cat,7,0,2,4.398810
30,cat,4,0,3,4.054938
30,cat,1,0,4,3.714187
30,cat,5,0,5,3.703747
30,cat,9,0,6,3.359224
30,cat,8,0,7,3.331809
30,cat,6,0,8,3.041717
30,cat,0,0,9,2.619565
30,cat,2,0,10,2.600359
30,cat,19,1,11,1.912275
30,cat,11,1,12,1.554229
30,cat,13,1,13,0.726553
30,dog,12,1,1,4.693421
30,dog,14,1,2,4.175723
30,dog,19,1,3,3.960327
30,dog,10,1,4,3.708489
30,dog,11,1,5,3.604437
30,dog,17,1,6,3.391164
30,dog,16,1,7,3.004318
30,dog,15,1,8,2.929729
30,dog,18,1,9,2.914254
30,dog,13,1,10,2.778187
30,dog,7,0,11,2.342434
30,dog,4,0,12,2.002778
30,dog,6,0,13,0.982436
30,plane,21,2,1,4.508373
30,plane,22,2,2,4.400882
30,plane,27,2,3,4.143502
30,plane,24,2,4,3.939999
30,plane,26,2,5,3.894119
30,plane,28,2,6,3.309945
30,plane,25,2,7,3.179316
30,plane,23,2,8,3.143081
30,plane,20,2,9,3.055774
30,plane,29,2,10,2.972702
30,plane,8,0,11,1.261730
30,plane,6,0,12,0.951192
30,plane,16,1,13,0.934582
30,clothes,39,3,1,4.584643
30,clothes,35,3,2,4.343403
30,clothes,31,3,3,4.216672
30,clothes,36,3,4,3.861359
30,clothes,38,3,5,3.634898
30,clothes,34,3,6,3.597420
30,clothes,37,3,7,3.190275
30,clothes,32,3,8,3.028778
30,clothes,33,3,9,2.925043
30,clothes,30,3,10,2.904883
30,clothes,4,0,11,1.988040
30,clothes,9,0,12,1.295124
30,clothes,6,0,13,0.971103
30,car,49,4,1,4.482364
30,car,47,4,2,4.162718
30,car,41,4,3,4.104163
30,car,42,4,4,4.011485
30,car,40,4,5,3.568011
30,car,46,4,6,3.273790
30,car,44,4,7,3.262535
30,car,48,4,8,2.984638
30,car,45,4,9,2.853196
30,car,43,4,10,2.734031
30,car,21,2,11,2.444565
30,car,26,2,12,1.830705
30,car,25,2,13,1.107961
40,cat,3,0,1,4.882946
40,cat,7,0,2,4.560706
40,cat,4,0,3,4.066012
40,cat,9,0,4,3.610922
40,cat,5,0,5,3.543963
40,cat,1,0,6,3.328965
40,cat,6,0,7,3.281245
40,cat,0,0,8,3.237944
40,cat,2,0,9,3.068411
40,cat,8,0,10,3.043078
40,cat,19,1,11,2.108471
40,cat,11,1,12,1.600840
40,cat,13,1,13,0.772100
40,dog,12,1,1,4.788633
40,dog,14,1,2,4.186437
40,dog,19,1,3,4.156522
40,dog,10,1,4,3.931678
40,dog,11,1,5,3.651048
40,dog,17,1,6,3.398259
40,dog,15,1,7,3.243606
40,dog,13,1,8,2.823734
40,dog,16,1,9,2.718865
40,dog,18,1,10,2.713209
40,dog,7,0,11,2.504330
40,dog,4,0,12,2.013851
40,dog,6,0,13,1.221965
40,plane,21,2,1,4.715696
40,plane,22,2,2,4.206252
40,plane,27,2,3,4.194783
40,plane,24,2,4,3.774863
40,plane,26,2,5,3.389612
40,plane,28,2,6,3.281893
40,plane,20,2,7,3.203256
40,plane,25,2,8,2.995105
40,plane,29,2,9,2.885787
40,plane,23,2,10,2.878085
40,plane,6,0,11,1.190721
40,plane,8,0,12,0.973000
40,plane,16,1,13,0.649129
40,clothes,39,3,1,4.815615
40,clothes,35,3,2,4.515529
40,clothes,31,3,3,4.341275
40,clothes,36,3,4,4.109748
40,clothes,34,3,5,3.834828
40,clothes,38,3,6,3.416634
40,clothes,37,3,7,3.151611
40,clothes,33,3,8,3.058309
40,clothes,30,3,9,2.967548
40,clothes,32,3,10,2.916927
40,clothes,4,0,11,1.999113
40,clothes,9,0,12,1.546821
40,clothes,6,0,13,1.210632
40,car,49,4,1,4.702189
40,car,47,4,2,4.259704
40,car,42,4,3,3.963487
40,car,41,4,4,3.822178
40,car,46,4,5,3.438672
40,car,48,4,6,3.421269
40,car,44,4,7,3.392188
40,car,40,4,8,3.287266
40,car,43,4,9,2.875800
40,car,45,4,10,2.793761
40,car,21,2,11,2.651887
40,car,26,2,12,1.326199
40,car,25,2,13,0.923750
50,cat,3,0,1,4.955506
50,cat,7,0,2,4.478025
50,cat,4,0,3,4.106166
50,cat,1,0,4,3.877095
50,cat,5,0,5,3.621505
50,cat,9,0,6,3.571869
50,cat,6,0,7,3.471403
50,cat,8,0,8,3.038084
50,cat,0,0,9,2.952491
50,cat,2,0,10,2.756090
50,cat,19,1,11,2.251005
