round,avg_reward,avg_exam,avg_view,avg_like,global_ctr,global_lr,global_awt,w0_cos,w1_fresh,w2_lr,w3_ctr,w4_awt,w5_social
1,6.137554,0.315625,0.176563,0.118750,0.100185,0.050141,0.093600,0.250170,0.149942,0.149942,0.150063,0.149942,0.149942
2,7.239343,0.331250,0.198437,0.146875,0.100571,0.050463,0.187214,0.250311,0.149801,0.149883,0.150043,0.150071,0.149891
3,7.136105,0.321875,0.201563,0.134375,0.101104,0.050846,0.259244,0.250435,0.149649,0.149849,0.150010,0.150191,0.149867
4,7.518228,0.310937,0.207813,0.140625,0.101782,0.051340,0.316479,0.250549,0.149468,0.149848,0.149971,0.150300,0.149864
5,7.327059,0.307812,0.196875,0.148438,0.102478,0.051953,0.360763,0.250662,0.149279,0.149852,0.149931,0.150417,0.149859
6,7.010171,0.307812,0.189062,0.139063,0.103182,0.052549,0.399296,0.250772,0.149098,0.149863,0.149888,0.150523,0.149856
7,7.819534,0.334375,0.206250,0.156250,0.104069,0.053332,0.427821,0.250879,0.148877,0.149876,0.149859,0.150640,0.149869
8,7.454500,0.343750,0.200000,0.150000,0.104917,0.054080,0.448228,0.250983,0.148677,0.149895,0.149806,0.150738,0.149901
9,6.910168,0.351562,0.187500,0.134375,0.105646,0.054682,0.489230,0.251077,0.148484,0.149918,0.149752,0.150828,0.149941
10,7.103634,0.318750,0.189062,0.146875,0.106474,0.055473,0.511434,0.251167,0.148283,0.149957,0.149672,0.150930,0.149991
11,6.921841,0.314063,0.181250,0.139063,0.107220,0.056169,0.520205,0.251257,0.148079,0.149982,0.149612,0.151046,0.150025
12,6.719480,0.340625,0.181250,0.135937,0.107954,0.056838,0.515472,0.251341,0.147877,0.149989,0.149584,0.151161,0.150047
13,6.896120,0.303125,0.182812,0.134375,0.108800,0.057492,0.525211,0.251422,0.147658,0.150006,0.149557,0.151281,0.150076
14,7.221505,0.317188,0.192188,0.146875,0.109803,0.058385,0.525393,0.251532,0.147452,0.149997,0.149524,0.151404,0.150091
15,6.219406,0.303125,0.160938,0.134375,0.110219,0.059050,0.524286,0.251598,0.147237,0.150002,0.149536,0.151508,0.150119
16,6.254622,0.312500,0.167187,0.121875,0.110825,0.059489,0.536405,0.251687,0.147050,0.150012,0.149481,0.151620,0.150151
17,6.869475,0.307812,0.176563,0.145313,0.111669,0.060466,0.528321,0.251790,0.146844,0.150007,0.149439,0.151748,0.150172
18,6.999913,0.304688,0.187500,0.142187,0.112753,0.061302,0.519017,0.251870,0.146611,0.150039,0.149392,0.151863,0.150226
19,6.859906,0.320312,0.181250,0.137500,0.113628,0.062049,0.524040,0.251959,0.146392,0.150040,0.149382,0.151975,0.150252
20,6.485762,0.301563,0.171875,0.129688,0.114308,0.062606,0.520113,0.252036,0.146174,0.150062,0.149345,0.152086,0.150296
21,7.228651,0.328125,0.195312,0.143750,0.115545,0.063534,0.519757,0.252128,0.145955,0.150087,0.149293,0.152192,0.150346
22,6.904395,0.320312,0.184375,0.137500,0.116427,0.064258,0.527379,0.252200,0.145714,0.150129,0.149262,0.152286,0.150408
23,7.543581,0.331250,0.200000,0.150000,0.117720,0.065326,0.537200,0.252286,0.145466,0.150148,0.149246,0.152397,0.150457
24,7.464166,0.337500,0.195312,0.148438,0.118767,0.066304,0.557158,0.252365,0.145218,0.150192,0.149221,0.152492,0.150510
25,8.171936,0.342187,0.215625,0.160938,0.120382,0.067576,0.566896,0.252463,0.144953,0.150230,0.149177,0.152608,0.150569
26,7.334404,0.310937,0.193750,0.151562,0.121297,0.068503,0.563043,0.252547,0.144708,0.150282,0.149115,0.152717,0.150631
27,6.992399,0.293750,0.182812,0.139063,0.121893,0.069007,0.553374,0.252614,0.144460,0.150320,0.149077,0.152833,0.150697
28,7.053872,0.306250,0.189062,0.140625,0.122727,0.069633,0.545720,0.252688,0.144218,0.150356,0.149043,0.152940,0.150755
29,7.012098,0.321875,0.187500,0.137500,0.123463,0.070178,0.541773,0.252753,0.143978,0.150395,0.149013,0.153042,0.150818
30,7.572990,0.314063,0.195312,0.153125,0.124465,0.071258,0.538813,0.252830,0.143709,0.150442,0.148971,0.153152,0.150896
31,6.932560,0.331250,0.184375,0.140625,0.125047,0.071904,0.555720,0.252906,0.143487,0.150481,0.148928,0.153243,0.150956
32,7.090682,0.318750,0.193750,0.137500,0.126032,0.072370,0.553485,0.252984,0.143244,0.150535,0.148850,0.153362,0.151025
33,7.152263,0.323437,0.195312,0.142187,0.127034,0.073076,0.555346,0.253058,0.142997,0.150599,0.148803,0.153447,0.151095
34,7.191506,0.312500,0.187500,0.148438,0.127699,0.074058,0.545823,0.253134,0.142744,0.150637,0.148766,0.153565,0.151154
35,7.015817,0.339062,0.185938,0.142187,0.128237,0.074753,0.545954,0.253209,0.142508,0.150691,0.148694,0.153677,0.151222
36,8.486256,0.371875,0.225000,0.175000,0.130324,0.076755,0.560669,0.253315,0.142237,0.150737,0.148636,0.153785,0.151289
37,7.553314,0.334375,0.196875,0.154688,0.131192,0.077771,0.580505,0.253396,0.141999,0.150751,0.148609,0.153905,0.151339
38,7.817464,0.328125,0.203125,0.162500,0.132247,0.078949,0.566438,0.253464,0.141711,0.150826,0.148558,0.154017,0.151424
39,7.969737,0.357812,0.215625,0.156250,0.133749,0.079774,0.555244,0.253547,0.141436,0.150870,0.148543,0.154110,0.151494
40,7.680720,0.328125,0.200000,0.156250,0.134416,0.080506,0.535210,0.253614,0.141130,0.150933,0.148505,0.154228,0.151591
41,6.929056,0.321875,0.182812,0.142187,0.134484,0.080798,0.542222,0.253683,0.140880,0.150980,0.148469,0.154326,0.151662
42,6.717233,0.298438,0.176563,0.131250,0.134481,0.080596,0.542554,0.253746,0.140634,0.151044,0.148407,0.154423,0.151746
43,7.000307,0.293750,0.184375,0.137500,0.135052,0.080839,0.546687,0.253810,0.140369,0.151086,0.148385,0.154533,0.151818
44,6.806968,0.295312,0.176563,0.139063,0.135275,0.081321,0.545676,0.253867,0.140115,0.151129,0.148372,0.154626,0.151891
45,6.867392,0.321875,0.178125,0.140625,0.135480,0.081940,0.540355,0.253944,0.139871,0.151169,0.148314,0.154737,0.151964
46,6.686273,0.306250,0.176563,0.132812,0.135810,0.082146,0.532167,0.254012,0.139634,0.151212,0.148266,0.154841,0.152036
47,7.097313,0.304688,0.182812,0.148438,0.136599,0.083302,0.526711,0.254087,0.139379,0.151237,0.148230,0.154964,0.152103
48,6.740862,0.329688,0.178125,0.139063,0.136953,0.083869,0.528840,0.254157,0.139135,0.151278,0.148188,0.155067,0.152174
49,7.698668,0.346875,0.203125,0.159375,0.138642,0.085507,0.543874,0.254240,0.138865,0.151308,0.148147,0.155195,0.152245
50,8.085197,0.323437,0.206250,0.175000,0.140275,0.087647,0.535904,0.254316,0.138551,0.151352,0.148151,0.155302,0.152328
51,7.604670,0.332813,0.201563,0.143750,0.141606,0.087902,0.545973,0.254403,0.138287,0.151365,0.148113,0.155438,0.152394
52,7.276899,0.326562,0.192188,0.145313,0.142334,0.088365,0.539037,0.254492,0.138046,0.151393,0.148033,0.155565,0.152471
53,6.096068,0.314063,0.162500,0.121875,0.141584,0.087781,0.542957,0.254568,0.137849,0.151419,0.147989,0.155647,0.152528
54,8.062710,0.328125,0.209375,0.165625,0.143668,0.089744,0.558528,0.254665,0.137579,0.151468,0.147921,0.155757,0.152609
55,7.855198,0.335938,0.204687,0.156250,0.145033,0.090796,0.559770,0.254742,0.137296,0.151520,0.147876,0.155875,0.152691
56,6.434910,0.315625,0.171875,0.131250,0.144562,0.090468,0.548587,0.254812,0.137070,0.151553,0.147857,0.155957,0.152751
57,7.567184,0.323437,0.200000,0.151562,0.145923,0.091454,0.549743,0.254894,0.136797,0.151592,0.147819,0.156070,0.152826
58,7.689383,0.323437,0.206250,0.145313,0.147597,0.091865,0.554885,0.254977,0.136522,0.151626,0.147787,0.156189,0.152899
59,7.656885,0.332813,0.201563,0.157812,0.148598,0.093141,0.556419,0.255057,0.136238,0.151673,0.147751,0.156299,0.152983
60,8.033996,0.345313,0.209375,0.164062,0.150123,0.094909,0.557315,0.255155,0.135973,0.151711,0.147669,0.156433,0.153058
61,7.970203,0.351562,0.209375,0.162500,0.151385,0.096343,0.561161,0.255244,0.135692,0.151747,0.147631,0.156558,0.153127
62,7.236757,0.321875,0.187500,0.156250,0.151418,0.097421,0.556740,0.255334,0.135448,0.151798,0.147548,0.156669,0.153202
63,8.315843,0.359375,0.218750,0.175000,0.153209,0.099405,0.564286,0.255421,0.135155,0.151861,0.147487,0.156786,0.153291
64,6.858665,0.323437,0.185938,0.134375,0.153101,0.098654,0.566742,0.255507,0.134928,0.151889,0.147441,0.156888,0.153347
65,7.257811,0.340625,0.189062,0.143750,0.152955,0.098591,0.566540,0.255586,0.134673,0.151944,0.147368,0.157004,0.153424
66,7.216069,0.312500,0.190625,0.142187,0.153374,0.098491,0.559062,0.255665,0.134414,0.151999,0.147294,0.157126,0.153502
67,7.382359,0.348438,0.200000,0.146875,0.154164,0.098879,0.555811,0.255745,0.134148,0.152052,0.147238,0.157237,0.153580
68,7.439583,0.310937,0.193750,0.150000,0.154778,0.099464,0.544027,0.255830,0.133875,0.152115,0.147141,0.157370,0.153668
69,7.181538,0.318750,0.189062,0.146875,0.155049,0.099922,0.543433,0.255890,0.133601,0.152197,0.147076,0.157479,0.153756
70,7.435985,0.298438,0.190625,0.156250,0.155672,0.101123,0.538030,0.255950,0.133293,0.152267,0.147073,0.157569,0.153846
71,7.453090,0.312500,0.195312,0.153125,0.156617,0.102002,0.545301,0.256033,0.133019,0.152339,0.146981,0.157685,0.153944
72,6.666619,0.326562,0.179688,0.131250,0.156378,0.101484,0.544804,0.256116,0.132791,0.152379,0.146918,0.157780,0.154016
73,6.671192,0.317188,0.176563,0.131250,0.155869,0.100935,0.537673,0.256179,0.132535,0.152447,0.146859,0.157879,0.154102
74,6.823404,0.323437,0.184375,0.131250,0.156221,0.100584,0.529386,0.256256,0.132290,0.152504,0.146803,0.157970,0.154177
75,6.864393,0.304688,0.178125,0.137500,0.156408,0.101185,0.528602,0.256342,0.132048,0.152535,0.146758,0.158080,0.154237
76,6.902274,0.317188,0.184375,0.137500,0.157055,0.101638,0.530989,0.256420,0.131785,0.152564,0.146754,0.158181,0.154295
77,7.554613,0.318750,0.193750,0.157812,0.158014,0.103433,0.531913,0.256496,0.131482,0.152639,0.146693,0.158296,0.154394
78,7.148965,0.332813,0.190625,0.145313,0.158647,0.103999,0.525856,0.256565,0.131194,0.152721,0.146624,0.158406,0.154490
79,7.148975,0.318750,0.187500,0.142187,0.159470,0.104671,0.523119,0.256645,0.130937,0.152777,0.146545,0.158522,0.154572
80,7.614290,0.321875,0.207813,0.143750,0.162091,0.105259,0.533369,0.256733,0.130669,0.152830,0.146489,0.158624,0.154655
81,6.879732,0.325000,0.182812,0.139063,0.162097,0.105750,0.529574,0.256815,0.130425,0.152875,0.146435,0.158718,0.154731
82,6.599726,0.315625,0.176563,0.125000,0.161694,0.104854,0.530741,0.256892,0.130183,0.152914,0.146380,0.158823,0.154808
83,7.374491,0.312500,0.196875,0.148438,0.163413,0.106268,0.538751,0.256972,0.129919,0.152943,0.146376,0.158915,0.154876
84,7.589573,0.335938,0.203125,0.145313,0.165230,0.107203,0.546907,0.257067,0.129650,0.152958,0.146355,0.159028,0.154942
85,6.902287,0.315625,0.187500,0.131250,0.165551,0.106862,0.547053,0.257137,0.129397,0.152977,0.146366,0.159117,0.155006
86,8.577688,0.359375,0.228125,0.170313,0.168992,0.109982,0.556222,0.257241,0.129101,0.153006,0.146324,0.159234,0.155094
87,6.526226,0.310937,0.170313,0.128125,0.167201,0.109101,0.555519,0.257296,0.128842,0.153072,0.146284,0.159327,0.155179
88,7.462931,0.343750,0.193750,0.156250,0.167495,0.110889,0.557346,0.257365,0.128543,0.153148,0.146258,0.159418,0.155268
89,7.084079,0.342187,0.190625,0.137500,0.167733,0.110709,0.550220,0.257436,0.128272,0.153218,0.146202,0.159520,0.155352
90,6.906243,0.312500,0.184375,0.134375,0.168090,0.110674,0.556461,0.257509,0.128019,0.153262,0.146160,0.159615,0.155434
91,7.640611,0.323437,0.198437,0.159375,0.169390,0.112942,0.547068,0.257580,0.127727,0.153311,0.146141,0.159724,0.155518
