round,avg_reward,avg_exam,avg_view,avg_like,global_ctr,global_lr,global_awt,w0_cos,w1_fresh,w2_lr,w3_ctr,w4_awt,w5_social
1,6.137554,0.315625,0.176563,0.118750,0.453490,0.494476,0.468000,0.250170,0.149942,0.149942,0.150063,0.149942,0.149942
2,7.169202,0.340625,0.192188,0.153125,0.478272,0.555341,0.528660,0.250264,0.149759,0.150105,0.149903,0.150058,0.149911
3,6.751788,0.315625,0.176563,0.139063,0.459643,0.534915,0.546829,0.250327,0.149584,0.150232,0.149780,0.150158,0.149920
4,8.117650,0.354687,0.217188,0.160938,0.470722,0.520629,0.558882,0.250405,0.149340,0.150382,0.149641,0.150265,0.149966
5,7.531716,0.321875,0.204687,0.145313,0.480155,0.512583,0.555505,0.250446,0.149094,0.150527,0.149567,0.150349,0.150017
6,6.971725,0.326562,0.187500,0.139063,0.478529,0.516544,0.551862,0.250495,0.148877,0.150637,0.149452,0.150445,0.150094
7,7.091453,0.331250,0.190625,0.135937,0.476353,0.514731,0.553801,0.250542,0.148650,0.150759,0.149331,0.150543,0.150175
8,6.701972,0.296875,0.179688,0.132812,0.479132,0.517430,0.553066,0.250592,0.148442,0.150864,0.149214,0.150634,0.150255
9,7.493956,0.346875,0.198437,0.153125,0.499120,0.537824,0.568745,0.250653,0.148191,0.150979,0.149127,0.150729,0.150321
10,7.524214,0.317188,0.200000,0.153125,0.492864,0.541429,0.569390,0.250710,0.147949,0.151095,0.149040,0.150838,0.150368
11,5.958840,0.317188,0.157812,0.120313,0.485142,0.540431,0.568788,0.250764,0.147777,0.151184,0.148934,0.150917,0.150423
12,6.923905,0.317188,0.179688,0.140625,0.485586,0.541299,0.569276,0.250826,0.147560,0.151311,0.148816,0.151014,0.150473
13,7.414443,0.328125,0.193750,0.154688,0.486594,0.543049,0.568999,0.250896,0.147326,0.151432,0.148678,0.151115,0.150553
14,7.650576,0.350000,0.200000,0.157812,0.486091,0.545853,0.569276,0.250954,0.147093,0.151557,0.148562,0.151209,0.150624
15,7.021648,0.304688,0.184375,0.135937,0.486158,0.543093,0.569724,0.250993,0.146873,0.151692,0.148423,0.151311,0.150707
16,6.317557,0.329688,0.167187,0.126562,0.483108,0.543629,0.569403,0.251038,0.146681,0.151797,0.148319,0.151396,0.150769
17,7.818575,0.332813,0.206250,0.159375,0.487503,0.545522,0.569256,0.251095,0.146439,0.151920,0.148214,0.151497,0.150834
