round,image_id,category,quality,freshness,ctr,lr,awt,social_proof,cos_ui_own,own_query_score
1,0,0,0.139619,0.913744,0.134615,0.067308,0.134878,0.085357,0.083227,0.221303
1,1,0,0.247320,0.604284,0.117647,0.049020,0.081435,0.029328,0.087434,0.154197
1,2,0,0.039080,0.376352,0.134615,0.067308,0.063736,0.085357,0.089504,0.131526
1,3,0,0.724847,0.758512,0.115385,0.068627,0.197578,0.065223,0.078817,0.200588
1,4,0,0.368557,0.877995,0.111111,0.068627,0.092128,0.065223,0.083973,0.203368
1,5,0,0.268096,0.978493,0.169492,0.081818,0.130681,0.153703,0.080691,0.247414
1,6,0,0.150631,0.889366,0.098039,0.050000,0.000000,0.000000,0.093382,0.179088
1,7,0,0.568517,0.431510,0.100000,0.050000,0.000000,0.000000,0.084806,0.108496
1,8,0,0.168080,0.708548,0.117647,0.049020,0.126768,0.029328,0.078978,0.174531
1,9,0,0.311360,0.949324,0.115385,0.049020,0.115647,0.029328,0.082317,0.209510
1,10,1,0.490499,0.330722,0.098039,0.050000,0.000000,0.000000,0.070773,0.089559
1,11,1,0.199080,0.747691,0.142857,0.047170,0.111474,0.075605,0.079305,0.188639
1,12,1,0.612538,0.452362,0.134615,0.086538,0.184215,0.111499,0.067478,0.162291
1,13,1,0.080769,0.451742,0.117647,0.049020,0.156867,0.029328,0.082567,0.141385
1,14,1,0.448982,0.649095,0.129630,0.086538,0.167258,0.111499,0.074119,0.190199
1,15,1,0.251850,0.607621,0.150943,0.084906,0.130586,0.126831,0.071659,0.183110
1,16,1,0.071009,0.250822,0.100000,0.050000,0.000000,0.000000,0.077447,0.079527
1,17,1,0.225512,0.888624,0.261538,0.153226,0.130748,0.274225,0.076298,0.275411
1,18,1,0.023145,0.413460,0.100000,0.050000,0.000000,0.000000,0.079356,0.104422
1,19,1,0.378901,0.963053,0.135593,0.066038,0.149420,0.103248,0.076849,0.231929
1,20,2,0.154859,0.438756,0.132075,0.086538,0.103692,0.111499,0.112386,0.159029
