round,query_label,image_id,category,rank,score
1,cat,5,0,1,3.325136
1,cat,3,0,2,3.254058
1,cat,0,0,3,3.213700
1,cat,4,0,4,3.105920
1,cat,9,0,5,3.091063
1,cat,8,0,6,2.990709
1,cat,1,0,7,2.856368
1,cat,6,0,8,2.837085
1,cat,2,0,9,2.808998
1,cat,7,0,10,2.600562
1,cat,19,1,11,1.207149
1,cat,11,1,12,0.933169
1,cat,13,1,13,0.874460
1,dog,17,1,1,3.679004
1,dog,19,1,2,3.255200
1,dog,14,1,3,3.230690
1,dog,12,1,4,3.162088
1,dog,15,1,5,3.136641
1,dog,11,1,6,2.983377
1,dog,13,1,7,2.926094
1,dog,18,1,8,2.586086
1,dog,10,1,9,2.535154
1,dog,16,1,10,2.502858
1,dog,4,0,11,1.053760
1,dog,6,0,12,0.777805
1,dog,7,0,13,0.544186
1,plane,22,2,1,4.051867
1,plane,27,2,2,3.809865
1,plane,21,2,3,3.431323
1,plane,29,2,4,3.251198
1,plane,24,2,5,3.209531
1,plane,26,2,6,3.111014
1,plane,23,2,7,3.084121
1,plane,20,2,8,3.037878
1,plane,28,2,9,2.845160
1,plane,25,2,10,2.794106
1,plane,8,0,11,0.920630
1,plane,6,0,12,0.746560
1,plane,16,1,13,0.433122
1,clothes,35,3,1,3.587372
1,clothes,36,3,2,3.389918
1,clothes,31,3,3,3.174242
1,clothes,37,3,4,3.160979
1,clothes,33,3,5,3.108678
1,clothes,38,3,6,3.046012
1,clothes,34,3,7,3.015784
1,clothes,32,3,8,2.744109
1,clothes,30,3,9,2.722570
1,clothes,39,3,10,2.567592
1,clothes,4,0,11,1.039022
1,clothes,9,0,12,1.026963
1,clothes,6,0,13,0.766471
1,car,42,4,1,3.823953
1,car,45,4,2,3.256642
1,car,40,4,3,3.136693
1,car,43,4,4,3.124587
1,car,41,4,5,3.068193
1,car,47,4,6,3.024356
1,car,49,4,7,2.995838
1,car,44,4,8,2.971524
1,car,46,4,9,2.567622
1,car,48,4,10,2.482609
1,car,21,2,11,1.367514
1,car,26,2,12,1.047600
1,car,25,2,13,0.722751
10,cat,3,0,1,6.673731
10,cat,4,0,2,4.859286
10,cat,9,0,3,4.858927
10,cat,5,0,4,4.787393
10,cat,7,0,5,4.128087
10,cat,6,0,6,4.062900
10,cat,19,1,7,3.941047
10,cat,1,0,8,3.861086
10,cat,8,0,9,3.767763
10,cat,0,0,10,3.604994
10,cat,2,0,11,2.861750
10,cat,11,1,12,1.807483
10,cat,13,1,13,1.085910
10,dog,19,1,1,5.989098
10,dog,12,1,2,5.491995
10,dog,17,1,3,4.961126
10,dog,14,1,4,4.735558
10,dog,15,1,5,4.431392
10,dog,10,1,6,3.858388
10,dog,11,1,7,3.857691
10,dog,18,1,8,3.223936
10,dog,13,1,9,3.137544
10,dog,16,1,10,3.104801
10,dog,4,0,11,2.807125
10,dog,7,0,12,2.071711
10,dog,6,0,13,2.003620
10,plane,22,2,1,6.304671
10,plane,27,2,2,4.898416
10,plane,21,2,3,4.787765
10,plane,26,2,4,4.584935
10,plane,24,2,5,3.856011
10,plane,29,2,6,3.715089
10,plane,20,2,7,3.567842
10,plane,28,2,8,3.446812
10,plane,25,2,9,3.264911
10,plane,23,2,10,3.254293
10,plane,6,0,11,1.972375
10,plane,8,0,12,1.697685
10,plane,16,1,13,1.035065
10,clothes,35,3,1,6.154268
10,clothes,36,3,2,5.404440
10,clothes,31,3,3,4.963258
10,clothes,39,3,4,4.821095
10,clothes,34,3,5,4.497888
10,clothes,38,3,6,4.463965
10,clothes,33,3,7,3.944398
10,clothes,37,3,8,3.845661
10,clothes,32,3,9,3.821399
10,clothes,30,3,10,3.284830
10,clothes,9,0,11,2.794826
10,clothes,4,0,12,2.792387
10,clothes,6,0,13,1.992286
10,car,42,4,1,6.015740
10,car,49,4,2,5.499684
10,car,40,4,3,4.885051
10,car,41,4,4,4.834984
10,car,47,4,5,4.137252
10,car,44,4,6,3.910999
10,car,45,4,7,3.781172
10,car,48,4,8,3.741500
10,car,43,4,9,3.375944
10,car,46,4,10,3.317604
10,car,21,2,11,2.723957
10,car,26,2,12,2.521521
10,car,25,2,13,1.193556
20,cat,3,0,1,6.687008
20,cat,4,0,2,5.683999
20,cat,9,0,3,5.228094
20,cat,7,0,4,5.150098
20,cat,5,0,5,4.770717
20,cat,6,0,6,4.157341
20,cat,1,0,7,4.154101
20,cat,19,1,8,3.941568
20,cat,0,0,9,3.906557
20,cat,8,0,10,3.182978
20,cat,2,0,11,2.608497
20,cat,11,1,12,1.991693
20,cat,13,1,13,1.392224
20,dog,19,1,1,5.989620
20,dog,12,1,2,5.685567
20,dog,14,1,3,5.200961
20,dog,10,1,4,4.962028
20,dog,17,1,5,4.178611
20,dog,15,1,6,4.144914
20,dog,11,1,7,4.041901
20,dog,4,0,8,3.631838
20,dog,13,1,9,3.443858
20,dog,18,1,10,3.218832
20,dog,7,0,11,3.093723
20,dog,16,1,12,2.618214
20,dog,6,0,13,2.098061
20,plane,22,2,1,6.680822
20,plane,21,2,2,5.357665
20,plane,27,2,3,5.290548
20,plane,26,2,4,4.951672
20,plane,24,2,5,4.373507
20,plane,20,2,6,3.699849
20,plane,29,2,7,3.668025
20,plane,28,2,8,3.562747
20,plane,23,2,9,3.435469
20,plane,25,2,10,3.243381
