round,avg_reward,avg_exam,avg_view,avg_like,global_ctr,global_lr,global_awt,w0_cos,w1_fresh,w2_lr,w3_ctr,w4_awt,w5_social
1,6.754474,0.318750,0.192188,0.128125,0.135484,0.077221,0.108999,0.250136,0.150138,0.149904,0.150013,0.149904,0.149904
2,6.397140,0.318750,0.181250,0.112500,0.156972,0.093245,0.190449,0.250164,0.150183,0.149853,0.149954,0.149942,0.149904
3,6.745283,0.329688,0.187500,0.120313,0.173602,0.106782,0.264970,0.250205,0.150214,0.149802,0.149863,0.150003,0.149913
4,7.927491,0.323437,0.217188,0.153125,0.191491,0.122532,0.332821,0.250245,0.150228,0.149759,0.149757,0.150067,0.149943
5,7.660561,0.317188,0.200000,0.154688,0.201144,0.134540,0.374434,0.250235,0.150210,0.149738,0.149719,0.150120,0.149978
6,6.607547,0.323437,0.181250,0.123438,0.206158,0.139577,0.420037,0.250266,0.150215,0.149727,0.149597,0.150179,0.150016
7,6.411936,0.301563,0.173437,0.125000,0.208765,0.143249,0.441123,0.250265,0.150210,0.149709,0.149545,0.150220,0.150050
8,7.716025,0.312500,0.203125,0.154688,0.215136,0.150145,0.467468,0.250262,0.150206,0.149722,0.149426,0.150279,0.150104
9,6.696065,0.323437,0.181250,0.129688,0.215838,0.152148,0.485372,0.250281,0.150213,0.149701,0.149343,0.150325,0.150137
10,8.272034,0.329688,0.220312,0.165625,0.222859,0.158922,0.512536,0.250272,0.150211,0.149723,0.149223,0.150368,0.150204
11,7.330236,0.312500,0.189062,0.150000,0.223028,0.161809,0.521219,0.250263,0.150202,0.149746,0.149082,0.150436,0.150271
12,7.114316,0.345313,0.193750,0.139063,0.223827,0.163373,0.529476,0.250285,0.150186,0.149749,0.148983,0.150480,0.150317
13,7.445387,0.317188,0.193750,0.150000,0.225269,0.165893,0.537673,0.250265,0.150152,0.149758,0.148916,0.150541,0.150368
14,7.694197,0.321875,0.200000,0.156250,0.227106,0.168770,0.546783,0.250250,0.150146,0.149790,0.148786,0.150595,0.150433
15,6.409603,0.293750,0.170313,0.126562,0.224232,0.166089,0.538262,0.250236,0.150140,0.149824,0.148667,0.150645,0.150488
16,6.788662,0.315625,0.179688,0.135937,0.223868,0.166334,0.534008,0.250226,0.150110,0.149827,0.148594,0.150713,0.150529
17,8.025861,0.353125,0.210938,0.160938,0.227007,0.170074,0.546855,0.250227,0.150047,0.149841,0.148527,0.150781,0.150576
18,6.799314,0.309375,0.178125,0.134375,0.225547,0.169153,0.550015,0.250239,0.150005,0.149874,0.148402,0.150847,0.150633
19,7.472827,0.326562,0.193750,0.153125,0.225963,0.170815,0.560544,0.250235,0.149983,0.149890,0.148328,0.150890,0.150674
20,7.142893,0.312500,0.179688,0.151562,0.224132,0.172619,0.564638,0.250242,0.149966,0.149911,0.148208,0.150950,0.150723
21,6.853016,0.306250,0.176563,0.139063,0.222316,0.171784,0.553565,0.250226,0.149938,0.149953,0.148113,0.151004,0.150765
22,6.447973,0.298438,0.165625,0.134375,0.219443,0.170253,0.547797,0.250223,0.149890,0.149999,0.148007,0.151067,0.150814
23,8.195030,0.348438,0.212500,0.170313,0.223339,0.174494,0.556260,0.250251,0.149860,0.150042,0.147838,0.151139,0.150870
24,7.285701,0.315625,0.185938,0.153125,0.222755,0.175249,0.555781,0.250255,0.149776,0.150109,0.147713,0.151219,0.150928
25,8.027905,0.342187,0.212500,0.164062,0.226621,0.177439,0.561723,0.250234,0.149712,0.150146,0.147660,0.151270,0.150979
26,6.870215,0.340625,0.181250,0.137500,0.224844,0.175756,0.566584,0.250271,0.149647,0.150188,0.147526,0.151340,0.151028
27,7.010388,0.315625,0.185938,0.137500,0.224787,0.173861,0.564555,0.250265,0.149587,0.150259,0.147399,0.151402,0.151088
28,7.525125,0.334375,0.195312,0.150000,0.224990,0.174082,0.562001,0.250281,0.149517,0.150322,0.147260,0.151465,0.151155
29,7.949683,0.320312,0.207813,0.159375,0.227823,0.175079,0.552973,0.250269,0.149448,0.150407,0.147120,0.151535,0.151221
30,8.466212,0.337500,0.214062,0.175000,0.230062,0.178716,0.547946,0.250265,0.149319,0.150463,0.147097,0.151589,0.151268
31,7.772591,0.337500,0.201563,0.159375,0.230507,0.179354,0.550608,0.250252,0.149200,0.150527,0.147028,0.151662,0.151330
32,7.499336,0.315625,0.192188,0.157812,0.229990,0.179678,0.544555,0.250239,0.149093,0.150598,0.146925,0.151746,0.151399
33,5.891112,0.320312,0.162500,0.101562,0.225577,0.171957,0.543477,0.250253,0.149019,0.150621,0.146880,0.151788,0.151439
34,6.922204,0.315625,0.179688,0.137500,0.223855,0.170855,0.544516,0.250257,0.148978,0.150686,0.146719,0.151857,0.151503
35,6.367570,0.318750,0.167187,0.132812,0.221106,0.169893,0.537937,0.250261,0.148926,0.150731,0.146607,0.151913,0.151561
36,7.905188,0.357812,0.206250,0.154688,0.223138,0.171296,0.547649,0.250278,0.148816,0.150786,0.146508,0.151983,0.151629
37,7.181762,0.321875,0.190625,0.140625,0.223643,0.170565,0.540768,0.250282,0.148733,0.150822,0.146442,0.152036,0.151685
38,7.074600,0.345313,0.179688,0.148438,0.220887,0.171475,0.539895,0.250293,0.148655,0.150861,0.146353,0.152097,0.151741
39,7.874470,0.335938,0.206250,0.156250,0.223863,0.172838,0.535989,0.250290,0.148555,0.150908,0.146294,0.152159,0.151794
40,7.482751,0.323437,0.193750,0.153125,0.223776,0.172867,0.532827,0.250267,0.148490,0.150957,0.146207,0.152227,0.151852
