round,query,prec10
1,cat,1.0
1,dog,1.0
1,plane,1.0
1,clothes,1.0
1,car,1.0
2,cat,0.8
2,dog,0.8
2,plane,0.8
2,clothes,0.9
2,car,0.9
3,cat,0.8
3,dog,0.8
3,plane,0.8
3,clothes,0.9
3,car,0.9
4,cat,0.8
4,dog,0.8
4,plane,0.7
4,clothes,0.9
4,car,0.9
5,cat,0.8
5,dog,0.8
5,plane,0.7
5,clothes,0.9
5,car,0.9
6,cat,0.8
6,dog,0.8
6,plane,0.7
6,clothes,0.9
6,car,0.9
7,cat,0.7
7,dog,0.8
7,plane,0.8
7,clothes,0.9
7,car,0.9
8,cat,0.7
8,dog,0.8
8,plane,0.8
8,clothes,0.9
8,car,0.8
9,cat,0.7
9,dog,0.8
9,plane,0.8
9,clothes,0.9
9,car,0.8
10,cat,0.7
10,dog,0.8
10,plane,0.8
10,clothes,0.9
10,car,0.8
11,cat,0.7
11,dog,0.8
11,plane,0.8
11,clothes,0.9
11,car,0.8
12,cat,0.7
12,dog,0.8
12,plane,0.8
12,clothes,0.9
12,car,0.8
13,cat,0.7
13,dog,0.8
13,plane,0.8
13,clothes,0.9
13,car,0.8
14,cat,0.7
14,dog,0.8
14,plane,0.8
14,clothes,0.9
14,car,0.8
15,cat,0.7
15,dog,0.8
15,plane,0.8
15,clothes,0.9
15,car,0.8
16,cat,0.7
16,dog,0.8
16,plane,0.8
16,clothes,0.9
16,car,0.8
17,cat,0.7
17,dog,0.8
17,plane,0.8
17,clothes,0.9
17,car,0.8
18,cat,0.7
18,dog,0.8
18,plane,0.8
18,clothes,0.9
18,car,0.8
19,cat,0.7
19,dog,0.8
19,plane,0.8
19,clothes,0.9
19,car,0.8
20,cat,0.7
20,dog,0.8
20,plane,0.8
20,clothes,0.9
20,car,0.8
21,cat,0.7
21,dog,0.8
21,plane,0.8
21,clothes,0.9
21,car,0.8
22,cat,0.7
22,dog,0.8
22,plane,0.7
22,clothes,0.9
22,car,0.8
23,cat,0.7
23,dog,0.8
23,plane,0.7
23,clothes,0.9
23,car,0.8
24,cat,0.7
24,dog,0.8
24,plane,0.7
24,clothes,0.9
24,car,0.8
25,cat,0.7
25,dog,0.8
25,plane,0.7
25,clothes,0.9
25,car,0.8
26,cat,0.7
26,dog,0.8
26,plane,0.7
26,clothes,0.9
26,car,0.8
27,cat,0.7
27,dog,0.8
27,plane,0.7
27,clothes,0.9
27,car,0.8
28,cat,0.7
28,dog,0.8
28,plane,0.7
28,clothes,0.9
28,car,0.8
29,cat,0.7
29,dog,0.8
29,plane,0.7
29,clothes,0.9
29,car,0.8
30,cat,0.7
30,dog,0.8
30,plane,0.7
30,clothes,0.9
30,car,0.8
31,cat,0.7
31,dog,0.8
31,plane,0.7
31,clothes,0.9
31,car,0.8
32,cat,0.7
32,dog,0.8
32,plane,0.7
32,clothes,0.9
32,car,0.8
33,cat,0.7
33,dog,0.8
33,plane,0.7
33,clothes,0.9
33,car,0.8
34,cat,0.7
34,dog,0.8
34,plane,0.7
34,clothes,0.9
34,car,0.8
35,cat,0.7
35,dog,0.8
35,plane,0.7
35,clothes,0.9
35,car,0.8
36,cat,0.7
36,dog,0.8
36,plane,0.7
36,clothes,0.9
36,car,0.8
37,cat,0.7
37,dog,0.8
37,plane,0.7
37,clothes,0.9
37,car,0.8
38,cat,0.7
38,dog,0.8
38,plane,0.7
38,clothes,0.9
38,car,0.8
39,cat,0.7
39,dog,0.8
39,plane,0.7
39,clothes,0.9
39,car,0.8
40,cat,0.7
40,dog,0.8
40,plane,0.7
40,clothes,0.9
40,car,0.8
41,cat,0.7
41,dog,0.8
41,plane,0.7
41,clothes,0.9
41,car,0.8
42,cat,0.7
42,dog,0.8
42,plane,0.7
42,clothes,0.9
42,car,0.8
43,cat,0.7
43,dog,0.8
43,plane,0.7
43,clothes,0.9
43,car,0.8
44,cat,0.7
44,dog,0.8
44,plane,0.7
44,clothes,0.9
44,car,0.8
45,cat,0.7
45,dog,0.8
45,plane,0.7
45,clothes,0.9
45,car,0.8
46,cat,0.7
46,dog,0.8
46,plane,0.7
46,clothes,0.9
46,car,0.8
47,cat,0.7
47,dog,0.8
47,plane,0.7
47,clothes,0.9
47,car,0.8
48,cat,0.7
48,dog,0.8
48,plane,0.7
48,clothes,0.9
48,car,0.8
49,cat,0.7
49,dog,0.8
49,plane,0.7
49,clothes,0.9
49,car,0.8
50,cat,0.7
50,dog,0.8
50,plane,0.7
50,clothes,0.9
50,car,0.8
51,cat,0.7
51,dog,0.8
51,plane,0.7
51,clothes,0.9
51,car,0.8
52,cat,0.7
52,dog,0.8
52,plane,0.7
52,clothes,0.9
52,car,0.8
53,cat,0.7
53,dog,0.8
53,plane,0.7
53,clothes,0.9
53,car,0.8
54,cat,0.7
54,dog,0.8
54,plane,0.7
54,clothes,0.9
54,car,0.8
55,cat,0.7
55,dog,0.8
55,plane,0.7
55,clothes,0.9
55,car,0.8
56,cat,0.7
56,dog,0.8
56,plane,0.7
56,clothes,0.9
56,car,0.8
57,cat,0.7
57,dog,0.8
57,plane,0.7
57,clothes,0.9
57,car,0.8
58,cat,0.7
58,dog,0.8
58,plane,0.7
58,clothes,0.9
58,car,0.8
59,cat,0.7
59,dog,0.8
59,plane,0.7
59,clothes,0.9
59,car,0.8
60,cat,0.7
60,dog,0.8
60,plane,0.7
60,clothes,0.9
60,car,0.8
61,cat,0.7
61,dog,0.8
61,plane,0.7
61,clothes,0.9
61,car,0.8
62,cat,0.7
62,dog,0.8
62,plane,0.7
62,clothes,0.9
62,car,0.8
63,cat,0.7
63,dog,0.8
63,plane,0.7
63,clothes,0.9
63,car,0.8
64,cat,0.7
64,dog,0.8
64,plane,0.7
64,clothes,0.9
64,car,0.8
65,cat,0.7
65,dog,0.8
65,plane,0.7
65,clothes,0.9
65,car,0.8
66,cat,0.7
66,dog,0.8
66,plane,0.7
66,clothes,0.9
66,car,0.8
67,cat,0.7
67,dog,0.8
67,plane,0.7
67,clothes,0.9
67,car,0.8
68,cat,0.7
68,dog,0.8
68,plane,0.7
68,clothes,0.9
68,car,0.8
69,cat,0.7
69,dog,0.8
69,plane,0.7
69,clothes,0.9
69,car,0.8
70,cat,0.7
70,dog,0.8
70,plane,0.7
70,clothes,0.9
70,car,0.8
71,cat,0.7
71,dog,0.8
71,plane,0.7
71,clothes,0.9
71,car,0.8
72,cat,0.7
72,dog,0.8
72,plane,0.7
72,clothes,0.9
72,car,0.8
73,cat,0.7
73,dog,0.8
73,plane,0.7
73,clothes,0.9
