round,query,prec10
1,cat,1.0
1,dog,1.0
1,plane,1.0
1,clothes,1.0
1,car,1.0
2,cat,1.0
2,dog,1.0
2,plane,1.0
2,clothes,1.0
2,car,1.0
3,cat,1.0
3,dog,1.0
3,plane,1.0
3,clothes,1.0
3,car,1.0
4,cat,1.0
4,dog,1.0
4,plane,1.0
4,clothes,1.0
4,car,1.0
5,cat,1.0
5,dog,1.0
5,plane,1.0
5,clothes,1.0
5,car,1.0
6,cat,1.0
6,dog,1.0
6,plane,1.0
6,clothes,1.0
6,car,1.0
7,cat,1.0
7,dog,1.0
7,plane,1.0
7,clothes,1.0
7,car,1.0
8,cat,1.0
8,dog,1.0
8,plane,1.0
8,clothes,1.0
8,car,1.0
9,cat,1.0
9,dog,1.0
9,plane,1.0
9,clothes,1.0
9,car,1.0
10,cat,1.0
10,dog,1.0
10,plane,1.0
10,clothes,1.0
10,car,1.0
11,cat,1.0
11,dog,1.0
11,plane,1.0
11,clothes,1.0
11,car,1.0
12,cat,1.0
12,dog,1.0
12,plane,1.0
12,clothes,1.0
12,car,1.0
13,cat,1.0
13,dog,1.0
13,plane,1.0
13,clothes,1.0
13,car,1.0
14,cat,1.0
14,dog,1.0
14,plane,1.0
14,clothes,1.0
14,car,1.0
15,cat,1.0
15,dog,1.0
15,plane,1.0
15,clothes,1.0
15,car,1.0
16,cat,1.0
16,dog,1.0
16,plane,1.0
16,clothes,1.0
16,car,1.0
17,cat,1.0
17,dog,1.0
17,plane,1.0
17,clothes,1.0
17,car,1.0
18,cat,1.0
18,dog,1.0
18,plane,1.0
18,clothes,1.0
18,car,1.0
19,cat,1.0
19,dog,1.0
19,plane,1.0
19,clothes,1.0
19,car,1.0
20,cat,1.0
20,dog,1.0
20,plane,1.0
20,clothes,1.0
20,car,1.0
21,cat,1.0
21,dog,1.0
21,plane,1.0
21,clothes,1.0
21,car,1.0
22,cat,1.0
22,dog,1.0
22,plane,1.0
22,clothes,1.0
22,car,1.0
23,cat,1.0
23,dog,1.0
23,plane,1.0
23,clothes,1.0
23,car,1.0
24,cat,1.0
24,dog,1.0
24,plane,1.0
24,clothes,1.0
24,car,1.0
25,cat,1.0
25,dog,1.0
25,plane,1.0
25,clothes,1.0
25,car,1.0
26,cat,1.0
26,dog,1.0
26,plane,1.0
26,clothes,1.0
26,car,1.0
27,cat,1.0
27,dog,1.0
27,plane,1.0
27,clothes,1.0
27,car,1.0
28,cat,1.0
28,dog,1.0
28,plane,1.0
28,clothes,1.0
28,car,1.0
29,cat,1.0
29,dog,1.0
29,plane,1.0
29,clothes,1.0
29,car,1.0
30,cat,1.0
30,dog,1.0
30,plane,1.0
30,clothes,1.0
30,car,1.0
31,cat,1.0
31,dog,1.0
31,plane,1.0
31,clothes,1.0
31,car,1.0
32,cat,1.0
32,dog,1.0
32,plane,1.0
32,clothes,1.0
32,car,1.0
33,cat,1.0
33,dog,1.0
33,plane,1.0
33,clothes,1.0
33,car,1.0
34,cat,1.0
34,dog,1.0
34,plane,1.0
34,clothes,1.0
34,car,1.0
35,cat,1.0
35,dog,1.0
35,plane,1.0
35,clothes,1.0
35,car,1.0
36,cat,1.0
36,dog,1.0
36,plane,1.0
36,clothes,1.0
36,car,1.0
37,cat,1.0
37,dog,1.0
37,plane,1.0
37,clothes,1.0
37,car,1.0
38,cat,1.0
38,dog,1.0
38,plane,1.0
38,clothes,1.0
38,car,1.0
39,cat,1.0
39,dog,1.0
39,plane,1.0
39,clothes,1.0
39,car,1.0
40,cat,1.0
40,dog,1.0
40,plane,1.0
40,clothes,1.0
40,car,1.0
41,cat,1.0
41,dog,1.0
41,plane,1.0
41,clothes,1.0
41,car,1.0
42,cat,1.0
42,dog,1.0
42,plane,1.0
42,clothes,1.0
42,car,1.0
43,cat,1.0
43,dog,1.0
43,plane,1.0
43,clothes,1.0
43,car,1.0
44,cat,1.0
44,dog,1.0
44,plane,1.0
44,clothes,1.0
44,car,1.0
45,cat,1.0
45,dog,1.0
45,plane,1.0
45,clothes,1.0
45,car,1.0
46,cat,1.0
46,dog,1.0
46,plane,1.0
46,clothes,1.0
46,car,1.0
47,cat,1.0
47,dog,1.0
47,plane,1.0
47,clothes,1.0
47,car,1.0
48,cat,1.0
48,dog,1.0
48,plane,1.0
48,clothes,1.0
48,car,1.0
49,cat,1.0
49,dog,1.0
49,plane,1.0
49,clothes,1.0
49,car,1.0
50,cat,1.0
50,dog,1.0
50,plane,1.0
50,clothes,1.0
50,car,1.0
51,cat,1.0
51,dog,1.0
51,plane,1.0
51,clothes,1.0
51,car,1.0
52,cat,1.0
52,dog,1.0
52,plane,1.0
52,clothes,1.0
52,car,1.0
53,cat,1.0
53,dog,1.0
53,plane,1.0
53,clothes,1.0
53,car,1.0
54,cat,1.0
54,dog,1.0
54,plane,1.0
54,clothes,1.0
54,car,1.0
55,cat,1.0
55,dog,1.0
55,plane,1.0
55,clothes,1.0
55,car,1.0
56,cat,1.0
56,dog,1.0
56,plane,1.0
56,clothes,1.0
56,car,1.0
57,cat,1.0
57,dog,1.0
57,plane,1.0
57,clothes,1.0
57,car,1.0
58,cat,1.0
58,dog,1.0
58,plane,1.0
58,clothes,1.0
58,car,1.0
59,cat,1.0
59,dog,1.0
59,plane,1.0
59,clothes,1.0
59,car,1.0
60,cat,1.0
60,dog,1.0
60,plane,1.0
60,clothes,1.0
60,car,1.0
61,cat,1.0
61,dog,1.0
61,plane,1.0
61,clothes,1.0
61,car,1.0
62,cat,1.0
62,dog,1.0
62,plane,1.0
62,clothes,1.0
62,car,1.0
63,cat,1.0
63,dog,1.0
63,plane,1.0
63,clothes,1.0
63,car,1.0
64,cat,1.0
64,dog,1.0
64,plane,1.0
64,clothes,1.0
64,car,1.0
65,cat,1.0
65,dog,1.0
65,plane,1.0
65,clothes,1.0
65,car,1.0
66,cat,1.0
66,dog,1.0
66,plane,1.0
66,clothes,1.0
66,car,1.0
67,cat,1.0
67,dog,1.0
67,plane,1.0
67,clothes,1.0
67,car,1.0
68,cat,1.0
68,dog,1.0
68,plane,1.0
68,clothes,1.0
68,car,1.0
69,cat,1.0
69,dog,1.0
69,plane,1.0
69,clothes,1.0
69,car,1.0
70,cat,1.0
70,dog,1.0
70,plane,1.0
70,clothes,1.0
70,car,1.0
71,cat,1.0
71,dog,1.0
71,plane,1.0
71,clothes,1.0
71,car,1.0
72,cat,1.0
72,dog,1.0
72,plane,1.0
72,clothes,1.0
72,car,1.0
73,cat,1.0
73,dog,1.0
73,plane,1.0
73,clothes,1.0
