round,image_id,category,quality,freshness,ctr,lr,awt,social_proof,cos_ui_own,own_query_score,cum_views,cum_likes
1,0,0,0.139619,0.870551,0.100170,0.050090,0.109398,0.000562,0.083227,0.190383,0.0,0.0
1,1,0,0.247320,0.870551,0.100180,0.050190,0.140870,0.000802,0.087434,0.196207,0.0,0.0
1,2,0,0.039080,0.870551,0.100080,0.049995,0.078788,0.000161,0.089504,0.187276,0.0,0.0
1,3,0,0.724847,0.870551,0.100000,0.050000,0.000000,0.000000,0.078817,0.172753,0.0,0.0
1,4,0,0.368557,0.870551,0.100070,0.050095,0.155208,0.000402,0.083973,0.197400,0.0,0.0
1,5,0,0.268096,0.870551,0.100090,0.050095,0.084793,0.000402,0.080691,0.186024,0.0,0.0
1,6,0,0.150631,0.870551,0.100140,0.049990,0.111557,0.000321,0.093382,0.193192,0.0,0.0
1,7,0,0.568517,0.870551,0.100000,0.050000,0.000000,0.000000,0.084806,0.174251,0.0,0.0
1,8,0,0.168080,0.870551,0.100000,0.050000,0.000000,0.000000,0.078978,0.172793,0.0,0.0
1,9,0,0.311360,0.870551,0.100260,0.050185,0.155880,0.000962,0.082317,0.197213,0.0,0.0
1,10,1,0.490499,0.870551,0.100000,0.050000,0.000000,0.000000,0.070773,0.170741,0.0,0.0
1,11,1,0.199080,0.870551,0.099960,0.050000,0.000000,0.000000,0.079305,0.172869,0.0,0.0
1,12,1,0.612538,0.870551,0.100000,0.050000,0.000000,0.000000,0.067478,0.169916,0.0,0.0
1,13,1,0.080769,0.870551,0.100407,0.050203,0.105198,0.001267,0.082567,0.189746,0.0,0.0
1,14,1,0.448982,0.870551,0.100070,0.050095,0.165575,0.000402,0.074119,0.196489,0.0,0.0
1,15,1,0.251850,0.870551,0.100090,0.050095,0.123539,0.000402,0.071659,0.189574,0.0,0.0
1,16,1,0.071009,0.870551,0.100170,0.050090,0.083113,0.000562,0.077447,0.184996,0.0,0.0
1,17,1,0.225512,0.870551,0.099990,0.050000,0.000000,0.000000,0.076298,0.172121,0.0,0.0
1,18,1,0.023145,0.870551,0.099980,0.050000,0.000000,0.000000,0.079356,0.172885,0.0,0.0
1,19,1,0.378901,0.870551,0.100220,0.050085,0.129177,0.000722,0.076849,0.191783,0.0,0.0
1,20,2,0.154859,0.870551,0.100260,0.050185,0.131563,0.000962,0.112386,0.201089,0.0,0.0
1,21,2,0.496025,0.870551,0.100360,0.050380,0.148668,0.001601,0.105039,0.201955,0.0,0.0
1,22,2,0.753268,0.870551,0.099980,0.050000,0.000000,0.000000,0.056707,0.167219,0.0,0.0
1,23,2,0.075313,0.870551,0.100340,0.050080,0.072737,0.000882,0.056907,0.178373,0.0,0.0
1,24,2,0.346724,0.870551,0.100070,0.050095,0.179578,0.000402,0.109883,0.207536,0.0,0.0
1,25,2,0.118530,0.870551,0.099980,0.050000,0.000000,0.000000,0.109838,0.180511,0.0,0.0
1,26,2,0.401554,0.870551,0.100407,0.050429,0.155513,0.001808,0.115062,0.205534,0.0,0.0
1,27,2,0.428317,0.870551,0.100407,0.050429,0.161164,0.001808,0.117778,0.207061,0.0,0.0
1,28,2,0.226272,0.870551,0.100180,0.050190,0.142039,0.000802,0.077330,0.193854,0.0,0.0
1,29,2,0.109343,0.870551,0.100080,0.050095,0.109049,0.000402,0.024078,0.175496,0.0,0.0
1,30,3,0.108891,0.870551,0.099970,0.050000,0.000000,0.000000,0.032863,0.161252,0.0,0.0
1,31,3,0.559639,0.870551,0.100150,0.050190,0.182682,0.000802,0.047589,0.192504,0.0,0.0
1,32,3,0.161426,0.870551,0.100000,0.050000,0.000000,0.000000,0.037489,0.162414,0.0,0.0
1,33,3,0.041007,0.870551,0.100070,0.050095,0.079248,0.000402,0.059082,0.179783,0.0,0.0
1,34,3,0.306667,0.870551,0.100407,0.050316,0.135124,0.001538,0.068562,0.190787,0.0,0.0
1,35,3,0.482934,0.870551,0.099970,0.050000,0.000000,0.000000,0.063713,0.168970,0.0,0.0
1,36,3,0.444939,0.870551,0.100080,0.050095,0.156253,0.000402,0.048569,0.188701,0.0,0.0
1,37,3,0.300442,0.870551,0.100407,0.050158,0.154664,0.001159,0.047735,0.188426,0.0,0.0
1,38,3,0.255183,0.870551,0.100260,0.050085,0.135199,0.000722,0.053900,0.186952,0.0,0.0
1,39,3,0.542584,0.870551,0.100170,0.050190,0.160964,0.000802,0.069106,0.194633,0.0,0.0
1,40,4,0.357393,0.870551,0.100407,0.050203,0.147048,0.001267,0.081755,0.195818,0.0,0.0
1,41,4,0.440077,0.870551,0.100090,0.049995,0.177333,0.000161,0.081042,0.199936,0.0,0.0
1,42,4,0.374670,0.870551,0.100170,0.050190,0.151688,0.000802,0.063496,0.191839,0.0,0.0
1,43,4,0.072453,0.870551,0.100407,0.050113,0.094097,0.001051,0.093616,0.190800,0.0,0.0
1,44,4,0.146514,0.870551,0.100240,0.050185,0.102475,0.000962,0.067609,0.185522,0.0,0.0
1,45,4,0.031405,0.870551,0.100000,0.050000,0.000000,0.000000,0.052185,0.166090,0.0,0.0
1,46,4,0.216687,0.870551,0.099980,0.050000,0.000000,0.000000,0.060606,0.168194,0.0,0.0
1,47,4,0.446234,0.870551,0.100407,0.050365,0.151658,0.001653,0.064283,0.192220,0.0,0.0
1,48,4,0.301519,0.870551,0.100170,0.050090,0.134244,0.000562,0.082171,0.193844,0.0,0.0
1,49,4,0.532519,0.870551,0.100407,0.050429,0.173912,0.001808,0.081131,0.199805,0.0,0.0
10,0,0,0.139619,0.250000,0.106222,0.052025,0.510136,0.016446,0.083227,0.161022,0.6,0.2
10,1,0,0.247320,0.250000,0.105831,0.053479,0.609218,0.019721,0.087434,0.177673,0.7,0.3
10,2,0,0.039080,0.250000,0.101507,0.050259,0.203813,0.003998,0.089504,0.113557,0.2,0.0
10,3,0,0.724847,0.250000,0.103033,0.053424,0.603320,0.013928,0.078817,0.173324,0.3,0.3
10,4,0,0.368557,0.250000,0.109581,0.060542,0.695252,0.040955,0.083973,0.194594,1.0,0.9
10,5,0,0.268096,0.250000,0.102293,0.052336,0.298343,0.010764,0.080691,0.127048,0.3,0.3
10,6,0,0.150631,0.250000,0.103854,0.053637,0.425310,0.016022,0.093382,0.150601,0.5,0.4
10,7,0,0.568517,0.250000,0.113580,0.063293,0.767937,0.050380,0.084806,0.208194,1.2,1.1
10,8,0,0.168080,0.250000,0.101314,0.050202,0.177161,0.003460,0.078978,0.106777,0.2,0.1
10,9,0,0.311360,0.250000,0.105959,0.055894,0.596498,0.025073,0.082317,0.175657,0.7,0.6
10,10,1,0.490499,0.250000,0.103657,0.053560,0.709141,0.016052,0.070773,0.187698,0.5,0.3
10,11,1,0.199080,0.250000,0.101556,0.051759,0.313034,0.007534,0.079305,0.128233,0.2,0.1
10,12,1,0.612538,0.250000,0.113010,0.062320,0.784455,0.047830,0.067478,0.205721,1.1,1.0
10,13,1,0.080769,0.250000,0.106535,0.051976,0.382083,0.016990,0.082567,0.141665,0.7,0.2
10,14,1,0.448982,0.250000,0.109693,0.059172,0.729485,0.037920,0.074119,0.196639,1.1,0.9
10,15,1,0.251850,0.250000,0.103448,0.052296,0.432213,0.012309,0.071659,0.145370,0.5,0.3
10,16,1,0.071009,0.250000,0.102627,0.049986,0.256564,0.005619,0.077447,0.118856,0.3,0.0
10,17,1,0.225512,0.250000,0.105291,0.054576,0.474515,0.020841,0.076298,0.154815,0.5,0.3
10,18,1,0.023145,0.250000,0.102658,0.050959,0.183924,0.007792,0.079356,0.108857,0.3,0.1
10,19,1,0.378901,0.250000,0.105387,0.053564,0.582626,0.018745,0.076849,0.170806,0.7,0.4
10,20,2,0.154859,0.250000,0.102094,0.051441,0.344916,0.007982,0.112386,0.141444,0.3,0.2
10,21,2,0.496025,0.250000,0.114023,0.061801,0.758347,0.048275,0.105039,0.211351,1.3,1.1
10,22,2,0.753268,0.250000,0.106679,0.057366,0.699158,0.029258,0.056707,0.185670,0.6,0.5
10,23,2,0.075313,0.250000,0.102095,0.052308,0.311116,0.009743,0.056907,0.122818,0.2,0.2
10,24,2,0.346724,0.250000,0.108046,0.058350,0.620974,0.032786,0.109883,0.188107,0.8,0.7
10,25,2,0.118530,0.250000,0.105493,0.052513,0.413978,0.016177,0.109838,0.153122,0.5,0.2
10,26,2,0.401554,0.250000,0.110871,0.060558,0.718202,0.042677,0.115062,0.206312,1.0,0.9
10,27,2,0.428317,0.250000,0.105802,0.054519,0.553414,0.021786,0.117778,0.177335,0.6,0.4
10,28,2,0.226272,0.250000,0.104840,0.053187,0.518293,0.016628,0.077330,0.160767,0.5,0.3
10,29,2,0.109343,0.250000,0.101143,0.050539,0.170390,0.004052,0.024078,0.092091,0.1,0.1
10,30,3,0.108891,0.250000,0.102216,0.050901,0.323742,0.006543,0.032863,0.118013,0.2,0.1
10,31,3,0.559639,0.250000,0.106449,0.057334,0.660873,0.028765,0.047589,0.177495,0.6,0.6
10,32,3,0.161426,0.250000,0.102611,0.049874,0.233092,0.005158,0.037489,0.105199,0.2,0.0
10,33,3,0.041007,0.250000,0.102351,0.050529,0.252339,0.006624,0.059082,0.113801,0.3,0.1
10,34,3,0.306667,0.250000,0.107407,0.052698,0.583470,0.020462,0.068562,0.169283,0.7,0.3
10,35,3,0.482934,0.250000,0.111585,0.061888,0.759239,0.045311,0.063713,0.200317,1.0,1.0
10,36,3,0.444939,0.250000,0.103518,0.053798,0.462853,0.015848,0.048569,0.144964,0.4,0.4
10,37,3,0.300442,0.250000,0.106078,0.055026,0.591091,0.023905,0.047735,0.165874,0.7,0.5
10,38,3,0.255183,0.250000,0.104451,0.053269,0.550803,0.016651,0.053900,0.159748,0.4,0.3
10,39,3,0.542584,0.250000,0.113244,0.062632,0.773804,0.049214,0.069106,0.204813,1.3,1.2
10,40,4,0.357393,0.250000,0.106272,0.054445,0.652853,0.022213,0.081755,0.183415,0.6,0.4
10,41,4,0.440077,0.250000,0.109441,0.058031,0.697630,0.034732,0.081042,0.192883,1.0,0.8
10,42,4,0.374670,0.250000,0.103351,0.052216,0.508946,0.011482,0.063496,0.154744,0.4,0.2
10,43,4,0.072453,0.250000,0.101168,0.051509,0.218677,0.006348,0.093616,0.117321,0.1,0.1
10,44,4,0.146514,0.250000,0.104178,0.051650,0.425893,0.012035,0.067609,0.143372,0.4,0.2
10,45,4,0.031405,0.250000,0.103237,0.050804,0.270845,0.008389,0.052185,0.115301,0.3,0.1
10,46,4,0.216687,0.250000,0.102223,0.050950,0.278587,0.007010,0.060606,0.118245,0.2,0.1
10,47,4,0.446234,0.250000,0.106951,0.057224,0.748283,0.030118,0.064283,0.195130,0.9,0.8
10,48,4,0.301519,0.250000,0.104924,0.054479,0.546829,0.019577,0.082171,0.166936,0.4,0.4
10,49,4,0.532519,0.250000,0.114116,0.063404,0.783949,0.051349,0.081131,0.209929,1.3,1.2
20,0,0,0.139619,0.062500,0.102747,0.051567,0.180661,0.010933,0.083227,0.082219,1.4,0.6
20,1,0,0.247320,0.062500,0.108915,0.054570,0.414451,0.026874,0.087434,0.122549,1.7,0.8
20,2,0,0.039080,0.062500,0.101275,0.050594,0.131240,0.004789,0.089504,0.075002,0.6,0.1
20,3,0,0.724847,0.062500,0.122485,0.075541,0.908623,0.084475,0.078817,0.209282,2.9,2.9
20,4,0,0.368557,0.062500,0.114446,0.064403,0.687301,0.056071,0.083973,0.169814,3.0,2.6
20,5,0,0.268096,0.062500,0.115210,0.055870,0.631299,0.039849,0.080691,0.156865,1.8,0.8
20,6,0,0.150631,0.062500,0.109627,0.056741,0.374897,0.034129,0.093382,0.119569,1.8,1.1
20,7,0,0.568517,0.062500,0.127069,0.076943,0.872013,0.091035,0.084806,0.207116,4.4,4.1
20,8,0,0.168080,0.062500,0.105085,0.052846,0.334098,0.017195,0.078978,0.105930,0.7,0.4
20,9,0,0.311360,0.062500,0.107570,0.055955,0.587172,0.029325,0.082317,0.147860,1.9,1.5
20,10,1,0.490499,0.062500,0.119610,0.070199,0.787658,0.072155,0.070773,0.185801,2.9,2.5
20,11,1,0.199080,0.062500,0.109403,0.056823,0.500009,0.033012,0.079305,0.134831,1.2,0.9
20,12,1,0.612538,0.062500,0.128402,0.080987,0.880551,0.099259,0.067478,0.206103,4.5,4.2
20,13,1,0.080769,0.062500,0.105308,0.051953,0.236995,0.015487,0.082567,0.091733,1.3,0.5
20,14,1,0.448982,0.062500,0.119620,0.070565,0.825395,0.073488,0.074119,0.192629,3.5,3.0
20,15,1,0.251850,0.062500,0.106290,0.056401,0.398966,0.026609,0.071659,0.116074,1.3,0.9
20,16,1,0.071009,0.062500,0.106237,0.052154,0.402376,0.017649,0.077447,0.116047,1.1,0.3
20,17,1,0.225512,0.062500,0.104288,0.054239,0.325445,0.018431,0.076298,0.104220,0.9,0.7
20,18,1,0.023145,0.062500,0.103684,0.050231,0.160177,0.009134,0.079356,0.077802,0.8,0.2
20,19,1,0.378901,0.062500,0.110900,0.057781,0.691003,0.037881,0.076849,0.164311,2.3,1.6
20,20,2,0.154859,0.062500,0.113030,0.054254,0.452047,0.033396,0.112386,0.136084,1.8,0.8
20,21,2,0.496025,0.062500,0.127852,0.073425,0.798079,0.088211,0.105039,0.200143,4.7,3.6
20,22,2,0.753268,0.062500,0.126239,0.079814,0.917559,0.095485,0.056707,0.207942,3.5,3.4
20,23,2,0.075313,0.062500,0.106612,0.054168,0.304301,0.022935,0.056907,0.097147,1.0,0.6
20,24,2,0.346724,0.062500,0.114256,0.057683,0.575759,0.043697,0.109883,0.156490,2.6,1.7
20,25,2,0.118530,0.062500,0.107585,0.053492,0.408840,0.023372,0.109838,0.126444,1.5,0.6
20,26,2,0.401554,0.062500,0.120680,0.070704,0.781342,0.075410,0.115062,0.196712,3.5,3.0
20,27,2,0.428317,0.062500,0.109639,0.059894,0.721527,0.039049,0.117778,0.179549,1.5,1.2
20,28,2,0.226272,0.062500,0.109030,0.059115,0.445008,0.036731,0.077330,0.126836,1.5,1.1
20,29,2,0.109343,0.062500,0.105365,0.053577,0.267568,0.019096,0.024078,0.082457,0.9,0.4
20,30,3,0.108891,0.062500,0.107403,0.051938,0.292459,0.018442,0.032863,0.088403,0.9,0.2
20,31,3,0.559639,0.062500,0.115838,0.066724,0.813576,0.063017,0.047589,0.181436,2.7,2.4
20,32,3,0.161426,0.062500,0.113602,0.051500,0.355562,0.029530,0.037489,0.101679,1.6,0.2
20,33,3,0.041007,0.062500,0.106409,0.050699,0.296348,0.014439,0.059082,0.094652,1.1,0.2
20,34,3,0.306667,0.062500,0.105482,0.052537,0.369751,0.017889,0.068562,0.108840,1.5,0.7
20,35,3,0.482934,0.062500,0.122925,0.074160,0.794543,0.083004,0.063713,0.187799,3.9,3.5
20,36,3,0.444939,0.062500,0.114304,0.064987,0.758835,0.056434,0.048569,0.171888,2.2,2.0
20,37,3,0.300442,0.062500,0.104799,0.055336,0.393620,0.023121,0.047735,0.108333,1.5,1.1
20,38,3,0.255183,0.062500,0.108886,0.053905,0.559448,0.026264,0.053900,0.135927,1.4,0.7
20,39,3,0.542584,0.062500,0.130554,0.079431,0.850777,0.098068,0.069106,0.201899,4.7,4.3
20,40,4,0.357393,0.062500,0.121425,0.067946,0.736758,0.070632,0.081755,0.180537,2.9,2.2
20,41,4,0.440077,0.062500,0.120747,0.067179,0.790021,0.068626,0.081042,0.187924,3.2,2.4
20,42,4,0.374670,0.062500,0.106683,0.057043,0.480535,0.028337,0.063496,0.126819,1.1,0.9
20,43,4,0.072453,0.062500,0.107013,0.049925,0.302948,0.014620,0.093616,0.104343,0.9,0.2
