round,image_id,category,ctr,lr,awt,social_proof,own_query_score
1,0,0,0.105769,0.059406,0.059241,0.075605,0.210947
1,1,0,0.117647,0.049020,0.063935,0.029328,0.155825
1,2,0,0.100000,0.050000,0.000000,0.000000,0.102157
1,3,0,0.123810,0.077670,0.088692,0.165624,0.210129
1,4,0,0.106796,0.059406,0.069995,0.075605,0.207257
1,5,0,0.172131,0.090090,0.067520,0.245481,0.264831
1,6,0,0.138889,0.066667,0.061896,0.147394,0.227443
1,7,0,0.100000,0.050000,0.000000,0.000000,0.110050
1,8,0,0.108911,0.059406,0.063562,0.075605,0.178435
1,9,0,0.172414,0.081818,0.061796,0.222999,0.254696
1,10,1,0.100000,0.050000,0.000000,0.000000,0.091105
1,11,1,0.125000,0.067961,0.071167,0.133981,0.199266
1,12,1,0.100000,0.050000,0.000000,0.000000,0.109923
1,13,1,0.100000,0.050000,0.000000,0.000000,0.112841
1,14,1,0.108911,0.059406,0.064839,0.075605,0.168148
1,15,1,0.099010,0.050000,0.000000,0.000000,0.135460
1,16,1,0.100000,0.050000,0.000000,0.000000,0.079646
1,17,1,0.137615,0.076190,0.050100,0.176722,0.228032
1,18,1,0.100000,0.050000,0.000000,0.000000,0.106069
1,19,1,0.176471,0.117117,0.071273,0.290880,0.274471
1,20,2,0.115385,0.058824,0.075846,0.085357,0.146386
1,21,2,0.126214,0.077670,0.076678,0.165624,0.193500
1,22,2,0.146789,0.103774,0.087000,0.245481,0.249194
1,23,2,0.097087,0.050000,0.000000,0.000000,0.164364
1,24,2,0.099010,0.050000,0.000000,0.000000,0.132039
1,25,2,0.108911,0.049505,0.086418,0.015332,0.135539
1,26,2,0.100000,0.050000,0.000000,0.000000,0.122338
1,27,2,0.142857,0.084906,0.079591,0.206050,0.218550
1,28,2,0.100000,0.050000,0.000000,0.000000,0.098928
1,29,2,0.099010,0.050000,0.000000,0.000000,0.161182
1,30,3,0.100000,0.050000,0.000000,0.000000,0.155982
1,31,3,0.100000,0.050000,0.000000,0.000000,0.109000
1,32,3,0.100000,0.050000,0.000000,0.000000,0.095516
1,33,3,0.133333,0.048077,0.057206,0.054125,0.209333
1,34,3,0.100000,0.050000,0.000000,0.000000,0.118276
1,35,3,0.172727,0.082569,0.077186,0.218926,0.260483
1,36,3,0.132075,0.086538,0.076050,0.196856,0.244452
1,37,3,0.108911,0.049505,0.032107,0.015332,0.183730
1,38,3,0.107843,0.059406,0.068357,0.075605,0.168809
1,39,3,0.100000,0.050000,0.000000,0.000000,0.101379
1,40,4,0.108911,0.059406,0.078304,0.075605,0.166887
1,41,4,0.098039,0.050000,0.000000,0.000000,0.110342
1,42,4,0.136364,0.076190,0.066513,0.176722,0.245532
1,43,4,0.150442,0.084112,0.047589,0.210458,0.242178
1,44,4,0.125000,0.048544,0.059497,0.042204,0.167929
1,45,4,0.106796,0.049505,0.065987,0.015332,0.200745
