round,avg_reward,avg_exam,avg_view,avg_like,global_ctr,global_lr,global_awt,w0_cos,w1_fresh,w2_lr,w3_ctr,w4_awt,w5_social
1,7.695107,0.296875,0.137500,0.087500,0.106531,0.055007,0.029058,0.150000,0.170164,0.169959,0.169959,0.169959,0.169959
2,7.591428,0.278125,0.146875,0.084375,0.111767,0.058704,0.037932,0.150000,0.169988,0.170008,0.170016,0.169923,0.170065
3,8.541384,0.271875,0.165625,0.090625,0.116238,0.061611,0.049299,0.150000,0.169769,0.170087,0.170069,0.169901,0.170174
4,9.993144,0.325000,0.193750,0.109375,0.120661,0.064876,0.058261,0.150000,0.169559,0.170094,0.170041,0.170036,0.170270
5,9.218668,0.303125,0.175000,0.106250,0.123369,0.067410,0.064355,0.150000,0.169335,0.170132,0.170029,0.170134,0.170370
6,10.181550,0.290625,0.168750,0.121875,0.125504,0.070206,0.072130,0.150000,0.169068,0.170187,0.170025,0.170229,0.170491
7,8.086983,0.284375,0.146875,0.090625,0.126341,0.071371,0.077228,0.150000,0.168824,0.170247,0.170030,0.170305,0.170593
8,11.050335,0.306250,0.200000,0.125000,0.129478,0.073720,0.082562,0.150000,0.168552,0.170292,0.169992,0.170458,0.170705
9,11.693788,0.312500,0.206250,0.137500,0.131849,0.076058,0.087551,0.150000,0.168229,0.170372,0.170015,0.170551,0.170833
10,9.236373,0.321875,0.184375,0.096875,0.133010,0.076495,0.092515,0.150000,0.167941,0.170460,0.170022,0.170641,0.170936
11,7.903251,0.290625,0.162500,0.081250,0.133239,0.076374,0.096900,0.150000,0.167713,0.170537,0.170057,0.170672,0.171022
12,9.272759,0.290625,0.159375,0.109375,0.133431,0.077660,0.101539,0.150000,0.167443,0.170621,0.170106,0.170702,0.171128
13,10.056739,0.315625,0.181250,0.115625,0.134293,0.078776,0.102000,0.150000,0.167139,0.170717,0.170111,0.170789,0.171243
14,7.980050,0.256250,0.150000,0.087500,0.134296,0.078709,0.104171,0.150000,0.166899,0.170807,0.170142,0.170814,0.171338
15,10.724313,0.312500,0.193750,0.118750,0.135614,0.079599,0.108454,0.150000,0.166577,0.170897,0.170163,0.170906,0.171457
16,6.405643,0.265625,0.118750,0.071875,0.134328,0.079070,0.109045,0.150000,0.166368,0.170963,0.170216,0.170918,0.171535
17,9.670365,0.293750,0.181250,0.109375,0.135201,0.079553,0.110346,0.150000,0.166095,0.171029,0.170269,0.170959,0.171648
18,10.486641,0.312500,0.196875,0.115625,0.136391,0.080449,0.112725,0.150000,0.165820,0.171061,0.170272,0.171090,0.171756
19,8.957854,0.275000,0.159375,0.103125,0.136348,0.080672,0.113599,0.150000,0.165536,0.171141,0.170330,0.171128,0.171865
20,9.812134,0.315625,0.178125,0.109375,0.136903,0.081021,0.116299,0.150000,0.165251,0.171201,0.170376,0.171199,0.171974
21,11.052119,0.331250,0.193750,0.128125,0.137883,0.082276,0.118625,0.150000,0.164942,0.171229,0.170406,0.171336,0.172088
22,9.654429,0.312500,0.171875,0.109375,0.137721,0.082547,0.118100,0.150000,0.164646,0.171299,0.170455,0.171407,0.172193
23,7.385768,0.287500,0.143750,0.078125,0.137257,0.082258,0.119891,0.150000,0.164442,0.171326,0.170477,0.171487,0.172269
24,8.173589,0.284375,0.140625,0.093750,0.136549,0.082279,0.121110,0.150000,0.164213,0.171382,0.170527,0.171521,0.172357
25,9.161591,0.287500,0.156250,0.106250,0.136284,0.082437,0.122256,0.150000,0.163904,0.171459,0.170571,0.171623,0.172444
26,11.244814,0.312500,0.187500,0.134375,0.136859,0.083395,0.124058,0.150000,0.163530,0.171527,0.170618,0.171773,0.172553
27,6.752982,0.262500,0.131250,0.071875,0.136415,0.082811,0.125759,0.150000,0.163324,0.171545,0.170628,0.171886,0.172616
28,9.362297,0.296875,0.175000,0.103125,0.136722,0.082908,0.125117,0.150000,0.163032,0.171593,0.170648,0.172018,0.172709
29,9.404995,0.287500,0.168750,0.106250,0.137023,0.083111,0.127384,0.150000,0.162778,0.171630,0.170665,0.172129,0.172798
30,9.539269,0.278125,0.175000,0.109375,0.137893,0.083638,0.126507,0.150000,0.162490,0.171659,0.170668,0.172294,0.172889
31,9.954588,0.262500,0.184375,0.112500,0.138836,0.083755,0.127366,0.150000,0.162181,0.171725,0.170706,0.172392,0.172995
32,9.672283,0.287500,0.156250,0.118750,0.138322,0.084405,0.129578,0.150000,0.161885,0.171786,0.170750,0.172480,0.173098
33,10.203267,0.290625,0.184375,0.112500,0.138957,0.084520,0.131443,0.150000,0.161579,0.171840,0.170767,0.172612,0.173201
34,9.237737,0.296875,0.153125,0.112500,0.138698,0.085260,0.132298,0.150000,0.161326,0.171860,0.170776,0.172748,0.173290
35,8.353914,0.293750,0.159375,0.090625,0.138599,0.084992,0.131605,0.150000,0.161093,0.171893,0.170778,0.172865,0.173371
36,10.715115,0.284375,0.171875,0.131250,0.138524,0.085378,0.132654,0.150000,0.160727,0.172001,0.170839,0.172940,0.173492
37,8.665372,0.290625,0.168750,0.090625,0.138856,0.085059,0.133813,0.150000,0.160494,0.172018,0.170839,0.173072,0.173577
38,11.637372,0.287500,0.193750,0.137500,0.139941,0.086413,0.135064,0.150000,0.160200,0.172042,0.170841,0.173233,0.173684
39,9.440621,0.278125,0.162500,0.112500,0.139732,0.086505,0.133229,0.150000,0.159905,0.172126,0.170865,0.173325,0.173779
40,12.677861,0.303125,0.212500,0.146875,0.140866,0.087479,0.134379,0.150000,0.159508,0.172233,0.170902,0.173452,0.173905
41,10.427414,0.281250,0.175000,0.121875,0.141165,0.088044,0.135412,0.150000,0.159220,0.172296,0.170917,0.173567,0.174000
42,9.123079,0.281250,0.159375,0.106250,0.140748,0.088044,0.135232,0.150000,0.158935,0.172368,0.170939,0.173672,0.174087
43,10.619312,0.312500,0.171875,0.128125,0.140866,0.088610,0.136217,0.150000,0.158625,0.172478,0.170954,0.173761,0.174183
44,9.893818,0.284375,0.165625,0.118750,0.140564,0.088627,0.135324,0.150000,0.158296,0.172593,0.171000,0.173827,0.174285
45,11.582309,0.309375,0.181250,0.140625,0.140523,0.089066,0.136117,0.150000,0.157926,0.172745,0.171057,0.173871,0.174401
46,9.188719,0.271875,0.162500,0.106250,0.140240,0.088647,0.135536,0.150000,0.157636,0.172837,0.171106,0.173926,0.174496
47,9.289897,0.290625,0.175000,0.103125,0.140397,0.088211,0.135987,0.150000,0.157370,0.172906,0.171139,0.173996,0.174589
48,9.358783,0.271875,0.171875,0.106250,0.140223,0.087664,0.134473,0.150000,0.157049,0.173011,0.171209,0.174044,0.174687
49,10.506976,0.278125,0.178125,0.125000,0.140640,0.088040,0.135218,0.150000,0.156712,0.173095,0.171256,0.174144,0.174793
50,9.641460,0.281250,0.175000,0.109375,0.140614,0.087662,0.132751,0.150000,0.156386,0.173202,0.171315,0.174206,0.174891
51,9.828514,0.290625,0.175000,0.112500,0.140840,0.087599,0.133226,0.150000,0.156073,0.173287,0.171369,0.174279,0.174991
52,8.005203,0.268750,0.143750,0.090625,0.140461,0.087058,0.132791,0.150000,0.155834,0.173360,0.171408,0.174328,0.175070
53,10.737081,0.328125,0.187500,0.125000,0.140832,0.088008,0.133562,0.150000,0.155552,0.173392,0.171424,0.174468,0.175164
54,11.792690,0.290625,0.187500,0.146875,0.141349,0.089118,0.133706,0.150000,0.155190,0.173493,0.171467,0.174574,0.175277
55,8.643734,0.296875,0.146875,0.100000,0.140210,0.088266,0.131808,0.150000,0.154879,0.173619,0.171549,0.174586,0.175367
56,8.601729,0.296875,0.156250,0.096875,0.139534,0.087822,0.129863,0.150000,0.154621,0.173694,0.171602,0.174628,0.175455
57,10.672526,0.290625,0.171875,0.128125,0.139860,0.088690,0.130435,0.150000,0.154296,0.173749,0.171618,0.174776,0.175561
58,9.931880,0.259375,0.162500,0.118750,0.140057,0.088960,0.130990,0.150000,0.153996,0.173819,0.171652,0.174871,0.175662
59,10.334493,0.309375,0.184375,0.118750,0.140471,0.088999,0.131463,0.150000,0.153714,0.173892,0.171680,0.174952,0.175762
60,10.302380,0.290625,0.187500,0.112500,0.140996,0.088622,0.131255,0.150000,0.153365,0.173969,0.171740,0.175050,0.175875
61,9.971406,0.315625,0.178125,0.112500,0.140934,0.088190,0.132241,0.150000,0.153041,0.174043,0.171817,0.175115,0.175983
62,8.917978,0.284375,0.153125,0.106250,0.140481,0.088068,0.132982,0.150000,0.152755,0.174102,0.171887,0.175173,0.176082
63,8.494225,0.278125,0.162500,0.090625,0.140439,0.087462,0.134261,0.150000,0.152503,0.174146,0.171936,0.175241,0.176173
64,9.129144,0.278125,0.162500,0.103125,0.140351,0.087223,0.135095,0.150000,0.152222,0.174208,0.171974,0.175335,0.176262
65,9.690474,0.253125,0.165625,0.112500,0.140563,0.087228,0.132986,0.150000,0.151911,0.174276,0.172005,0.175447,0.176362
66,9.876007,0.256250,0.162500,0.118750,0.140351,0.087531,0.132164,0.150000,0.151582,0.174349,0.172071,0.175518,0.176480
67,10.638497,0.300000,0.203125,0.115625,0.141472,0.087383,0.132339,0.150000,0.151286,0.174420,0.172097,0.175615,0.176581
68,9.544060,0.290625,0.171875,0.109375,0.141383,0.087459,0.131369,0.150000,0.151002,0.174470,0.172132,0.175709,0.176688
69,11.601656,0.306250,0.190625,0.140625,0.141541,0.088217,0.131719,0.150000,0.150637,0.174564,0.172172,0.175809,0.176819
70,10.560232,0.306250,0.181250,0.125000,0.141656,0.088417,0.132270,0.150000,0.150322,0.174661,0.172206,0.175874,0.176936
71,10.871282,0.293750,0.184375,0.128125,0.141527,0.088487,0.131397,0.150000,0.149975,0.174735,0.172272,0.175949,0.177069
72,11.203237,0.303125,0.193750,0.131250,0.141969,0.088706,0.131124,0.150000,0.149626,0.174814,0.172315,0.176043,0.177202
73,8.934135,0.296875,0.168750,0.096875,0.141566,0.087973,0.130190,0.150000,0.149325,0.174894,0.172354,0.176119,0.177308
74,9.146624,0.271875,0.165625,0.103125,0.141240,0.087352,0.129928,0.150000,0.149025,0.174999,0.172407,0.176155,0.177415
75,10.133619,0.300000,0.203125,0.106250,0.142067,0.086706,0.130465,0.150000,0.148713,0.175085,0.172432,0.176240,0.177530
76,10.301553,0.312500,0.175000,0.121875,0.141816,0.087049,0.131305,0.150000,0.148405,0.175163,0.172457,0.176330,0.177645
77,12.306522,0.300000,0.209375,0.143750,0.142902,0.088208,0.131952,0.150000,0.148026,0.175232,0.172445,0.176518,0.177778
78,10.412142,0.325000,0.190625,0.115625,0.142928,0.088014,0.131594,0.150000,0.147665,0.175351,0.172448,0.176644,0.177892
79,10.451787,0.303125,0.178125,0.121875,0.142966,0.088400,0.132393,0.150000,0.147351,0.175398,0.172478,0.176755,0.178017
80,12.441881,0.306250,0.193750,0.150000,0.143315,0.089252,0.134059,0.150000,0.146909,0.175518,0.172526,0.176878,0.178168
81,9.624433,0.325000,0.178125,0.106250,0.142840,0.088867,0.132190,0.150000,0.146603,0.175579,0.172566,0.176975,0.178278
82,9.122237,0.265625,0.165625,0.103125,0.142383,0.088088,0.132183,0.150000,0.146257,0.175696,0.172634,0.177026,0.178387
83,11.844139,0.328125,0.203125,0.137500,0.142669,0.088382,0.131691,0.150000,0.145804,0.175843,0.172702,0.177135,0.178516
84,7.149712,0.318750,0.134375,0.078125,0.141009,0.087498,0.132481,0.150000,0.145577,0.175903,0.172740,0.177182,0.178598
85,12.033925,0.300000,0.196875,0.143750,0.141507,0.088168,0.133551,0.150000,0.145152,0.176053,0.172780,0.177287,0.178728
