round,image_id,category,quality,freshness,ctr,lr,awt,social_proof,cos_ui_own,own_query_score
1,0,0,0.139619,0.870551,0.132075,0.067308,0.109398,0.085357,0.083227,0.210467
1,1,0,0.247320,0.870551,0.134615,0.086538,0.140870,0.111499,0.087434,0.223423
1,2,0,0.039080,0.870551,0.115385,0.049020,0.078788,0.029328,0.089504,0.193799
1,3,0,0.724847,0.870551,0.100000,0.050000,0.000000,0.000000,0.078817,0.172753
1,4,0,0.368557,0.870551,0.113208,0.068627,0.155208,0.065223,0.083973,0.211870
1,5,0,0.268096,0.870551,0.117647,0.068627,0.084793,0.065223,0.080691,0.201157
1,6,0,0.150631,0.870551,0.125000,0.048077,0.111557,0.054125,0.093382,0.204703
1,7,0,0.568517,0.870551,0.100000,0.050000,0.000000,0.000000,0.084806,0.174251
1,8,0,0.168080,0.870551,0.100000,0.050000,0.000000,0.000000,0.078978,0.172793
1,9,0,0.311360,0.870551,0.148148,0.084906,0.155880,0.126831,0.082317,0.228478
1,10,1,0.490499,0.870551,0.100000,0.050000,0.000000,0.000000,0.070773,0.170741
1,11,1,0.199080,0.870551,0.092593,0.050000,0.000000,0.000000,0.079305,0.171763
1,12,1,0.612538,0.870551,0.100000,0.050000,0.000000,0.000000,0.067478,0.169916
1,13,1,0.080769,0.870551,0.213115,0.112069,0.105198,0.214748,0.082567,0.247945
1,14,1,0.448982,0.870551,0.113208,0.068627,0.165575,0.065223,0.074119,0.210959
1,15,1,0.251850,0.870551,0.117647,0.068627,0.123539,0.065223,0.071659,0.204707
1,16,1,0.071009,0.870551,0.132075,0.067308,0.083113,0.085357,0.077447,0.205079
1,17,1,0.225512,0.870551,0.098039,0.050000,0.000000,0.000000,0.076298,0.171829
1,18,1,0.023145,0.870551,0.096154,0.050000,0.000000,0.000000,0.079356,0.172311
1,19,1,0.378901,0.870551,0.137931,0.066038,0.129177,0.103248,0.076849,0.215207
1,20,2,0.154859,0.870551,0.148148,0.084906,0.131563,0.126831,0.112386,0.232354
1,21,2,0.496025,0.870551,0.166667,0.120370,0.148668,0.176722,0.105039,0.248658
1,22,2,0.753268,0.870551,0.096154,0.050000,0.000000,0.000000,0.056707,0.166644
1,23,2,0.075313,0.870551,0.160714,0.064815,0.072737,0.119348,0.056907,0.207405
1,24,2,0.346724,0.870551,0.113208,0.068627,0.179578,0.065223,0.109883,0.222006
1,25,2,0.118530,0.870551,0.096154,0.050000,0.000000,0.000000,0.109838,0.179936
1,26,2,0.401554,0.870551,0.203125,0.181034,0.155513,0.258893,0.115062,0.279080
1,27,2,0.428317,0.870551,0.169492,0.136364,0.161164,0.201519,0.117778,0.260259
1,28,2,0.226272,0.870551,0.134615,0.086538,0.142039,0.111499,0.077330,0.221070
1,29,2,0.109343,0.870551,0.115385,0.068627,0.109049,0.065223,0.024078,0.190291
1,30,3,0.108891,0.870551,0.094340,0.050000,0.000000,0.000000,0.032863,0.160407
1,31,3,0.559639,0.870551,0.127273,0.086538,0.182682,0.111499,0.047589,0.218622
1,32,3,0.161426,0.870551,0.100000,0.050000,0.000000,0.000000,0.037489,0.162414
1,33,3,0.041007,0.870551,0.113208,0.068627,0.079248,0.065223,0.059082,0.194253
1,34,3,0.306667,0.870551,0.196970,0.146552,0.135124,0.238330,0.068562,0.255212
1,35,3,0.482934,0.870551,0.094340,0.050000,0.000000,0.000000,0.063713,0.168125
1,36,3,0.444939,0.870551,0.115385,0.068627,0.156253,0.065223,0.048569,0.203496
1,37,3,0.300442,0.870551,0.175439,0.081818,0.154664,0.153703,0.047735,0.227306
1,38,3,0.255183,0.870551,0.148148,0.066038,0.135199,0.103248,0.053900,0.211903
