round,image_id,category,quality,freshness,ctr,lr,awt,social_proof,cos_ui_own,own_query_score,cum_views,cum_likes
1,0,0,0.139619,0.870551,0.132075,0.067308,0.109398,0.085357,0.083227,0.210467,2.0,1.0
1,1,0,0.247320,0.870551,0.134615,0.086538,0.140870,0.111499,0.087434,0.223423,2.0,2.0
1,2,0,0.039080,0.870551,0.115385,0.049020,0.078788,0.029328,0.089504,0.193799,1.0,0.0
1,3,0,0.724847,0.870551,0.100000,0.050000,0.000000,0.000000,0.078817,0.172753,0.0,0.0
1,4,0,0.368557,0.870551,0.113208,0.068627,0.155208,0.065223,0.083973,0.211870,1.0,1.0
1,5,0,0.268096,0.870551,0.117647,0.068627,0.084793,0.065223,0.080691,0.201157,1.0,1.0
1,6,0,0.150631,0.870551,0.125000,0.048077,0.111557,0.054125,0.093382,0.204703,2.0,0.0
1,7,0,0.568517,0.870551,0.100000,0.050000,0.000000,0.000000,0.084806,0.174251,0.0,0.0
1,8,0,0.168080,0.870551,0.100000,0.050000,0.000000,0.000000,0.078978,0.172793,0.0,0.0
1,9,0,0.311360,0.870551,0.148148,0.084906,0.155880,0.126831,0.082317,0.228478,3.0,2.0
1,10,1,0.490499,0.870551,0.100000,0.050000,0.000000,0.000000,0.070773,0.170741,0.0,0.0
1,11,1,0.199080,0.870551,0.092593,0.050000,0.000000,0.000000,0.079305,0.171763,0.0,0.0
1,12,1,0.612538,0.870551,0.100000,0.050000,0.000000,0.000000,0.067478,0.169916,0.0,0.0
1,13,1,0.080769,0.870551,0.213115,0.112069,0.105198,0.214748,0.082567,0.247945,8.0,4.0
1,14,1,0.448982,0.870551,0.113208,0.068627,0.165575,0.065223,0.074119,0.210959,1.0,1.0
1,15,1,0.251850,0.870551,0.117647,0.068627,0.123539,0.065223,0.071659,0.204707,1.0,1.0
1,16,1,0.071009,0.870551,0.132075,0.067308,0.083113,0.085357,0.077447,0.205079,2.0,1.0
1,17,1,0.225512,0.870551,0.098039,0.050000,0.000000,0.000000,0.076298,0.171829,0.0,0.0
1,18,1,0.023145,0.870551,0.096154,0.050000,0.000000,0.000000,0.079356,0.172311,0.0,0.0
1,19,1,0.378901,0.870551,0.137931,0.066038,0.129177,0.103248,0.076849,0.215207,3.0,1.0
1,20,2,0.154859,0.870551,0.148148,0.084906,0.131563,0.126831,0.112386,0.232354,3.0,2.0
